,0,1,2,3,4,5,6,7
DNAdamage,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
IGF1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
lowNutrition,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
PDK1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AKT1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
IKBKB,0.0049979175343606835,0.013744273219491879,0.0049979175343606835,0.013744273219491879,1.0,0.9998264611967237,1.0,0.9998264611967237
PTEN,0.280716368179925,0.307371928363182,0.280716368179925,0.307371928363182,0.3498542274052478,0.3498542274052478,0.3498542274052478,0.3498542274052478
E2F1,0.9950020824656394,0.9862557267805081,0.9950020824656394,0.9862557267805081,0.0,0.0001735388032764126,0.0,0.0001735388032764126
EIF4EBP1,0.0,0.12911286963765098,0.0,0.12911286963765098,0.0,0.17284464806330696,0.0,0.17284464806330696
IL1B,0.0049979175343606835,0.013327780091628489,0.0049979175343606835,0.013327780091628489,1.0,0.979834791059281,1.0,0.979834791059281
IL6,0.0049979175343606835,0.013327780091628489,0.0049979175343606835,0.013327780091628489,1.0,0.979834791059281,1.0,0.979834791059281
S6K1,1.0,0.870887130362349,1.0,0.870887130362349,1.0,0.8271553519366931,1.0,0.8271553519366931
ULK1,0.0,0.14369012911286963,0.0,0.14369012911286963,0.0,0.1924198250728863,0.0,0.1924198250728863
