lifespan,organism,uniprot_id,protein_name,Gene/intervention,Type,Strain,alpha,ln(R0),r2,MRDT(yr),IMR,delta age changes,PMID
extened,Mus musculus (Mouse),unknown,,RIIB,-/-,C57BL/6,,,,,,,20667513
extened,Mus musculus (Mouse),unknown,,AC5,-/-,,,,,,,,20667513
extened,Mus musculus (Mouse),P70279,,Surf,-/-,,,,,,,,20667513
extened,Mus musculus (Mouse),unknown,,uPA,OE,,,,,,,,20667513
extened,Mus musculus (Mouse),Q9Z2V4,,Pepck,OE,,,,,,,,20667513
extened,Mus musculus (Mouse),P70406,,Ucp2,OE,,,,,,,,20667513
extened,Mus musculus (Mouse),Q8BSK8,,S6K1,-/-,,,,,,,,20667513
extened,Mus musculus (Mouse),P29754,,Agtr1a,-/-,,,,,,,,20667513
extened,Mus musculus (Mouse),unknown,,FIR,KO,,,,,,,,21115536
extened,Mus musculus (Mouse),P81122,,Irs2,+/-,,,,,,,,21115536
extened,Mus musculus (Mouse),P34884,,MIF,KO,,,,,,,,21115536
extened,Mus musculus (Mouse),Q8R3F5,,MCAT,TG,,,,,,,,21115536
extened,Mus musculus (Mouse),O70325,,Gpx4,+/-,,,,,,,,21115536
extened,Mus musculus (Mouse),unknown,,MT,TG,,,,,,,,21115536
reduced,Mus musculus (Mouse),O60566,,Bub1b,KO,,,,,,,,21411853
reduced,Mus musculus (Mouse),P35700,,Prdx1,KO,,,,,,,,21411853
extened,Mus musculus (Mouse),P84309,,Adcy5,KO,,,,,,,,21411853
extened,Mus musculus (Mouse),P97478,,Coq7,KO,,,,,,,,21411853
extened,Mus musculus (Mouse),Q9Z2V4,,Pck1,TG,,,,,,,,21411853
extened,Mus musculus (Mouse),Q00286,,Pou1f1,KO,,,,,,,,21411853
extened,Mus musculus (Mouse),P37238,,Pparg,KI,,,,,,,,21411853
extened,Mus musculus (Mouse),Q8BSK8,,Rps6kb1,KO,,,,,,,,21411853
extened,Mus musculus (Mouse),P98083,,shc1,KO,,,,,,,,21411853
extened,Mus musculus (Mouse),P09925,,Surf1,KO,,,,,,,,21411853
