0	1010	0010
0	1010	1100
0	1010	1011
0	0010	0010
0	0010	0100
0	0010	1111
0	1100	1010
0	1011	1011
0	1011	0100
0	1011	1111
0	1011	0010
0	1011	1100
1	1010	1010
1	0010	0010
1	0010	1000
1	0010	1011
1	1100	1100
1	1100	1011
1	1100	0010
1	1011	1011
1	1011	0010
1	1011	1100
2	1010	0010
2	1010	1100
2	1010	1011
2	0010	0010
2	0010	1101
2	0010	0011
2	0010	0100
2	0010	1111
2	1100	1100
2	1100	1001
2	1100	0011
2	1100	0100
2	1100	1111
2	1100	0010
2	1011	1010
3	1010	1010
3	0010	0010
3	0010	1100
3	0010	1011
3	1100	1010
3	1011	1010
