SYMBOL:ERBB3,10.425,10.309,10.183,9.868
SYMBOL:ERBB4,11.739,11.373,11.586,11.65
SYMBOL:PRKAR2B,10.396,10.204,10.23,10.538
SYMBOL:SMAD1,10.661,10.677,10.38,10.46
SYMBOL:SMAD2,10.29,10.032,9.851,9.805
SYMBOL:SMAD2,10.391,10.391,10.236,10.162
SYMBOL:SMAD3,11.288,11.245,11.231,11.284
SYMBOL:SMAD3,10.367,10.201,10.257,10.068
SYMBOL:SMAD3,10.313,10.252,10.22,9.641
SYMBOL:SMAD3,10.599,10.525,10.494,10.102
SYMBOL:SMAD3,11.023,10.916,11.874,10.813
SYMBOL:STAT5A,10.28,10.193,10.232,10.048
SYMBOL:KCNIP3,11.612,11.43,11.622,11.853
SYMBOL:GRIN2B,11.041,11.13,10.556,11.076
SYMBOL:PECAM1,10.748,10.703,10.545,10.549
SYMBOL:PTPRK,11.03,10.812,11.093,11.359
SYMBOL:GTF2I,11.056,10.918,10.995,11.053
SYMBOL:TNK2,10.713,10.439,10.26,10.404
SYMBOL:ALK,11.267,11.152,11.151,11.476
SYMBOL:ALK,11.307,11.214,11.458,11.594
SYMBOL:BLNK,11.524,11.055,11.214,11.834
SYMBOL:BMX,10.777,10.686,10.681,10.899
SYMBOL:Pim1,10.549,10.421,10.343,10.3
SYMBOL:PLD1,10.425,10.647,10.376,11.096
SYMBOL:BCR,10.976,10.946,10.914,11.513
SYMBOL:PTK6,11.117,11.07,11.756,11.165
SYMBOL:ADD1,10.391,10.29,10.331,9.924
SYMBOL:CD5,11.873,11.465,11.725,11.536
SYMBOL:CSF1R,11.21,11.213,11.264,11.409
SYMBOL:DAPP1,10.021,10.185,10.172,10.055
SYMBOL:DDX5,11.189,11.315,11.571,11.471
SYMBOL:HCK,10.963,11.347,11.482,11.592
SYMBOL:RAF1,10.113,10.13,9.871,10.038
SYMBOL:CCNB1,10.454,10.47,10.368,10.17
SYMBOL:CCNE1,13.765,13.522,13.713,14.221
SYMBOL:EIF4G1,11.314,11.216,11.182,11.342
SYMBOL:IRS1,10.086,9.894,9.772,9.375
SYMBOL:LAT,10.449,10.386,10.436,10.243
SYMBOL:STK11,10.164,10.048,9.831,9.567
SYMBOL:STK11,10.157,10.093,9.993,9.767
SYMBOL:MAP2K1,10.813,11.053,10.511,12.051
SYMBOL:MAP2K1,11.024,11.143,10.901,11.23
SYMBOL:RPS6KA5,12.902,12.832,12.637,13.177
SYMBOL:RPS6KA5,10.529,10.317,10.66,10.804
SYMBOL:MTOR,10.315,10.193,10.14,9.82
SYMBOL:PAK4,10.243,10.408,9.934,10.037
SYMBOL:PRKCA,10.213,10.111,10.113,9.636
SYMBOL:PRKCD,10.217,10.086,9.958,9.793
SYMBOL:CCNE2,10.447,10.293,10.269,10.253
SYMBOL:PRKD1,10.245,10.269,10.093,9.985
SYMBOL:PRKD1,9.832,9.825,9.601,9.363
SYMBOL:NFKB1,12.304,12.466,12.256,12.785
SYMBOL:NFKB1,10.228,10.361,11.852,10.375
SYMBOL:NFKB1,10.147,10.227,10.829,10.083
SYMBOL:REL,10.465,10.473,10.411,10.274
SYMBOL:JUN,10.074,10.126,9.887,9.82
SYMBOL:JUN,10.397,10.303,9.651,9.824
SYMBOL:JUN,10.445,10.342,10.533,10.267
SYMBOL:JUN,10.135,10.104,9.972,9.844
SYMBOL:JUN,10.121,10.169,10.114,10.105
SYMBOL:JUNB,10.411,10.418,10.383,10.248
SYMBOL:JUNB,10.257,10.212,10.09,10.079
SYMBOL:JUNB,10.391,10.439,10.468,10.354
SYMBOL:ATF2,10.341,10.354,10.206,10.167
SYMBOL:ATF2,10.357,10.497,10.465,10.302
SYMBOL:ATF2,10.27,10.298,10.117,10.068
SYMBOL:ATF2,10.258,10.258,10.1,10.064
SYMBOL:ATF2,10.141,10.153,9.942,9.917
SYMBOL:MYC,10.01,9.959,9.819,9.821
SYMBOL:MYC,10.22,10.466,10.352,10.313
SYMBOL:VASP,9.807,9.877,9.642,10.313
SYMBOL:PTK2B,10.141,10.241,10.015,10.12
SYMBOL:RELA,10.237,10.405,9.975,10.294
SYMBOL:CTNNB1,10.152,10.053,9.856,9.697
SYMBOL:CTNNB1,10.298,10.338,9.865,10.203
SYMBOL:EGFR,10.189,10.284,10.238,10.049
SYMBOL:MTOR,10.248,10.106,9.865,9.883
SYMBOL:EIF4EBP1,10.138,10.1,9.945,9.608
SYMBOL:EIF4EBP1,10.216,10.158,9.999,9.769
SYMBOL:STMN1,10.502,10.38,10.501,10.251
SYMBOL:STMN1,10.576,10.295,10.403,9.914
SYMBOL:PDGFRB,10.43,10.208,10.248,10.094
SYMBOL:MET,10.674,10.613,10.52,10.566
SYMBOL:EGFR,10.361,10.214,10.29,10.128
SYMBOL:EGFR,10.453,10.407,10.506,10.382
SYMBOL:IRS1,10.549,10.508,10.378,10.458
SYMBOL:IRS1,10.219,10.136,10.151,9.982
SYMBOL:RPS6,10.093,10.07,9.859,9.852
SYMBOL:EIF4E,10.005,10.091,9.736,9.924
SYMBOL:ELK1,10.053,10.147,9.925,10.002
SYMBOL:ELK1,9.752,9.732,9.463,9.328
SYMBOL:MEF2A,11.21,10.88,10.834,10.649
SYMBOL:MEF2A,10.446,10.231,10.054,10.048
SYMBOL:GATA1,9.978,9.827,9.646,9.381
SYMBOL:GATA1,10.101,9.993,9.731,9.75
