,1,6,24,96
SYMBOL:PTK2,10.96,10.238999999999999,10.107000000000001,10.176
SYMBOL:CRK,9.35,10.02,9.86,10.293
SYMBOL:PAK2,11.759,11.217,10.794,11.255999999999998
SYMBOL:IL13RA1,9.484,9.772,10.392999999999999,10.046
SYMBOL:SMAD3,11.065,10.677,10.132,10.52
SYMBOL:ATF1,10.037,10.718,10.913,10.674000000000001
SYMBOL:YWHAZ,9.762,10.016,9.91,10.627
SYMBOL:VAV2,9.74,10.414000000000001,10.591,10.447000000000001
SYMBOL:TP53,9.658999999999999,10.582,10.173,10.075
SYMBOL:ITGB1,9.852,10.364,10.325,10.770999999999999
SYMBOL:PAK1,10.472999999999999,10.665,10.547,11.296
SYMBOL:EFNB1,11.607999999999999,11.918,12.162,11.300999999999998
SYMBOL:MARCKS,10.529000000000002,10.703,11.386,10.764000000000001
SYMBOL:RPS6KB1,9.274,9.953,9.387,9.99
SYMBOL:RPS6KA1,10.491,11.287,11.21,11.198
SYMBOL:AKT2,9.337,10.174,9.587,9.948
SYMBOL:IGF2R,11.966,11.855,12.593,11.775
SYMBOL:JUN,9.854,10.459000000000001,10.231,10.73
SYMBOL:RPS6KB1,9.683,10.135,9.947000000000001,10.56
SYMBOL:FGFR1,13.126,12.376,13.145,12.706
SYMBOL:PAK1,9.766,10.597999999999999,10.456,10.369000000000002
SYMBOL:CHEK1,10.527999999999999,10.435,10.176,11.048
SYMBOL:TP53,10.328,10.55,10.677,11.19
SYMBOL:PLA2G4A,9.868,10.652000000000001,10.6,10.23
SYMBOL:JAK2,10.667,11.389000000000001,10.607999999999999,10.748
SYMBOL:GAP43,12.459000000000001,12.011,11.658,11.735999999999999
SYMBOL:EZR,11.155999999999999,10.988,11.011,11.758
SYMBOL:KDR,11.356,10.700999999999999,10.709000000000001,10.546
SYMBOL:BIRC5,10.177,10.34,10.968,10.267999999999999
SYMBOL:LAT,10.038,10.292,9.918,10.73
SYMBOL:ABL1,9.329,10.124,9.863999999999999,10.05
SYMBOL:ATF2,9.443999999999999,9.974,9.93,10.314
