,0.5,1,3,6,24
SYMBOL:PLD1,12.052999999999999,11.004000000000001,11.075999999999999,10.985,10.934000000000001
SYMBOL:FGFR1,10.798,10.757,10.01,9.751,10.066
SYMBOL:KDR,13.364,12.755999999999998,12.122,12.595,13.05
SYMBOL:GSK3B,11.159,10.26,10.470999999999998,10.519,9.87
SYMBOL:TOP2A,11.216,12.300999999999998,11.627,11.589,11.125
SYMBOL:CAT,12.354000000000001,11.408,11.804,11.161,11.625
SYMBOL:FER,12.493,12.707,12.31,12.458,11.537
SYMBOL:EIF4G1,12.122,11.305,11.109000000000002,11.165,11.035
SYMBOL:TP53,10.311,10.639000000000001,10.792,11.442,10.429
SYMBOL:IGF2R,10.575999999999999,10.942,11.557,11.573,11.423
SYMBOL:TP53,10.151,10.372,9.908999999999999,11.052999999999999,10.578
SYMBOL:KRT8,11.645999999999999,10.937999999999999,11.828,11.422,10.856
SYMBOL:EGFR,11.525,11.265,11.83,10.710999999999999,11.595
SYMBOL:HDAC5,10.204,10.440999999999999,11.168,11.09,10.484000000000002
SYMBOL:CCNB1,10.187999999999999,10.547,10.550999999999998,11.088,9.97
SYMBOL:GRIA1,14.512,14.681,13.728,14.305,14.802
SYMBOL:CD5,11.06,11.873,11.626,10.824000000000002,11.332
SYMBOL:APP,11.255,10.238999999999999,11.203,11.144,11.049000000000001
SYMBOL:GRIN2A,11.538,11.511,10.800999999999998,11.347000000000001,10.635
SYMBOL:PAK1,10.565999999999999,10.529000000000002,10.888,10.577,11.515999999999998
SYMBOL:PPP2CA,10.753,10.525,9.641,10.36,10.305
SYMBOL:PLCG1,10.141,10.585999999999999,10.835999999999999,11.107999999999999,10.19
SYMBOL:CXCR4,10.101,11.21,10.6,10.738,10.419
SYMBOL:DDX5,10.793,10.73,11.604000000000001,11.117,11.546
SYMBOL:RPS6KA5,13.106,12.831,12.425999999999998,12.052,12.732000000000001
SYMBOL:CTNNB1,9.857000000000001,10.187999999999999,10.583,10.782,10.767999999999999
SYMBOL:ARHGEF2,10.083,9.879,10.895999999999999,9.988,10.232999999999999
SYMBOL:RELA,10.109,10.245,11.079,10.363,10.128
SYMBOL:REL,10.280999999999999,10.597000000000001,10.954,11.219000000000001,10.365
SYMBOL:YWHAQ,11.204,10.706,10.452,10.192,10.339
SYMBOL:MAP2K2,9.564,10.279000000000002,9.192,9.548,9.57
SYMBOL:ACTA1,10.869000000000002,10.219,10.828,9.972999999999999,10.66
SYMBOL:TP53,10.237,11.255999999999998,10.652000000000001,10.472999999999999,10.398
SYMBOL:MEF2C,10.855,10.096,10.086,9.888,9.936
SYMBOL:CD5,10.782,11.049000000000001,11.672,11.665,11.417
SYMBOL:CTNNB1,10.286,10.290999999999999,11.113,10.107999999999999,10.515
SYMBOL:IRS1,12.927,12.890999999999998,12.968,12.105,13.052999999999999
SYMBOL:KDR,11.588,10.693,10.604000000000001,11.01,10.918
SYMBOL:JUNB,10.01,10.162,10.213,9.751,10.798
SYMBOL:EIF4G1,11.445,10.665999999999999,10.729000000000001,10.950999999999999,10.422
SYMBOL:PTK2,10.405999999999999,10.474,10.359000000000002,10.948,9.863
SYMBOL:BCL2L1,9.964,10.039,10.302999999999999,10.921,10.119
SYMBOL:TSC2,9.857000000000001,9.892000000000001,10.787,10.269,10.001
SYMBOL:SYN1,10.116,10.46,11.095,10.853,10.524000000000001
SYMBOL:TOP2A,9.843,10.014,10.672,10.65,10.425999999999998
SYMBOL:PRKACA,10.184,10.19,11.078,10.484000000000002,10.273
SYMBOL:VASP,12.085,11.503,11.581,11.085,11.298
SYMBOL:CDC25C,13.148,13.244000000000002,13.862,13.594000000000001,14.005999999999998
SYMBOL:EEF2,11.265999999999998,10.661,10.950999999999999,10.61,10.277000000000001
SYMBOL:PTPRC,10.184,10.312999999999999,10.647,10.741,9.818999999999999
SYMBOL:NOS3,10.156,10.380999999999998,10.433,11.064,10.161
SYMBOL:WAS,10.258,10.390999999999998,10.769,11.102,10.259
