symbol,1,6,24,96
SYMBOL:JUN,9.922,10.429,10.498,10.29
SYMBOL:GSK3B,9.34,9.945,9.85,10.087
SYMBOL:JUN,10.592,10.263,10.905,10.803
SYMBOL:ELK1,10.705,11.557,10.861,10.646
SYMBOL:PDPK1,10.982,9.892,9.827,11.184
SYMBOL:RAF1,9.711,9.64,9.498,10.123
SYMBOL:GSK3A,9.892,10.265,9.983,11.174
SYMBOL:MAP2K2,9.878,9.598,9.703,10.246
SYMBOL:PTEN,10.116,10.339,10.284,10.311
SYMBOL:RELA,9.845,10.141,9.639,10.14
SYMBOL:RELA,9.764,10.426,10.252,10.237
SYMBOL:RELA,9.491,10.145,9.727,10.05
SYMBOL:RELA,11.742,12.014,11.284,10.906
SYMBOL:RELA,10.287,10.438,10.494,10.126
SYMBOL:NFKB2,9.644,9.898,10.514,10.705
SYMBOL:NFKB2,10.19,10.839,10.4,10.317
SYMBOL:MAP2K4,10.28,10.529,10.539,11.046
SYMBOL:MAP3K5,10.104,10.199,10.347,10.247
SYMBOL:HDAC4,9.94,10.548,10.416,10.562
SYMBOL:HDAC5,11.028,11.16,11.333,11.101
SYMBOL:HDAC8,9.946,10.202,10.012,10.161
SYMBOL:HSPB1,10.386,10.629,10.538,10.763
SYMBOL:SMC1A,9.959,9.953,10.282,10.386
SYMBOL:BCR,10.267,10.404,10.198,10.561
SYMBOL:RPS6KA5,9.453,9.83,9.965,10.222
SYMBOL:PXN,9.968,10.32,9.921,10.38
SYMBOL:EZR,10.479,10.707,10.665,10.736
SYMBOL:RAC1,10.014,10.048,10.436,10.337
SYMBOL:RAF1,9.894,10.625,10.494,10.354
SYMBOL:MAP2K1,10.062,10.377,9.725,10.482
SYMBOL:CDKN1A,9.28,9.77,9.689,9.846
SYMBOL:CDKN1B,9.748,10.317,10.119,10.254
SYMBOL:CDKN1B,9.514,9.96,9.885,10.102
SYMBOL:HIST1H3A,10.401,10.434,10.505,10.27
SYMBOL:MAP3K5,10.469,10.468,10.786,10.552
SYMBOL:NFKB1,9.15,9.622,9.49,9.569
SYMBOL:NFKB1,9.711,10.187,10.054,10.133
SYMBOL:REL,9.413,9.871,9.753,10.024
SYMBOL:JUN,9.13,9.587,9.54,9.666
SYMBOL:JUN,9.854,10.459,10.231,10.73
SYMBOL:JUN,9.211,9.796,9.579,9.679
SYMBOL:JUN,9.877,10.312,10.158,10.237
SYMBOL:JUN,10.427,10.67,10.674,10.642
SYMBOL:JUNB,9.551,10.023,9.895,9.884
SYMBOL:JUNB,9.233,9.802,9.653,9.789
SYMBOL:JUNB,8.906,9.635,10.675,9.535
SYMBOL:ATF2,11.288,11.307,11.509,11.242
SYMBOL:ATF2,9.135,9.844,9.691,9.627
SYMBOL:ATF2,9.243,9.823,9.662,9.859
SYMBOL:ATF2,9.165,9.724,9.655,9.839
SYMBOL:ATF2,9.514,9.902,9.828,9.944
SYMBOL:MYC,10.316,10.735,10.648,10.961
SYMBOL:MYC,13.519,13.377,13.502,13.216
SYMBOL:MYC,9.199,9.654,9.649,9.659
SYMBOL:PTK2,9.473,9.817,9.751,9.978
SYMBOL:PTK2B,9.94,10.241,10.154,10.26
SYMBOL:RELA,10.553,10.61,10.603,10.837
SYMBOL:CTNNB1,11.312,10.972,11.203,11.193
SYMBOL:EGFR,11.029,11.028,11.151,11.119
SYMBOL:MTOR,9.603,10.016,9.855,9.976
SYMBOL:EIF4EBP1,9.634,10.062,9.948,9.954
SYMBOL:EIF4EBP1,10.429,10.748,10.767,10.549
SYMBOL:STMN1,9.275,9.868,9.689,9.738
SYMBOL:STMN1,9.81,10.213,10.091,10.152
SYMBOL:PDGFRB,11.517,10.894,11.633,11.934
SYMBOL:MET,9.551,10.029,11.011,9.965
SYMBOL:EGFR,10.102,10.444,10.411,10.361
SYMBOL:EGFR,12.966,12.777,12.826,12.767
SYMBOL:IRS1,9.565,9.945,9.848,10.084
SYMBOL:IRS1,13.954,13.005,13.384,13.722
SYMBOL:RPS6,9.593,10.016,9.885,9.941
SYMBOL:EIF4E,9.639,10.127,9.877,10.001
SYMBOL:STMN1,9.825,10.232,10.191,9.944
SYMBOL:DNM1,10.257,10.604,10.768,10.691
SYMBOL:E2F1,10.328,10.459,10.729,10.619
SYMBOL:PTK2,10.185,10.362,10.402,10.513
SYMBOL:FOS,9.901,10.467,10.448,10.393
SYMBOL:ARHGAP35,9.927,10.473,10.327,10.33
SYMBOL:HDAC5,10.259,10.715,10.514,10.281
SYMBOL:LIPE,9.714,10.089,10.017,10.084
SYMBOL:NFKBIB,9.991,10.458,10.092,10.307
SYMBOL:CHUK,10.044,10.775,10.562,10.433
SYMBOL:IKBKB,10.012,10.495,10.692,10.127
SYMBOL:IKBKG,9.866,10.316,10.334,10.19
SYMBOL:IRS1,9.482,10.046,9.968,10.022
SYMBOL:IRS1,9.869,10.39,10.217,10.221
SYMBOL:AKT1S1,10.489,10.77,10.789,10.729
SYMBOL:ARRB1,10.017,10.465,10.343,10.305
SYMBOL:BCL2,10.48,10.798,10.757,10.515
SYMBOL:BID,10.018,10.319,9.881,10.521
SYMBOL:CD247,10.384,10.661,10.433,10.793
SYMBOL:CDK1,9.534,9.932,9.956,9.958
SYMBOL:PTK2,11.027,10.98,10.848,10.74
SYMBOL:FOSB,10.046,10.295,10.237,10.264
SYMBOL:GRK1,10.63,10.947,10.741,10.648
SYMBOL:HDAC3,10.437,10.69,10.708,10.597
SYMBOL:HDAC6,10.796,11.039,11.046,10.61
SYMBOL:ERBB3,9.825,10.331,10.203,10.258
