symbol,0.5,1,3,6,24
SYMBOL:JUN,10.141,10.304,10.457,10.7,10.049
SYMBOL:GSK3B,11.159,10.26,10.471,10.519,9.87
SYMBOL:JUN,10.966,10.89,10.801,11.078,10.224
SYMBOL:ELK1,10.805,10.562,10.414,10.612,11.027
SYMBOL:PDPK1,10.001,10.088,10.966,11.151,9.918
SYMBOL:RAF1,10.133,10.431,10.004,9.755,9.777
SYMBOL:GSK3A,10.219,10.348,9.929,10.079,9.55
SYMBOL:MAP2K2,9.564,10.279,9.192,9.548,9.57
SYMBOL:PTEN,10.196,10.404,10.38,10.628,10.197
SYMBOL:RELA,10.141,10.349,10.163,10.421,9.886
SYMBOL:RELA,10.249,10.33,10.143,10.42,10.214
SYMBOL:RELA,9.816,10.028,9.392,9.964,9.934
SYMBOL:RELA,11.412,11.569,10.424,11.609,10.859
SYMBOL:RELA,9.937,10.283,10.421,10.687,9.96
SYMBOL:NFKB2,10.742,10.931,10.41,9.922,9.855
SYMBOL:NFKB2,10.484,10.551,10.274,10.609,10.275
SYMBOL:MAP2K4,10.481,10.776,10.73,10.958,10.318
SYMBOL:MAP3K5,10.35,10.561,10.456,10.808,10.234
SYMBOL:HDAC4,10.229,10.548,10.557,10.454,10.349
SYMBOL:HDAC5,11.159,11.226,11.243,11.502,10.806
SYMBOL:HDAC8,10.402,10.39,10.569,10.661,9.996
SYMBOL:HSPB1,10.891,10.881,10.524,10.476,10.507
SYMBOL:SMC1A,10.504,10.393,10.606,9.843,10.262
SYMBOL:BCR,10.35,10.543,10.628,10.799,10.595
SYMBOL:RPS6KA5,9.752,10.044,10.112,10.081,10.04
SYMBOL:PXN,10.248,10.566,10.583,10.471,10.284
SYMBOL:EZR,10.513,10.996,10.773,10.976,10.477
SYMBOL:RAC1,10.311,10.47,10.493,10.474,9.973
SYMBOL:RAF1,10.28,10.398,10.608,10.243,10.444
SYMBOL:MAP2K1,10.355,10.457,10.472,10.792,10.153
SYMBOL:CDKN1A,9.861,9.965,9.868,9.658,9.972
SYMBOL:CDKN1B,10.127,10.198,10.221,10.448,10.258
SYMBOL:CDKN1B,10.465,10.24,10.198,10.111,10.361
SYMBOL:HIST1H3A,10.199,10.12,10.713,11,10.537
SYMBOL:MAP3K5,10.403,10.489,10.409,10.936,10.41
SYMBOL:NFKB1,9.796,9.786,9.733,9.482,9.611
SYMBOL:NFKB1,10.217,10.283,10.177,10.114,9.948
SYMBOL:REL,10.049,10.143,10.124,9.913,9.771
SYMBOL:JUN,9.6,9.747,9.736,9.614,9.487
SYMBOL:JUN,10.919,10.641,10.654,10.319,10.261
SYMBOL:JUN,9.623,9.778,9.964,9.983,10.223
SYMBOL:JUN,10.518,10.372,10.496,10.475,11.529
SYMBOL:JUN,10.671,10.955,10.706,10.662,12.2
SYMBOL:JUNB,10.01,10.162,10.213,9.751,10.798
SYMBOL:JUNB,9.674,9.925,9.742,9.646,9.744
SYMBOL:JUNB,9.549,9.839,9.762,9.659,9.712
SYMBOL:ATF2,10.497,10.772,10.775,10.42,11.088
SYMBOL:ATF2,9.746,9.7,9.706,9.501,10.05
SYMBOL:ATF2,9.736,9.791,9.864,9.682,9.951
SYMBOL:ATF2,9.852,9.873,9.731,9.593,9.898
SYMBOL:ATF2,9.713,9.975,10.024,9.853,10.17
SYMBOL:MYC,10.735,10.67,10.396,10.478,10.644
SYMBOL:MYC,13.201,13.33,13.089,13.006,13.362
SYMBOL:MYC,9.829,9.749,9.542,9.584,9.728
SYMBOL:PTK2,10.075,10.143,9.81,9.774,9.814
SYMBOL:PTK2B,10.148,10.42,10.596,10.508,10.13
SYMBOL:RELA,10.64,10.806,10.949,10.73,10.552
SYMBOL:CTNNB1,10.982,11.077,11.174,11.002,10.98
SYMBOL:EGFR,11.397,11.401,10.905,11.194,11.094
SYMBOL:MTOR,10.026,10.179,10.413,10.087,10.31
SYMBOL:EIF4EBP1,10.369,10.194,10.322,10.123,10.443
SYMBOL:EIF4EBP1,10.682,10.976,10.705,10.738,12.422
SYMBOL:STMN1,9.854,9.935,10.084,9.852,11.434
