"SUID","canonicalName","description","enabled","increment","interaction","k","name","scenario","selected","shared interaction","shared name"
"1577","AMPK --> NAD+","","true","1","1","0.004","AMPK (1) NAD+","0","false","1","AMPK (1) NAD+"
"1574","AMPK --> TP53","","true","1","1","0.004","AMPK (1) TP53","0","false","1","AMPK (1) TP53"
"1573","AMPK --> FOXO3","","true","1","1","0.004","AMPK (1) FOXO3","0","false","1","AMPK (1) FOXO3"
"1570","SOD2 --| ROS","","true","-1","-1","0.004","SOD2 (-1) ROS","0","false","-1","SOD2 (-1) ROS"
"1569","ATM/ATR --> E2F1","","true","1","1","0.004","ATM/ATR (1) E2F1","0","false","1","ATM/ATR (1) E2F1"
"1568","ATM/ATR --> TP53","","true","1","1","0.004","ATM/ATR (1) TP53","0","false","1","ATM/ATR (1) TP53"
"1567","SIRT1 --| NFKB1","","true","-1","-1","0.004","SIRT1 (-1) NFKB1","0","false","-1","SIRT1 (-1) NFKB1"
"1563","SIRT1 --| TP53","","true","-1","-1","0.004","SIRT1 (-1) TP53","0","false","-1","SIRT1 (-1) TP53"
"1562","SIRT1 --> FOXO3","","true","1","1","0.004","SIRT1 (1) FOXO3","0","false","1","SIRT1 (1) FOXO3"
"1555","NFKBIE --| NFKB1","","true","-1","-1","0.004","NFKBIE (-1) NFKB1","0","false","-1","NFKBIE (-1) NFKB1"
"1554","NFKBIE --| IKBKB","","true","-1","-1","0.004","NFKBIE (-1) IKBKB","0","false","-1","NFKBIE (-1) IKBKB"
