Time	TH	ErrTH	H	Prob[p21--Senescence--AKT]	ErrProb[p21--Senescence--AKT]	Prob[Senescence]	ErrProb[Senescence]	Prob[p21--Senescence]	ErrProb[p21--Senescence]	Prob[p21--mTORC1_S6K1--Senescence]	ErrProb[p21--mTORC1_S6K1--Senescence]	Prob[mTORC1_S6K1--Senescence--AKT]	ErrProb[mTORC1_S6K1--Senescence--AKT]	Prob[mTORC1_S6K1--AKT]	ErrProb[mTORC1_S6K1--AKT]	Prob[p21]	ErrProb[p21]	Prob[<nil>]	ErrProb[<nil>]	Prob[p21--mTORC1_S6K1]	ErrProb[p21--mTORC1_S6K1]	Prob[Senescence--AKT]	ErrProb[Senescence--AKT]	Prob[mTORC1_S6K1--Senescence]	ErrProb[mTORC1_S6K1--Senescence]	Prob[p21--mTORC1_S6K1--Senescence--AKT]	ErrProb[p21--mTORC1_S6K1--Senescence--AKT]	Prob[AKT]	ErrProb[AKT]	Prob[p21--AKT]	ErrProb[p21--AKT]	Prob[mTORC1_S6K1]	ErrProb[mTORC1_S6K1]	Prob[p21--mTORC1_S6K1--AKT]	ErrProb[p21--mTORC1_S6K1--AKT]	
0.0000	0.8434	0.0092	3.9957	0.060923	0.003281	0.068225	0.003443	0.062426	0.003321	0.063134	0.003332	0.063237	0.003328	0.055178	0.003121	0.066243	0.003401	0.073793	0.003575	0.063254	0.003307	0.062873	0.003320	0.061742	0.003302	0.059358	0.003235	0.065114	0.003391	0.053614	0.003080	0.064571	0.003371	0.056317	0.003143	
0.1000	0.7351	0.0091	3.9823	0.054224	0.003106	0.076188	0.003645	0.067293	0.003414	0.064954	0.003383	0.061055	0.003274	0.054149	0.003098	0.070740	0.003513	0.081664	0.003762	0.059994	0.003255	0.067726	0.003443	0.063830	0.003344	0.053415	0.003087	0.069130	0.003476	0.049794	0.002986	0.063259	0.003325	0.042584	0.002773	
0.2000	0.6484	0.0089	3.9604	0.046149	0.002863	0.079876	0.003739	0.072362	0.003557	0.064965	0.003373	0.058410	0.003231	0.054241	0.003133	0.079530	0.003722	0.088739	0.003915	0.056101	0.003161	0.068965	0.003493	0.066798	0.003423	0.050488	0.003014	0.071811	0.003567	0.043769	0.002803	0.064935	0.003393	0.032862	0.002432	
0.3000	0.5773	0.0087	3.9319	0.037948	0.002598	0.084701	0.003841	0.072808	0.003574	0.072610	0.003574	0.058706	0.003238	0.052914	0.003102	0.087542	0.003895	0.092562	0.003982	0.051870	0.003045	0.070056	0.003512	0.063926	0.003362	0.046504	0.002876	0.076249	0.003660	0.037952	0.002627	0.067882	0.003462	0.025771	0.002175	
0.4000	0.5132	0.0083	3.8990	0.031314	0.002375	0.087715	0.003915	0.076079	0.003667	0.078984	0.003736	0.058961	0.003252	0.054328	0.003138	0.091175	0.003994	0.099796	0.004152	0.050341	0.003019	0.069126	0.003490	0.062259	0.003329	0.041659	0.002757	0.075978	0.003662	0.032080	0.002431	0.070714	0.003547	0.019494	0.001910	
0.5000	0.4637	0.0082	3.8692	0.025835	0.002184	0.087248	0.003907	0.079590	0.003744	0.082392	0.003807	0.057700	0.003207	0.058072	0.003231	0.094995	0.004063	0.108240	0.004304	0.047666	0.002951	0.066934	0.003458	0.060967	0.003273	0.038642	0.002666	0.073202	0.003609	0.028423	0.002299	0.074429	0.003638	0.015667	0.001696	
0.6000	0.4140	0.0079	3.8365	0.021514	0.001995	0.085245	0.003852	0.083305	0.003833	0.084656	0.003877	0.056148	0.003187	0.061686	0.003333	0.097693	0.004114	0.117403	0.004444	0.045039	0.002858	0.063567	0.003360	0.059333	0.003264	0.035480	0.002578	0.071832	0.003552	0.024635	0.002140	0.079731	0.003749	0.012733	0.001543	
0.7000	0.3771	0.0076	3.8046	0.017333	0.001769	0.086158	0.003875	0.083609	0.003828	0.087299	0.003931	0.054392	0.003122	0.064975	0.003424	0.104138	0.004249	0.121683	0.004548	0.042028	0.002771	0.057778	0.003222	0.057864	0.003211	0.034298	0.002525	0.071637	0.003586	0.020353	0.001942	0.084970	0.003879	0.011484	0.001459	
0.8000	0.3509	0.0074	3.7759	0.013571	0.001581	0.084852	0.003861	0.086290	0.003903	0.089858	0.003980	0.054646	0.003155	0.067187	0.003463	0.109699	0.004359	0.122140	0.004555	0.041234	0.002727	0.053529	0.003121	0.057200	0.003213	0.032052	0.002445	0.072397	0.003595	0.016442	0.001756	0.088339	0.003935	0.010562	0.001395	
0.9000	0.3245	0.0072	3.7531	0.011732	0.001484	0.081033	0.003775	0.086599	0.003892	0.092263	0.004026	0.055542	0.003188	0.071008	0.003586	0.114176	0.004436	0.124821	0.004592	0.041321	0.002732	0.049550	0.003015	0.056887	0.003222	0.029099	0.002327	0.070553	0.003559	0.014984	0.001682	0.091266	0.004008	0.009167	0.001295	
1.0000	0.2957	0.0069	3.7267	0.010326	0.001387	0.078613	0.003729	0.084403	0.003854	0.096294	0.004106	0.055985	0.003187	0.075744	0.003686	0.119917	0.004522	0.125952	0.004608	0.041518	0.002738	0.044368	0.002858	0.055370	0.003143	0.026896	0.002244	0.070333	0.003546	0.013583	0.001577	0.093548	0.004037	0.007150	0.001163	
1.1000	0.2704	0.0067	3.7004	0.008940	0.001297	0.072140	0.003604	0.083442	0.003840	0.101096	0.004209	0.054277	0.003148	0.079537	0.003777	0.126676	0.004637	0.126585	0.004617	0.042328	0.002770	0.041709	0.002780	0.054222	0.003141	0.026084	0.002217	0.069889	0.003543	0.012241	0.001534	0.095605	0.004080	0.005230	0.000985	
1.2000	0.2524	0.0064	3.6721	0.008090	0.001237	0.066587	0.003455	0.081299	0.003809	0.106368	0.004296	0.054329	0.003144	0.082961	0.003850	0.132625	0.004735	0.128743	0.004649	0.043702	0.002803	0.040147	0.002728	0.052707	0.003088	0.023253	0.002080	0.066604	0.003467	0.010705	0.001417	0.097916	0.004124	0.003966	0.000869	
1.3000	0.2357	0.0063	3.6443	0.006472	0.001087	0.062610	0.003368	0.078075	0.003734	0.110156	0.004382	0.051606	0.003070	0.086831	0.003928	0.140755	0.004854	0.129348	0.004671	0.047100	0.002916	0.036790	0.002612	0.052854	0.003116	0.021698	0.002016	0.064620	0.003430	0.009029	0.001298	0.098394	0.004138	0.003664	0.000813	
1.4000	0.2211	0.0061	3.6265	0.006097	0.001087	0.061276	0.003331	0.076049	0.003688	0.113945	0.004443	0.049740	0.003027	0.091067	0.004022	0.144348	0.004917	0.128888	0.004668	0.049694	0.002997	0.032563	0.002467	0.052108	0.003082	0.020721	0.001983	0.061519	0.003340	0.007867	0.001224	0.100106	0.004177	0.004011	0.000850	
1.5000	0.2117	0.0060	3.6033	0.005773	0.001038	0.057343	0.003236	0.073287	0.003627	0.117708	0.004499	0.049132	0.003010	0.092430	0.004051	0.149751	0.004972	0.130587	0.004672	0.049948	0.003000	0.029314	0.002348	0.051553	0.003070	0.020046	0.001947	0.057685	0.003237	0.007209	0.001178	0.104248	0.004251	0.003986	0.000875	
1.6000	0.2006	0.0059	3.5764	0.004934	0.000955	0.055045	0.003177	0.069392	0.003540	0.122979	0.004595	0.047902	0.002974	0.094707	0.004089	0.157405	0.005078	0.127904	0.004634	0.050807	0.003032	0.026950	0.002258	0.051711	0.003074	0.019026	0.001891	0.053875	0.003136	0.007187	0.001156	0.107036	0.004306	0.003138	0.000752	
1.7000	0.1911	0.0058	3.5462	0.004031	0.000867	0.052401	0.003097	0.067172	0.003486	0.128089	0.004675	0.047034	0.002953	0.095882	0.004136	0.165192	0.005199	0.124272	0.004607	0.051573	0.003042	0.024413	0.002151	0.051242	0.003030	0.017748	0.001842	0.049976	0.003051	0.007320	0.001183	0.111347	0.004378	0.002306	0.000652	
1.8000	0.1769	0.0056	3.5214	0.003496	0.000808	0.049091	0.002999	0.065609	0.003437	0.132909	0.004752	0.047538	0.002953	0.098767	0.004189	0.172501	0.005288	0.120610	0.004542	0.052354	0.003063	0.021991	0.002050	0.049832	0.003020	0.016350	0.001748	0.047678	0.002989	0.007016	0.001151	0.111863	0.004395	0.002397	0.000654	
1.9000	0.1677	0.0054	3.4982	0.003349	0.000808	0.045788	0.002918	0.061005	0.003336	0.136909	0.004814	0.048032	0.002969	0.102267	0.004242	0.178722	0.005353	0.118767	0.004512	0.055737	0.003158	0.019738	0.001940	0.047690	0.002946	0.015439	0.001693	0.046098	0.002931	0.006562	0.001123	0.111488	0.004387	0.002411	0.000667	
2.0000	0.1596	0.0053	3.4733	0.003002	0.000748	0.040312	0.002730	0.060321	0.003322	0.141922	0.004882	0.047968	0.002981	0.105501	0.004308	0.182741	0.005413	0.116335	0.004464	0.059402	0.003248	0.018049	0.001856	0.046075	0.002911	0.014368	0.001658	0.044718	0.002887	0.005976	0.001057	0.111061	0.004386	0.002250	0.000620	
2.1000	0.1534	0.0052	3.4462	0.002587	0.000703	0.037114	0.002607	0.059066	0.003284	0.146809	0.004962	0.046483	0.002936	0.108923	0.004378	0.187922	0.005467	0.115431	0.004443	0.061906	0.003325	0.016332	0.001752	0.044462	0.002854	0.014547	0.001647	0.041556	0.002772	0.005100	0.000995	0.109415	0.004348	0.002347	0.000662	
2.2000	0.1487	0.0051	3.4182	0.002302	0.000650	0.035833	0.002571	0.057250	0.003224	0.150981	0.005020	0.046314	0.002936	0.109840	0.004388	0.192862	0.005540	0.116048	0.004462	0.063586	0.003384	0.013658	0.001599	0.041311	0.002774	0.013555	0.001599	0.039276	0.002702	0.004319	0.000915	0.109830	0.004359	0.003037	0.000764	
2.3000	0.1446	0.0051	3.3919	0.002507	0.000697	0.034269	0.002533	0.056532	0.003213	0.154614	0.005067	0.045236	0.002898	0.112172	0.004434	0.197669	0.005578	0.115329	0.004452	0.065280	0.003402	0.011575	0.001482	0.037638	0.002636	0.012753	0.001555	0.037861	0.002662	0.003375	0.000792	0.109639	0.004349	0.003552	0.000808	
2.4000	0.1389	0.0050	3.3608	0.002007	0.000614	0.031928	0.002447	0.055018	0.003164	0.160237	0.005146	0.043660	0.002867	0.113623	0.004453	0.203158	0.005640	0.113352	0.004417	0.066924	0.003455	0.009748	0.001374	0.035052	0.002553	0.012718	0.001568	0.035932	0.002583	0.002932	0.000729	0.109860	0.004352	0.003849	0.000836	
2.5000	0.1325	0.0048	3.3327	0.001409	0.000504	0.028785	0.002332	0.053757	0.003138	0.164062	0.005198	0.042634	0.002825	0.114076	0.004459	0.208851	0.005702	0.110039	0.004370	0.068593	0.003498	0.008537	0.001276	0.037267	0.002630	0.012584	0.001554	0.034298	0.002545	0.002557	0.000708	0.109505	0.004350	0.003045	0.000743	
2.6000	0.1265	0.0048	3.3058	0.001289	0.000498	0.026299	0.002232	0.051855	0.003087	0.169433	0.005259	0.043343	0.002830	0.114266	0.004469	0.212969	0.005741	0.108598	0.004339	0.069478	0.003507	0.007471	0.001191	0.036160	0.002591	0.011678	0.001480	0.033494	0.002520	0.002428	0.000693	0.108743	0.004335	0.002496	0.000686	
2.7000	0.1195	0.0046	3.2802	0.001143	0.000469	0.024784	0.002163	0.049855	0.003017	0.174974	0.005326	0.042204	0.002805	0.115450	0.004494	0.217578	0.005787	0.105303	0.004283	0.070374	0.003529	0.006236	0.001073	0.033937	0.002520	0.011525	0.001480	0.031926	0.002463	0.002417	0.000684	0.109430	0.004353	0.002864	0.000726	
2.8000	0.1138	0.0046	3.2585	0.001029	0.000447	0.023149	0.002102	0.048735	0.002999	0.180748	0.005395	0.039861	0.002724	0.117470	0.004519	0.219969	0.005822	0.103374	0.004263	0.071687	0.003558	0.005849	0.001051	0.031988	0.002447	0.012357	0.001534	0.030344	0.002396	0.002046	0.000619	0.108445	0.004334	0.002949	0.000748	
2.9000	0.1117	0.0045	3.2347	0.001048	0.000450	0.020213	0.001951	0.048859	0.002994	0.186264	0.005458	0.038236	0.002685	0.120349	0.004583	0.224021	0.005842	0.099844	0.004174	0.071012	0.003536	0.005392	0.001026	0.032521	0.002468	0.012277	0.001526	0.029955	0.002389	0.001796	0.000598	0.105612	0.004285	0.002600	0.000720	
3.0000	0.1106	0.0045	3.2162	0.000983	0.000415	0.018249	0.001864	0.048541	0.002988	0.189048	0.005494	0.038218	0.002675	0.121747	0.004602	0.227716	0.005893	0.097655	0.004158	0.072301	0.003586	0.005184	0.000997	0.031677	0.002427	0.011879	0.001510	0.029032	0.002347	0.001827	0.000581	0.103631	0.004267	0.002311	0.000658	
3.1000	0.1063	0.0044	3.1916	0.000438	0.000285	0.016307	0.001767	0.049767	0.003026	0.192434	0.005521	0.036781	0.002640	0.123135	0.004631	0.230273	0.005909	0.097249	0.004135	0.073434	0.003582	0.005361	0.001019	0.031298	0.002422	0.011528	0.001488	0.027000	0.002271	0.001554	0.000545	0.101610	0.004206	0.001831	0.000600	
3.2000	0.1032	0.0043	3.1680	0.000556	0.000323	0.014802	0.001664	0.047742	0.002945	0.198462	0.005591	0.035938	0.002601	0.124469	0.004650	0.234981	0.005948	0.094965	0.004094	0.071856	0.003566	0.004521	0.000924	0.031847	0.002452	0.010892	0.001444	0.026905	0.002261	0.001378	0.000521	0.098562	0.004174	0.002125	0.000637	
3.3000	0.1006	0.0043	3.1502	0.000584	0.000316	0.014382	0.001649	0.046487	0.002937	0.201874	0.005637	0.034839	0.002560	0.126468	0.004675	0.240754	0.006002	0.091878	0.004030	0.070819	0.003542	0.003954	0.000857	0.032048	0.002451	0.010648	0.001430	0.026382	0.002244	0.001400	0.000529	0.094923	0.004089	0.002562	0.000690	
3.4000	0.0986	0.0042	3.1212	0.000552	0.000321	0.013411	0.001593	0.045465	0.002897	0.206291	0.005687	0.033533	0.002510	0.129063	0.004715	0.246056	0.006052	0.088695	0.003967	0.071429	0.003568	0.003386	0.000794	0.031304	0.002414	0.010336	0.001397	0.024951	0.002171	0.000999	0.000415	0.091928	0.004024	0.002600	0.000689	
3.5000	0.0958	0.0042	3.0992	0.000600	0.000346	0.011172	0.001463	0.046491	0.002914	0.207773	0.005696	0.032703	0.002481	0.130310	0.004744	0.248817	0.006068	0.088577	0.003970	0.073549	0.003616	0.003176	0.000778	0.029176	0.002332	0.010853	0.001432	0.023183	0.002107	0.001064	0.000452	0.090737	0.004007	0.001818	0.000579	
3.6000	0.0940	0.0041	3.0764	0.000625	0.000347	0.009646	0.001357	0.046105	0.002918	0.211921	0.005737	0.033025	0.002498	0.131451	0.004750	0.249633	0.006082	0.087212	0.003937	0.074772	0.003641	0.002167	0.000627	0.027706	0.002280	0.010896	0.001444	0.022280	0.002055	0.001112	0.000454	0.090113	0.003986	0.001334	0.000503	
3.7000	0.0887	0.0040	3.0531	0.000906	0.000410	0.007701	0.001214	0.046124	0.002900	0.216579	0.005779	0.032793	0.002493	0.132785	0.004784	0.253732	0.006109	0.082875	0.003859	0.072383	0.003583	0.001958	0.000594	0.026089	0.002223	0.010503	0.001417	0.022379	0.002076	0.001176	0.000480	0.090693	0.004020	0.001326	0.000472	
3.8000	0.0873	0.0040	3.0303	0.000800	0.000400	0.007492	0.001208	0.046163	0.002916	0.220197	0.005820	0.030538	0.002409	0.135463	0.004817	0.257473	0.006142	0.080815	0.003804	0.070623	0.003551	0.002206	0.000655	0.024417	0.002153	0.010613	0.001437	0.021403	0.002024	0.000853	0.000403	0.089602	0.003989	0.001342	0.000510	
3.9000	0.0848	0.0039	3.0089	0.000623	0.000333	0.007306	0.001173	0.046113	0.002915	0.225116	0.005857	0.028904	0.002340	0.136130	0.004826	0.258500	0.006160	0.080030	0.003793	0.068446	0.003489	0.001884	0.000580	0.022650	0.002069	0.011203	0.001462	0.021200	0.002023	0.000875	0.000407	0.090269	0.004004	0.000751	0.000342	
4.0000	0.0840	0.0039	2.9970	0.000562	0.000307	0.007364	0.001185	0.046211	0.002907	0.227832	0.005889	0.028901	0.002345	0.136416	0.004843	0.260640	0.006167	0.076296	0.003697	0.068110	0.003484	0.001943	0.000616	0.021937	0.002049	0.010924	0.001445	0.021015	0.002013	0.001039	0.000447	0.090410	0.004013	0.000401	0.000283	
4.1000	0.0848	0.0040	2.9869	0.000583	0.000337	0.007369	0.001200	0.046198	0.002926	0.230481	0.005928	0.028355	0.002327	0.137182	0.004844	0.263246	0.006190	0.073736	0.003645	0.067025	0.003475	0.002421	0.000660	0.020818	0.001997	0.010172	0.001406	0.020372	0.001976	0.000900	0.000407	0.090159	0.003995	0.000982	0.000425	
4.2000	0.0811	0.0039	2.9679	0.000400	0.000283	0.007249	0.001190	0.045780	0.002915	0.234364	0.005946	0.027398	0.002285	0.137715	0.004852	0.266041	0.006214	0.071978	0.003597	0.065651	0.003407	0.002747	0.000722	0.019771	0.001944	0.010061	0.001386	0.019709	0.001937	0.000600	0.000346	0.089492	0.003977	0.001043	0.000401	
4.3000	0.0737	0.0037	2.9526	0.000388	0.000274	0.006239	0.001085	0.047344	0.002953	0.237066	0.005975	0.027375	0.002291	0.139306	0.004881	0.266309	0.006221	0.073891	0.003655	0.064689	0.003398	0.002343	0.000659	0.018070	0.001848	0.009743	0.001370	0.018605	0.001875	0.000742	0.000370	0.086749	0.003926	0.001141	0.000455	
4.4000	0.0702	0.0036	2.9321	0.000097	0.000097	0.005367	0.000998	0.046759	0.002905	0.238947	0.005990	0.027143	0.002269	0.140928	0.004906	0.269658	0.006229	0.072917	0.003627	0.065291	0.003417	0.002062	0.000625	0.017553	0.001816	0.008951	0.001309	0.017931	0.001856	0.001068	0.000445	0.084141	0.003878	0.001189	0.000471	
4.5000	0.0675	0.0036	2.9067	0.000287	0.000212	0.005401	0.001012	0.046751	0.002916	0.240016	0.006002	0.026559	0.002244	0.143114	0.004934	0.276348	0.006283	0.069539	0.003551	0.063506	0.003383	0.001593	0.000543	0.016221	0.001753	0.007672	0.001222	0.017815	0.001849	0.000892	0.000410	0.082887	0.003858	0.001397	0.000528	
4.6000	0.0686	0.0036	2.8931	0.000400	0.000283	0.004903	0.000955	0.048528	0.002985	0.239672	0.006000	0.026254	0.002236	0.143384	0.004941	0.280088	0.006311	0.068777	0.003517	0.062823	0.003346	0.001400	0.000529	0.016075	0.001755	0.007471	0.001200	0.017094	0.001803	0.000800	0.000400	0.081322	0.003817	0.001009	0.000428	
4.7000	0.0650	0.0035	2.8759	0.000400	0.000283	0.004440	0.000937	0.048255	0.002972	0.241697	0.006009	0.025413	0.002216	0.144690	0.004965	0.284415	0.006348	0.068502	0.003531	0.059994	0.003283	0.001339	0.000505	0.015368	0.001712	0.007820	0.001230	0.016552	0.001787	0.000814	0.000400	0.079042	0.003774	0.001259	0.000484	
4.8000	0.0652	0.0035	2.8645	0.000400	0.000283	0.004217	0.000885	0.049790	0.003013	0.240713	0.006011	0.024705	0.002166	0.147481	0.004998	0.288266	0.006373	0.066535	0.003484	0.057299	0.003226	0.001403	0.000512	0.015842	0.001740	0.007796	0.001229	0.015493	0.001735	0.001000	0.000447	0.077945	0.003750	0.001117	0.000455	
4.9000	0.0670	0.0036	2.8458	0.000070	0.000055	0.004070	0.000888	0.049566	0.003020	0.241819	0.006024	0.024256	0.002158	0.149301	0.005028	0.291975	0.006400	0.064339	0.003433	0.055482	0.003170	0.001398	0.000510	0.016676	0.001771	0.007396	0.001194	0.014969	0.001698	0.001000	0.000447	0.076825	0.003717	0.000860	0.000392	
5.0000	0.0669	0.0035	2.8342	0	0	0.004321	0.000903	0.049241	0.003002	0.241895	0.006025	0.024013	0.002149	0.150823	0.005046	0.294669	0.006409	0.062693	0.003377	0.056242	0.003190	0.001200	0.000490	0.017296	0.001817	0.007200	0.001196	0.014143	0.001643	0.001130	0.000466	0.074664	0.003672	0.000470	0.000291	
5.1000	0.0678	0.0036	2.8283	0	0	0.004344	0.000924	0.049019	0.002997	0.241984	0.006017	0.023474	0.002117	0.151824	0.005065	0.296126	0.006423	0.062874	0.003392	0.058271	0.003244	0.001287	0.000493	0.017660	0.001838	0.006735	0.001132	0.013722	0.001636	0.001200	0.000490	0.071099	0.003594	0.000379	0.000255	
5.2000	0.0661	0.0035	2.8165	0	0	0.003970	0.000869	0.049406	0.003016	0.242355	0.006034	0.023624	0.002133	0.152540	0.005071	0.299126	0.006441	0.062141	0.003372	0.057742	0.003236	0.001348	0.000491	0.017272	0.001811	0.006360	0.001114	0.013663	0.001606	0.001184	0.000483	0.068995	0.003540	0.000274	0.000166	
5.3000	0.0651	0.0035	2.8002	0	0	0.003435	0.000803	0.048401	0.002969	0.243047	0.006028	0.023338	0.002120	0.153025	0.005081	0.301854	0.006446	0.062975	0.003385	0.057214	0.003199	0.001222	0.000490	0.015957	0.001750	0.006356	0.001103	0.013572	0.001609	0.000840	0.000390	0.068455	0.003526	0.000310	0.000228	
5.4000	0.0638	0.0035	2.7964	0	0	0.003090	0.000776	0.048587	0.002999	0.243262	0.006032	0.022628	0.002085	0.153102	0.005075	0.302783	0.006463	0.062187	0.003380	0.057115	0.003195	0.001085	0.000455	0.016596	0.001778	0.006274	0.001111	0.014043	0.001634	0.000600	0.000346	0.068119	0.003526	0.000528	0.000310	
5.5000	0.0607	0.0034	2.7855	0.000148	0.000148	0.002640	0.000706	0.051226	0.003059	0.245311	0.006042	0.021739	0.002041	0.154323	0.005096	0.302544	0.006455	0.061207	0.003334	0.055446	0.003153	0.001000	0.000447	0.015669	0.001729	0.005659	0.001036	0.013675	0.001634	0.000600	0.000346	0.068188	0.003519	0.000626	0.000312	
5.6000	0.0612	0.0034	2.7825	0.000401	0.000246	0.003003	0.000757	0.051701	0.003073	0.245349	0.006047	0.021034	0.002013	0.156277	0.005126	0.304241	0.006462	0.059944	0.003306	0.055265	0.003146	0.001011	0.000447	0.015321	0.001717	0.005438	0.001007	0.013241	0.001603	0.000750	0.000377	0.066059	0.003471	0.000965	0.000414	
5.7000	0.0579	0.0033	2.7790	0.000400	0.000283	0.003057	0.000750	0.051435	0.003080	0.246616	0.006067	0.021317	0.002022	0.156799	0.005131	0.304194	0.006469	0.059804	0.003296	0.054942	0.003146	0.001522	0.000527	0.014603	0.001676	0.005251	0.001008	0.013140	0.001582	0.000701	0.000356	0.065453	0.003453	0.000767	0.000357	
5.8000	0.0577	0.0033	2.7734	0.000357	0.000254	0.002438	0.000689	0.053371	0.003120	0.245352	0.006056	0.020457	0.001987	0.158145	0.005148	0.305427	0.006476	0.058833	0.003287	0.056523	0.003197	0.001698	0.000573	0.014810	0.001689	0.005218	0.001017	0.013013	0.001584	0.000565	0.000311	0.063005	0.003385	0.000789	0.000395	
5.9000	0.0569	0.0032	2.7592	0.000317	0.000231	0.002224	0.000650	0.052557	0.003106	0.245603	0.006053	0.019829	0.001957	0.160599	0.005184	0.308075	0.006493	0.058490	0.003268	0.057937	0.003236	0.001800	0.000600	0.015125	0.001704	0.004882	0.000965	0.012128	0.001533	0.000600	0.000346	0.059031	0.003292	0.000803	0.000378	
6.0000	0.0590	0.0033	2.7556	0.000421	0.000284	0.002343	0.000668	0.053872	0.003144	0.245680	0.006053	0.019092	0.001919	0.161856	0.005200	0.307785	0.006497	0.057103	0.003252	0.058124	0.003242	0.001777	0.000580	0.014373	0.001658	0.005161	0.001003	0.011773	0.001513	0.000600	0.000346	0.059419	0.003312	0.000622	0.000347	
6.1000	0.0608	0.0034	2.7546	0.000570	0.000322	0.002548	0.000703	0.053558	0.003142	0.245881	0.006061	0.018779	0.001905	0.162528	0.005210	0.307475	0.006488	0.055364	0.003189	0.059608	0.003278	0.001690	0.000569	0.014645	0.001670	0.005271	0.001004	0.011872	0.001518	0.000521	0.000307	0.059336	0.003302	0.000355	0.000237	
6.2000	0.0602	0.0034	2.7390	0.000570	0.000315	0.002510	0.000701	0.052354	0.003090	0.247536	0.006066	0.017762	0.001847	0.163263	0.005214	0.311010	0.006514	0.055492	0.003191	0.055911	0.003192	0.001867	0.000603	0.015063	0.001711	0.005276	0.001011	0.011278	0.001466	0.000285	0.000217	0.059348	0.003318	0.000476	0.000282	
6.3000	0.0634	0.0034	2.7324	0.000671	0.000354	0.002337	0.000652	0.053547	0.003121	0.247425	0.006062	0.018373	0.001881	0.163364	0.005219	0.313583	0.006526	0.054499	0.003173	0.054093	0.003130	0.001634	0.000550	0.015459	0.001709	0.005120	0.000987	0.011322	0.001476	0.000439	0.000272	0.057873	0.003263	0.000261	0.000205	
6.4000	0.0642	0.0035	2.7352	0.001000	0.000447	0.002186	0.000637	0.053805	0.003140	0.246016	0.006063	0.017730	0.001852	0.164094	0.005231	0.314020	0.006528	0.054232	0.003154	0.054264	0.003160	0.001243	0.000492	0.015015	0.001706	0.005401	0.001029	0.011237	0.001482	0.000744	0.000375	0.058481	0.003299	0.000532	0.000305	
6.5000	0.0638	0.0035	2.7328	0.000985	0.000441	0.002389	0.000668	0.053727	0.003132	0.244996	0.006042	0.017579	0.001846	0.164269	0.005228	0.315334	0.006530	0.052837	0.003113	0.053135	0.003089	0.001004	0.000447	0.015931	0.001743	0.005427	0.001025	0.010898	0.001447	0.000615	0.000347	0.060363	0.003323	0.000513	0.000298	
6.6000	0.0644	0.0035	2.7284	0.000903	0.000413	0.002229	0.000645	0.053419	0.003112	0.244285	0.006045	0.017519	0.001846	0.165020	0.005243	0.316301	0.006534	0.053041	0.003119	0.053355	0.003117	0.000776	0.000364	0.015722	0.001742	0.005607	0.001034	0.010742	0.001437	0.000800	0.000400	0.059882	0.003321	0.000398	0.000260	
6.7000	0.0632	0.0034	2.7311	0.000991	0.000427	0.002155	0.000630	0.052130	0.003091	0.241526	0.006021	0.017351	0.001832	0.165817	0.005255	0.318925	0.006553	0.052223	0.003103	0.054893	0.003144	0.000516	0.000299	0.016349	0.001767	0.006437	0.001103	0.010854	0.001439	0.000860	0.000404	0.058266	0.003274	0.000707	0.000362	
6.8000	0.0606	0.0034	2.7211	0.001197	0.000489	0.002174	0.000655	0.049022	0.003002	0.244189	0.006039	0.018273	0.001883	0.166459	0.005257	0.319800	0.006563	0.053122	0.003131	0.054157	0.003119	0.000600	0.000346	0.015337	0.001709	0.005928	0.001073	0.010101	0.001391	0.001001	0.000447	0.057876	0.003255	0.000764	0.000382	
6.9000	0.0595	0.0033	2.7161	0.000972	0.000416	0.002000	0.000632	0.050344	0.003027	0.244233	0.006040	0.017581	0.001840	0.167058	0.005266	0.319862	0.006554	0.053026	0.003117	0.054371	0.003140	0.000840	0.000373	0.013738	0.001626	0.005841	0.001054	0.010206	0.001405	0.001587	0.000561	0.057941	0.003255	0.000400	0.000283	
7.0000	0.0622	0.0034	2.7142	0.000756	0.000364	0.002308	0.000651	0.049358	0.003018	0.243231	0.006044	0.016713	0.001787	0.168204	0.005280	0.321889	0.006574	0.052943	0.003133	0.054009	0.003141	0.001105	0.000438	0.013146	0.001592	0.005809	0.001063	0.010411	0.001427	0.001713	0.000576	0.057542	0.003264	0.000862	0.000404	
7.1000	0.0633	0.0034	2.7059	0.000388	0.000235	0.002946	0.000745	0.047255	0.002946	0.245137	0.006056	0.016876	0.001808	0.169341	0.005300	0.323711	0.006577	0.051797	0.003094	0.052313	0.003066	0.001363	0.000516	0.013427	0.001606	0.005935	0.001070	0.010635	0.001430	0.001437	0.000495	0.056464	0.003232	0.000975	0.000410	
7.2000	0.0648	0.0034	2.6954	0.000400	0.000283	0.003031	0.000762	0.044702	0.002861	0.245005	0.006052	0.016635	0.001795	0.170341	0.005308	0.326755	0.006593	0.051722	0.003086	0.053071	0.003095	0.001130	0.000450	0.013769	0.001632	0.005888	0.001058	0.010778	0.001441	0.001200	0.000490	0.054435	0.003169	0.001141	0.000453	
7.3000	0.0664	0.0035	2.6821	0.000400	0.000283	0.002187	0.000644	0.045487	0.002892	0.243655	0.006037	0.015987	0.001760	0.171961	0.005330	0.329013	0.006607	0.051245	0.003073	0.053532	0.003109	0.000605	0.000346	0.013929	0.001647	0.006490	0.001129	0.010498	0.001414	0.001233	0.000476	0.052924	0.003142	0.000857	0.000402	
