Time	TH	ErrorTH	H	HD=0	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba
1.0000	0.2957	0.0069	3.7267	1.0000	p21	0.119917	0.004522	AKT	0.070333	0.003546	mTORC1_S6K1	0.093548	0.004037	p21 -- AKT	0.013583	0.001577	<nil>	0.125952	0.004608	Senescence	0.078613	0.003729	p21 -- mTORC1_S6K1 -- AKT	0.007150	0.001163	mTORC1_S6K1 -- AKT	0.075744	0.003686	p21 -- mTORC1_S6K1	0.041518	0.002738	p21 -- Senescence	0.084403	0.003854	Senescence -- AKT	0.044368	0.002858	p21 -- Senescence -- AKT	0.010326	0.001387	mTORC1_S6K1 -- Senescence	0.055370	0.003143	p21 -- mTORC1_S6K1 -- Senescence -- AKT	0.026896	0.002244	mTORC1_S6K1 -- Senescence -- AKT	0.055985	0.003187	p21 -- mTORC1_S6K1 -- Senescence	0.096294	0.004106
1.1000	0.2704	0.0067	3.7004	1.0000	p21	0.126676	0.004637	AKT	0.069889	0.003543	mTORC1_S6K1	0.095605	0.004080	p21 -- AKT	0.012241	0.001534	<nil>	0.126585	0.004617	Senescence	0.072140	0.003604	p21 -- mTORC1_S6K1 -- AKT	0.005230	0.000985	mTORC1_S6K1 -- AKT	0.079537	0.003777	p21 -- mTORC1_S6K1	0.042328	0.002770	p21 -- Senescence	0.083442	0.003840	Senescence -- AKT	0.041709	0.002780	p21 -- Senescence -- AKT	0.008940	0.001297	mTORC1_S6K1 -- Senescence	0.054222	0.003141	p21 -- mTORC1_S6K1 -- Senescence -- AKT	0.026084	0.002217	mTORC1_S6K1 -- Senescence -- AKT	0.054277	0.003148	p21 -- mTORC1_S6K1 -- Senescence	0.101096	0.004209
1.2000	0.2524	0.0064	3.6721	1.0000	p21	0.132625	0.004735	AKT	0.066604	0.003467	mTORC1_S6K1	0.097916	0.004124	p21 -- AKT	0.010705	0.001417	<nil>	0.128743	0.004649	Senescence	0.066587	0.003455	p21 -- mTORC1_S6K1 -- AKT	0.003966	0.000869	mTORC1_S6K1 -- AKT	0.082961	0.003850	p21 -- mTORC1_S6K1	0.043702	0.002803	p21 -- Senescence	0.081299	0.003809	Senescence -- AKT	0.040147	0.002728	p21 -- Senescence -- AKT	0.008090	0.001237	mTORC1_S6K1 -- Senescence	0.052707	0.003088	p21 -- mTORC1_S6K1 -- Senescence -- AKT	0.023253	0.002080	mTORC1_S6K1 -- Senescence -- AKT	0.054329	0.003144	p21 -- mTORC1_S6K1 -- Senescence	0.106368	0.004296
1.3000	0.2357	0.0063	3.6443	1.0000	p21	0.140755	0.004854	AKT	0.064620	0.003430	mTORC1_S6K1	0.098394	0.004138	p21 -- AKT	0.009029	0.001298	<nil>	0.129348	0.004671	Senescence	0.062610	0.003368	p21 -- mTORC1_S6K1 -- AKT	0.003664	0.000813	mTORC1_S6K1 -- AKT	0.086831	0.003928	p21 -- mTORC1_S6K1	0.047100	0.002916	p21 -- Senescence	0.078075	0.003734	Senescence -- AKT	0.036790	0.002612	p21 -- Senescence -- AKT	0.006472	0.001087	mTORC1_S6K1 -- Senescence	0.052854	0.003116	p21 -- mTORC1_S6K1 -- Senescence -- AKT	0.021698	0.002016	mTORC1_S6K1 -- Senescence -- AKT	0.051606	0.003070	p21 -- mTORC1_S6K1 -- Senescence	0.110156	0.004382
1.4000	0.2211	0.0061	3.6265	1.0000	p21	0.144348	0.004917	AKT	0.061519	0.003340	mTORC1_S6K1	0.100106	0.004177	p21 -- AKT	0.007867	0.001224	<nil>	0.128888	0.004668	p21 -- Senescence	0.076049	0.003688	Senescence -- AKT	0.032563	0.002467	p21 -- mTORC1_S6K1 -- AKT	0.004011	0.000850	Senescence	0.061276	0.003331	p21 -- mTORC1_S6K1 -- Senescence -- AKT	0.020721	0.001983	mTORC1_S6K1 -- Senescence -- AKT	0.049740	0.003027	p21 -- mTORC1_S6K1 -- Senescence	0.113945	0.004443	mTORC1_S6K1 -- Senescence	0.052108	0.003082	p21 -- Senescence -- AKT	0.006097	0.001087	mTORC1_S6K1 -- AKT	0.091067	0.004022	p21 -- mTORC1_S6K1	0.049694	0.002997
1.5000	0.2117	0.0060	3.6033	1.0000	p21	0.149751	0.004972	AKT	0.057685	0.003237	Senescence -- AKT	0.029314	0.002348	p21 -- Senescence	0.073287	0.003627	p21 -- mTORC1_S6K1	0.049948	0.003000	mTORC1_S6K1 -- AKT	0.092430	0.004051	Senescence	0.057343	0.003236	p21 -- mTORC1_S6K1 -- AKT	0.003986	0.000875	p21 -- mTORC1_S6K1 -- Senescence -- AKT	0.020046	0.001947	mTORC1_S6K1 -- Senescence -- AKT	0.049132	0.003010	p21 -- mTORC1_S6K1 -- Senescence	0.117708	0.004499	p21 -- Senescence -- AKT	0.005773	0.001038	mTORC1_S6K1 -- Senescence	0.051553	0.003070	<nil>	0.130587	0.004672	p21 -- AKT	0.007209	0.001178	mTORC1_S6K1	0.104248	0.004251
1.6000	0.2006	0.0059	3.5764	1.0000	AKT	0.053875	0.003136	p21	0.157405	0.005078	mTORC1_S6K1	0.107036	0.004306	p21 -- AKT	0.007187	0.001156	Senescence -- AKT	0.026950	0.002258	p21 -- Senescence	0.069392	0.003540	Senescence	0.055045	0.003177	p21 -- mTORC1_S6K1 -- AKT	0.003138	0.000752	p21 -- mTORC1_S6K1 -- Senescence -- AKT	0.019026	0.001891	p21 -- Senescence -- AKT	0.004934	0.000955	mTORC1_S6K1 -- Senescence	0.051711	0.003074	p21 -- mTORC1_S6K1 -- Senescence	0.122979	0.004595	mTORC1_S6K1 -- Senescence -- AKT	0.047902	0.002974	<nil>	0.127904	0.004634	mTORC1_S6K1 -- AKT	0.094707	0.004089	p21 -- mTORC1_S6K1	0.050807	0.003032
1.7000	0.1911	0.0058	3.5462	1.0000	AKT	0.049976	0.003051	p21	0.165192	0.005199	mTORC1_S6K1	0.111347	0.004378	p21 -- AKT	0.007320	0.001183	Senescence -- AKT	0.024413	0.002151	p21 -- Senescence	0.067172	0.003486	mTORC1_S6K1 -- Senescence	0.051242	0.003030	p21 -- Senescence -- AKT	0.004031	0.000867	p21 -- mTORC1_S6K1 -- Senescence -- AKT	0.017748	0.001842	p21 -- mTORC1_S6K1 -- AKT	0.002306	0.000652	Senescence	0.052401	0.003097	p21 -- mTORC1_S6K1 -- Senescence	0.128089	0.004675	mTORC1_S6K1 -- Senescence -- AKT	0.047034	0.002953	<nil>	0.124272	0.004607	mTORC1_S6K1 -- AKT	0.095882	0.004136	p21 -- mTORC1_S6K1	0.051573	0.003042
1.8000	0.1769	0.0056	3.5214	1.0000	AKT	0.047678	0.002989	p21	0.172501	0.005288	mTORC1_S6K1	0.111863	0.004395	p21 -- AKT	0.007016	0.001151	Senescence -- AKT	0.021991	0.002050	p21 -- Senescence	0.065609	0.003437	p21 -- mTORC1_S6K1 -- Senescence -- AKT	0.016350	0.001748	mTORC1_S6K1 -- Senescence	0.049832	0.003020	p21 -- Senescence -- AKT	0.003496	0.000808	p21 -- mTORC1_S6K1 -- AKT	0.002397	0.000654	Senescence	0.049091	0.002999	p21 -- mTORC1_S6K1 -- Senescence	0.132909	0.004752	mTORC1_S6K1 -- Senescence -- AKT	0.047538	0.002953	<nil>	0.120610	0.004542	mTORC1_S6K1 -- AKT	0.098767	0.004189	p21 -- mTORC1_S6K1	0.052354	0.003063
1.9000	0.1677	0.0054	3.4982	1.0000	AKT	0.046098	0.002931	p21	0.178722	0.005353	mTORC1_S6K1	0.111488	0.004387	p21 -- AKT	0.006562	0.001123	Senescence -- AKT	0.019738	0.001940	p21 -- Senescence	0.061005	0.003336	p21 -- mTORC1_S6K1 -- Senescence -- AKT	0.015439	0.001693	mTORC1_S6K1 -- Senescence	0.047690	0.002946	p21 -- Senescence -- AKT	0.003349	0.000808	p21 -- mTORC1_S6K1 -- AKT	0.002411	0.000667	Senescence	0.045788	0.002918	p21 -- mTORC1_S6K1 -- Senescence	0.136909	0.004814	mTORC1_S6K1 -- Senescence -- AKT	0.048032	0.002969	<nil>	0.118767	0.004512	mTORC1_S6K1 -- AKT	0.102267	0.004242	p21 -- mTORC1_S6K1	0.055737	0.003158
