Time	TH	ErrorTH	H	HD=0	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba
8.8000	0.0569	0.0032	2.6261	1.0000	p21 -- mTORC1_S6K1 -- Senescence -- AKT	0.004478	0.000930	mTORC1_S6K1 -- Senescence	0.011540	0.001488	p21 -- mTORC1_S6K1	0.046564	0.002925	mTORC1_S6K1 -- AKT	0.183518	0.005465	<nil>	0.056089	0.003188	Senescence -- AKT	0.000880	0.000408	p21 -- Senescence	0.041249	0.002764	p21 -- mTORC1_S6K1 -- AKT	0.000921	0.000390	Senescence	0.003378	0.000803	AKT	0.008565	0.001295	p21	0.335349	0.006631	p21 -- mTORC1_S6K1 -- Senescence	0.243094	0.006041	mTORC1_S6K1 -- Senescence -- AKT	0.014328	0.001660	mTORC1_S6K1	0.049272	0.003030	p21 -- AKT	0.000773	0.000387
8.9000	0.0593	0.0033	2.6290	1.0000	p21 -- mTORC1_S6K1 -- Senescence -- AKT	0.004518	0.000941	p21 -- Senescence -- AKT	0.000180	0.000180	mTORC1_S6K1 -- Senescence	0.011963	0.001528	p21 -- mTORC1_S6K1	0.046113	0.002912	mTORC1_S6K1 -- AKT	0.184511	0.005480	<nil>	0.055312	0.003197	Senescence -- AKT	0.000910	0.000415	p21 -- Senescence	0.041773	0.002769	p21 -- mTORC1_S6K1 -- AKT	0.001100	0.000458	Senescence	0.003857	0.000855	AKT	0.008392	0.001269	p21	0.336372	0.006655	p21 -- mTORC1_S6K1 -- Senescence	0.241246	0.006021	mTORC1_S6K1 -- Senescence -- AKT	0.013718	0.001635	mTORC1_S6K1	0.049436	0.003043	p21 -- AKT	0.000600	0.000346
9.0000	0.0625	0.0034	2.6282	1.0000	p21 -- mTORC1_S6K1 -- Senescence -- AKT	0.004484	0.000919	p21 -- Senescence -- AKT	0.000111	0.000111	mTORC1_S6K1 -- Senescence	0.012874	0.001566	p21 -- mTORC1_S6K1	0.043073	0.002796	mTORC1_S6K1 -- AKT	0.184815	0.005483	<nil>	0.054807	0.003170	Senescence -- AKT	0.000800	0.000400	p21 -- Senescence	0.043470	0.002833	p21 -- mTORC1_S6K1 -- AKT	0.001113	0.000443	Senescence	0.003596	0.000834	AKT	0.008933	0.001310	p21	0.337291	0.006649	mTORC1_S6K1	0.049939	0.003043	p21 -- AKT	0.000591	0.000313	p21 -- mTORC1_S6K1 -- Senescence	0.240504	0.006015	mTORC1_S6K1 -- Senescence -- AKT	0.013599	0.001623
9.1000	0.0624	0.0034	2.6287	1.0000	p21 -- mTORC1_S6K1 -- Senescence -- AKT	0.004785	0.000952	mTORC1_S6K1 -- Senescence	0.013072	0.001573	p21 -- mTORC1_S6K1	0.043730	0.002823	mTORC1_S6K1 -- AKT	0.185258	0.005489	<nil>	0.055348	0.003202	Senescence -- AKT	0.000675	0.000354	p21 -- Senescence	0.042197	0.002776	p21 -- mTORC1_S6K1 -- AKT	0.000587	0.000286	Senescence	0.003363	0.000786	AKT	0.008719	0.001301	p21	0.337013	0.006646	mTORC1_S6K1	0.050986	0.003082	p21 -- AKT	0.000909	0.000409	p21 -- mTORC1_S6K1 -- Senescence	0.239211	0.006001	mTORC1_S6K1 -- Senescence -- AKT	0.014147	0.001652
9.2000	0.0613	0.0034	2.6245	1.0000	p21 -- mTORC1_S6K1 -- Senescence -- AKT	0.004677	0.000940	mTORC1_S6K1 -- Senescence	0.013327	0.001606	p21 -- Senescence -- AKT	0.000259	0.000156	p21 -- mTORC1_S6K1	0.043299	0.002809	mTORC1_S6K1 -- AKT	0.186972	0.005511	<nil>	0.055485	0.003193	Senescence	0.003959	0.000862	p21 -- mTORC1_S6K1 -- AKT	0.000561	0.000325	Senescence -- AKT	0.000600	0.000346	p21 -- Senescence	0.040667	0.002733	AKT	0.008781	0.001318	p21	0.339205	0.006664	mTORC1_S6K1	0.049985	0.003037	p21 -- AKT	0.000819	0.000400	p21 -- mTORC1_S6K1 -- Senescence	0.237871	0.005992	mTORC1_S6K1 -- Senescence -- AKT	0.013533	0.001619
9.3000	0.0600	0.0033	2.6237	1.0000	mTORC1_S6K1 -- Senescence	0.012625	0.001564	p21 -- Senescence -- AKT	0.000751	0.000360	p21 -- mTORC1_S6K1	0.042772	0.002781	mTORC1_S6K1 -- AKT	0.188075	0.005519	Senescence -- AKT	0.000600	0.000346	p21 -- Senescence	0.040022	0.002727	p21 -- mTORC1_S6K1 -- AKT	0.000530	0.000294	Senescence	0.004518	0.000926	<nil>	0.055033	0.003184	p21 -- mTORC1_S6K1 -- Senescence -- AKT	0.004122	0.000888	p21 -- AKT	0.000742	0.000374	mTORC1_S6K1	0.050541	0.003059	AKT	0.008945	0.001313	p21	0.338561	0.006657	mTORC1_S6K1 -- Senescence -- AKT	0.013487	0.001617	p21 -- mTORC1_S6K1 -- Senescence	0.238677	0.006005
9.4000	0.0591	0.0033	2.6249	1.0000	mTORC1_S6K1 -- Senescence	0.012835	0.001574	p21 -- Senescence -- AKT	0.001093	0.000457	p21 -- mTORC1_S6K1	0.042524	0.002797	mTORC1_S6K1 -- AKT	0.189392	0.005541	Senescence -- AKT	0.000564	0.000306	p21 -- Senescence	0.039117	0.002694	p21 -- mTORC1_S6K1 -- AKT	0.000868	0.000365	Senescence	0.004872	0.000975	<nil>	0.055902	0.003203	p21 -- mTORC1_S6K1 -- Senescence -- AKT	0.004274	0.000917	p21 -- AKT	0.000679	0.000330	mTORC1_S6K1	0.049558	0.003034	AKT	0.008733	0.001298	p21	0.337731	0.006661	mTORC1_S6K1 -- Senescence -- AKT	0.012551	0.001569	p21 -- mTORC1_S6K1 -- Senescence	0.239306	0.006010
9.5000	0.0591	0.0034	2.6217	1.0000	mTORC1_S6K1 -- Senescence	0.013114	0.001584	p21 -- Senescence -- AKT	0.001249	0.000481	p21 -- mTORC1_S6K1	0.039875	0.002694	mTORC1_S6K1 -- AKT	0.189968	0.005543	<nil>	0.055492	0.003203	p21 -- mTORC1_S6K1 -- Senescence -- AKT	0.004055	0.000869	Senescence	0.004686	0.000959	p21 -- mTORC1_S6K1 -- AKT	0.000966	0.000418	Senescence -- AKT	0.000783	0.000392	p21 -- Senescence	0.039721	0.002711	p21 -- AKT	0.000764	0.000367	mTORC1_S6K1	0.050372	0.003057	AKT	0.008431	0.001286	p21	0.338869	0.006659	mTORC1_S6K1 -- Senescence -- AKT	0.012434	0.001550	p21 -- mTORC1_S6K1 -- Senescence	0.239223	0.006002
9.6000	0.0579	0.0033	2.6150	1.0000	mTORC1_S6K1 -- Senescence	0.012003	0.001512	p21 -- Senescence -- AKT	0.001183	0.000483	p21 -- mTORC1_S6K1	0.038986	0.002663	mTORC1_S6K1 -- AKT	0.191085	0.005557	p21	0.339285	0.006666	AKT	0.007737	0.001221	<nil>	0.055081	0.003189	p21 -- mTORC1_S6K1 -- Senescence -- AKT	0.004524	0.000941	mTORC1_S6K1	0.051753	0.003099	p21 -- AKT	0.001017	0.000447	Senescence -- AKT	0.000800	0.000400	p21 -- Senescence	0.039420	0.002708	p21 -- mTORC1_S6K1 -- AKT	0.000604	0.000310	Senescence	0.004730	0.000954	mTORC1_S6K1 -- Senescence -- AKT	0.012549	0.001564	p21 -- mTORC1_S6K1 -- Senescence	0.239243	0.006011
9.7000	0.0574	0.0033	2.6062	1.0000	Senescence -- AKT	0.000800	0.000400	p21 -- Senescence	0.038427	0.002677	mTORC1_S6K1 -- Senescence	0.011909	0.001503	p21 -- Senescence -- AKT	0.001114	0.000461	p21 -- mTORC1_S6K1 -- Senescence -- AKT	0.004626	0.000937	<nil>	0.054488	0.003169	p21 -- mTORC1_S6K1 -- AKT	0.000868	0.000406	Senescence	0.004325	0.000917	p21 -- mTORC1_S6K1	0.039043	0.002684	mTORC1_S6K1 -- AKT	0.193075	0.005576	AKT	0.007041	0.001180	p21	0.338953	0.006665	mTORC1_S6K1	0.051825	0.003094	p21 -- AKT	0.001200	0.000490	p21 -- mTORC1_S6K1 -- Senescence	0.240578	0.006024	mTORC1_S6K1 -- Senescence -- AKT	0.011729	0.001504
9.8000	0.0565	0.0033	2.5966	1.0000	Senescence -- AKT	0.000800	0.000400	p21 -- Senescence	0.036899	0.002618	mTORC1_S6K1 -- Senescence	0.011466	0.001493	p21 -- Senescence -- AKT	0.001026	0.000448	p21 -- mTORC1_S6K1 -- Senescence -- AKT	0.005009	0.000989	AKT	0.006376	0.001100	p21	0.340789	0.006672	p21 -- mTORC1_S6K1 -- AKT	0.001180	0.000482	Senescence	0.004319	0.000908	mTORC1_S6K1	0.049849	0.003047	p21 -- AKT	0.001190	0.000465	mTORC1_S6K1 -- AKT	0.194511	0.005593	p21 -- mTORC1_S6K1	0.039637	0.002690	<nil>	0.053888	0.003154	mTORC1_S6K1 -- Senescence -- AKT	0.011885	0.001518	p21 -- mTORC1_S6K1 -- Senescence	0.241176	0.006026
9.9000	0.0572	0.0033	2.5954	1.0000	mTORC1_S6K1	0.049086	0.003032	p21 -- AKT	0.001087	0.000455	Senescence -- AKT	0.000656	0.000349	p21 -- Senescence	0.037671	0.002635	mTORC1_S6K1 -- Senescence	0.012270	0.001530	p21 -- Senescence -- AKT	0.001092	0.000452	<nil>	0.054691	0.003167	p21 -- mTORC1_S6K1 -- AKT	0.001018	0.000447	Senescence	0.004238	0.000915	AKT	0.006245	0.001098	p21	0.340882	0.006666	mTORC1_S6K1 -- AKT	0.194876	0.005600	p21 -- mTORC1_S6K1	0.037960	0.002631	p21 -- mTORC1_S6K1 -- Senescence	0.241004	0.006015	mTORC1_S6K1 -- Senescence -- AKT	0.012150	0.001534	p21 -- mTORC1_S6K1 -- Senescence -- AKT	0.005074	0.000995
10.0000	0.0581	0.0033	2.5945	1.0000	mTORC1_S6K1	0.049616	0.003037	p21 -- AKT	0.000977	0.000413	Senescence -- AKT	0.000800	0.000400	p21 -- Senescence	0.038875	0.002690	mTORC1_S6K1 -- Senescence	0.012472	0.001556	p21 -- Senescence -- AKT	0.000800	0.000400	<nil>	0.054635	0.003166	p21 -- mTORC1_S6K1 -- AKT	0.000860	0.000389	Senescence	0.003866	0.000861	AKT	0.006581	0.001135	p21	0.341435	0.006675	mTORC1_S6K1 -- AKT	0.195526	0.005606	p21 -- mTORC1_S6K1	0.037212	0.002617	p21 -- mTORC1_S6K1 -- Senescence	0.239124	0.006011	mTORC1_S6K1 -- Senescence -- AKT	0.012337	0.001549	p21 -- mTORC1_S6K1 -- Senescence -- AKT	0.004885	0.000972
10.1000	0.0594	0.0033	2.5914	1.0000	mTORC1_S6K1	0.049961	0.003047	p21 -- AKT	0.001346	0.000510	mTORC1_S6K1 -- Senescence	0.012673	0.001550	p21 -- Senescence -- AKT	0.000610	0.000346	p21 -- mTORC1_S6K1 -- Senescence -- AKT	0.004460	0.000933	AKT	0.006719	0.001145	p21	0.342162	0.006680	Senescence -- AKT	0.000652	0.000350	p21 -- Senescence	0.039043	0.002696	p21 -- mTORC1_S6K1 -- AKT	0.000800	0.000400	Senescence	0.003993	0.000871	<nil>	0.053755	0.003146	mTORC1_S6K1 -- AKT	0.196930	0.005620	p21 -- mTORC1_S6K1	0.036499	0.002592	p21 -- mTORC1_S6K1 -- Senescence	0.238069	0.005999	mTORC1_S6K1 -- Senescence -- AKT	0.012327	0.001548
10.2000	0.0647	0.0035	2.5849	1.0000	p21 -- mTORC1_S6K1 -- Senescence -- AKT	0.004055	0.000889	mTORC1_S6K1 -- Senescence -- AKT	0.011911	0.001510	p21 -- mTORC1_S6K1 -- Senescence	0.238307	0.006003	mTORC1_S6K1	0.049832	0.003039	p21 -- AKT	0.001552	0.000549	p21	0.342967	0.006677	AKT	0.006171	0.001084	mTORC1_S6K1 -- Senescence	0.012428	0.001545	p21 -- Senescence -- AKT	0.000600	0.000346	Senescence -- AKT	0.000808	0.000387	p21 -- Senescence	0.038009	0.002653	p21 -- mTORC1_S6K1 -- AKT	0.000800	0.000400	Senescence	0.004360	0.000915	<nil>	0.053338	0.003129	mTORC1_S6K1 -- AKT	0.198101	0.005628	p21 -- mTORC1_S6K1	0.036760	0.002591
10.3000	0.0663	0.0035	2.5859	1.0000	p21 -- mTORC1_S6K1 -- Senescence -- AKT	0.003865	0.000867	mTORC1_S6K1 -- Senescence -- AKT	0.011670	0.001509	p21 -- mTORC1_S6K1 -- Senescence	0.237736	0.005999	mTORC1_S6K1	0.050006	0.003033	p21 -- AKT	0.001960	0.000602	p21	0.342597	0.006675	AKT	0.006113	0.001090	mTORC1_S6K1 -- Senescence	0.012358	0.001531	p21 -- Senescence -- AKT	0.000456	0.000266	Senescence -- AKT	0.001057	0.000451	p21 -- Senescence	0.036650	0.002603	p21 -- mTORC1_S6K1 -- AKT	0.000800	0.000400	Senescence	0.004301	0.000918	<nil>	0.052489	0.003109	mTORC1_S6K1 -- AKT	0.199268	0.005645	p21 -- mTORC1_S6K1	0.038674	0.002656
10.4000	0.0654	0.0035	2.5933	1.0000	p21 -- mTORC1_S6K1 -- Senescence -- AKT	0.003888	0.000865	mTORC1_S6K1 -- Senescence -- AKT	0.010799	0.001445	p21 -- mTORC1_S6K1 -- Senescence	0.236458	0.005987	Senescence -- AKT	0.001422	0.000518	p21 -- Senescence	0.037182	0.002642	AKT	0.005727	0.001039	p21	0.340567	0.006680	p21 -- Senescence -- AKT	0.000246	0.000205	mTORC1_S6K1 -- Senescence	0.012426	0.001548	p21 -- mTORC1_S6K1 -- AKT	0.000988	0.000423	Senescence	0.004518	0.000938	<nil>	0.052060	0.003101	mTORC1_S6K1 -- AKT	0.200509	0.005656	p21 -- mTORC1_S6K1	0.041166	0.002744	mTORC1_S6K1	0.049901	0.003042	p21 -- AKT	0.002144	0.000647
10.5000	0.0643	0.0035	2.5952	1.0000	p21 -- mTORC1_S6K1 -- Senescence -- AKT	0.004026	0.000884	mTORC1_S6K1 -- Senescence -- AKT	0.010397	0.001418	p21 -- mTORC1_S6K1 -- Senescence	0.236738	0.005984	Senescence -- AKT	0.001449	0.000516	p21 -- Senescence	0.037267	0.002635	AKT	0.005893	0.001063	p21	0.338828	0.006661	p21 -- Senescence -- AKT	0.000170	0.000120	mTORC1_S6K1 -- Senescence	0.012839	0.001555	p21 -- mTORC1_S6K1 -- AKT	0.001195	0.000468	Senescence	0.004538	0.000926	<nil>	0.051828	0.003090	mTORC1_S6K1 -- AKT	0.201392	0.005667	p21 -- mTORC1_S6K1	0.041790	0.002759	mTORC1_S6K1	0.050000	0.003049	p21 -- AKT	0.001650	0.000567
10.6000	0.0634	0.0034	2.5926	1.0000	p21 -- mTORC1_S6K1 -- Senescence -- AKT	0.003265	0.000800	mTORC1_S6K1 -- Senescence -- AKT	0.010602	0.001447	p21 -- mTORC1_S6K1 -- Senescence	0.238175	0.006004	mTORC1_S6K1	0.050020	0.003034	p21 -- AKT	0.001600	0.000565	p21	0.336351	0.006653	AKT	0.006014	0.001073	mTORC1_S6K1 -- Senescence	0.012414	0.001539	p21 -- Senescence -- AKT	0.000380	0.000269	<nil>	0.052019	0.003093	Senescence -- AKT	0.001311	0.000502	p21 -- Senescence	0.038372	0.002686	p21 -- mTORC1_S6K1 -- AKT	0.001068	0.000443	Senescence	0.003916	0.000864	mTORC1_S6K1 -- AKT	0.202201	0.005674	p21 -- mTORC1_S6K1	0.042292	0.002779
10.7000	0.0652	0.0034	2.5937	1.0000	p21 -- mTORC1_S6K1 -- Senescence -- AKT	0.003196	0.000778	mTORC1_S6K1 -- Senescence -- AKT	0.010911	0.001459	p21 -- mTORC1_S6K1 -- Senescence	0.238040	0.005995	mTORC1_S6K1	0.051367	0.003093	p21 -- AKT	0.001321	0.000499	Senescence -- AKT	0.001200	0.000490	p21 -- Senescence	0.038837	0.002680	<nil>	0.052852	0.003121	mTORC1_S6K1 -- Senescence	0.011961	0.001507	p21 -- Senescence -- AKT	0.000400	0.000283	p21 -- mTORC1_S6K1 -- AKT	0.000817	0.000400	Senescence	0.003380	0.000806	AKT	0.006371	0.001121	p21	0.334170	0.006639	mTORC1_S6K1 -- AKT	0.202488	0.005680	p21 -- mTORC1_S6K1	0.042688	0.002808
10.8000	0.0652	0.0034	2.5901	1.0000	p21 -- mTORC1_S6K1 -- Senescence -- AKT	0.003357	0.000805	mTORC1_S6K1 -- Senescence -- AKT	0.010824	0.001453	p21 -- mTORC1_S6K1 -- Senescence	0.236716	0.005980	mTORC1_S6K1	0.052161	0.003110	p21 -- AKT	0.001045	0.000449	Senescence -- AKT	0.001200	0.000490	p21 -- Senescence	0.039837	0.002717	<nil>	0.051453	0.003070	mTORC1_S6K1 -- Senescence	0.012414	0.001538	p21 -- Senescence -- AKT	0.000400	0.000283	p21 -- mTORC1_S6K1 -- AKT	0.000803	0.000353	Senescence	0.003352	0.000803	AKT	0.006139	0.001100	p21	0.335387	0.006638	mTORC1_S6K1 -- AKT	0.203619	0.005689	p21 -- mTORC1_S6K1	0.041293	0.002739
10.9000	0.0650	0.0034	2.5879	1.0000	p21 -- mTORC1_S6K1	0.038790	0.002660	mTORC1_S6K1 -- AKT	0.205027	0.005703	p21 -- mTORC1_S6K1 -- Senescence -- AKT	0.003873	0.000872	p21	0.335724	0.006647	AKT	0.006036	0.001083	mTORC1_S6K1 -- Senescence	0.012525	0.001536	p21 -- Senescence -- AKT	0.000400	0.000283	mTORC1_S6K1 -- Senescence -- AKT	0.010738	0.001454	p21 -- mTORC1_S6K1 -- Senescence	0.236995	0.005983	<nil>	0.050366	0.003056	Senescence -- AKT	0.000946	0.000414	p21 -- Senescence	0.039385	0.002694	p21 -- mTORC1_S6K1 -- AKT	0.001052	0.000450	Senescence	0.003706	0.000811	mTORC1_S6K1	0.053352	0.003143	p21 -- AKT	0.001086	0.000448
11.0000	0.0652	0.0035	2.5892	1.0000	p21 -- mTORC1_S6K1	0.039129	0.002666	mTORC1_S6K1 -- AKT	0.206162	0.005716	p21 -- mTORC1_S6K1 -- Senescence -- AKT	0.004131	0.000902	mTORC1_S6K1 -- Senescence -- AKT	0.010181	0.001404	p21 -- mTORC1_S6K1 -- Senescence	0.236276	0.005985	p21	0.336737	0.006651	AKT	0.006447	0.001124	mTORC1_S6K1 -- Senescence	0.012998	0.001576	p21 -- Senescence -- AKT	0.000469	0.000291	<nil>	0.049476	0.003031	Senescence -- AKT	0.000710	0.000363	p21 -- Senescence	0.039320	0.002699	p21 -- mTORC1_S6K1 -- AKT	0.001332	0.000490	Senescence	0.004417	0.000921	mTORC1_S6K1	0.051216	0.003074	p21 -- AKT	0.001000	0.000447
11.1000	0.0636	0.0034	2.5950	1.0000	p21 -- mTORC1_S6K1 -- Senescence -- AKT	0.003836	0.000863	p21 -- mTORC1_S6K1	0.041090	0.002723	mTORC1_S6K1 -- AKT	0.206728	0.005722	Senescence	0.004064	0.000894	p21 -- mTORC1_S6K1 -- AKT	0.001607	0.000551	p21	0.335399	0.006635	AKT	0.006756	0.001149	mTORC1_S6K1	0.050361	0.003052	p21 -- AKT	0.001000	0.000447	mTORC1_S6K1 -- Senescence	0.012875	0.001580	p21 -- Senescence -- AKT	0.000680	0.000355	p21 -- mTORC1_S6K1 -- Senescence	0.235663	0.005979	mTORC1_S6K1 -- Senescence -- AKT	0.009871	0.001388	<nil>	0.049356	0.003014	Senescence -- AKT	0.000815	0.000378	p21 -- Senescence	0.039898	0.002726
11.2000	0.0625	0.0034	2.5878	1.0000	p21 -- mTORC1_S6K1 -- Senescence -- AKT	0.003635	0.000832	p21 -- mTORC1_S6K1	0.040938	0.002723	mTORC1_S6K1 -- AKT	0.207691	0.005729	Senescence	0.004079	0.000875	p21 -- mTORC1_S6K1 -- AKT	0.001628	0.000555	<nil>	0.048284	0.003001	mTORC1_S6K1	0.048901	0.003017	p21 -- AKT	0.001108	0.000460	mTORC1_S6K1 -- Senescence	0.012816	0.001570	p21 -- Senescence -- AKT	0.000533	0.000300	p21 -- mTORC1_S6K1 -- Senescence	0.237747	0.005995	mTORC1_S6K1 -- Senescence -- AKT	0.010216	0.001410	Senescence -- AKT	0.001000	0.000447	p21 -- Senescence	0.038345	0.002666	AKT	0.007084	0.001172	p21	0.335996	0.006646
11.3000	0.0607	0.0034	2.5869	1.0000	p21 -- mTORC1_S6K1 -- Senescence -- AKT	0.004011	0.000883	p21 -- mTORC1_S6K1	0.041094	0.002721	mTORC1_S6K1 -- AKT	0.208448	0.005742	Senescence	0.004056	0.000889	p21 -- mTORC1_S6K1 -- AKT	0.001445	0.000531	<nil>	0.047982	0.002994	mTORC1_S6K1	0.049255	0.003024	p21 -- AKT	0.001200	0.000490	mTORC1_S6K1 -- Senescence	0.012353	0.001531	p21 -- Senescence -- AKT	0.000441	0.000286	p21 -- mTORC1_S6K1 -- Senescence	0.238998	0.006007	mTORC1_S6K1 -- Senescence -- AKT	0.010185	0.001411	Senescence -- AKT	0.001159	0.000474	p21 -- Senescence	0.036695	0.002620	AKT	0.007600	0.001228	p21	0.335078	0.006642
11.4000	0.0586	0.0033	2.5782	1.0000	p21 -- mTORC1_S6K1 -- Senescence -- AKT	0.004430	0.000937	p21 -- mTORC1_S6K1	0.042287	0.002767	mTORC1_S6K1 -- AKT	0.210341	0.005758	Senescence	0.004219	0.000909	p21 -- mTORC1_S6K1 -- AKT	0.001083	0.000440	<nil>	0.046552	0.002930	mTORC1_S6K1	0.048034	0.002981	p21 -- AKT	0.001274	0.000487	mTORC1_S6K1 -- Senescence	0.011818	0.001506	p21 -- Senescence -- AKT	0.000470	0.000291	p21 -- mTORC1_S6K1 -- Senescence	0.239869	0.006015	mTORC1_S6K1 -- Senescence -- AKT	0.009236	0.001342	Senescence -- AKT	0.001150	0.000471	p21 -- Senescence	0.036112	0.002592	AKT	0.007827	0.001238	p21	0.335299	0.006639
11.5000	0.0567	0.0033	2.5692	1.0000	p21 -- mTORC1_S6K1 -- Senescence -- AKT	0.004604	0.000956	Senescence	0.004596	0.000945	p21 -- mTORC1_S6K1 -- AKT	0.000606	0.000346	mTORC1_S6K1 -- AKT	0.210865	0.005766	p21 -- mTORC1_S6K1	0.041819	0.002767	<nil>	0.046684	0.002933	p21 -- mTORC1_S6K1 -- Senescence	0.241959	0.006034	mTORC1_S6K1 -- Senescence -- AKT	0.009148	0.001337	mTORC1_S6K1	0.048244	0.002999	p21 -- AKT	0.001215	0.000490	AKT	0.007975	0.001250	p21	0.335435	0.006643	p21 -- Senescence -- AKT	0.000505	0.000298	mTORC1_S6K1 -- Senescence	0.011735	0.001510	Senescence -- AKT	0.001080	0.000454	p21 -- Senescence	0.033529	0.002499
11.6000	0.0577	0.0033	2.5617	1.0000	p21 -- Senescence	0.032946	0.002476	Senescence -- AKT	0.001008	0.000436	p21 -- mTORC1_S6K1 -- Senescence -- AKT	0.004766	0.000956	p21 -- mTORC1_S6K1	0.040626	0.002733	mTORC1_S6K1 -- AKT	0.211665	0.005772	p21 -- mTORC1_S6K1 -- Senescence	0.241619	0.006026	mTORC1_S6K1 -- Senescence -- AKT	0.008917	0.001317	mTORC1_S6K1	0.048536	0.003010	p21 -- AKT	0.001400	0.000529	p21 -- Senescence -- AKT	0.000200	0.000200	mTORC1_S6K1 -- Senescence	0.012267	0.001524	AKT	0.007711	0.001208	p21	0.337276	0.006660	<nil>	0.045798	0.002920	Senescence	0.004592	0.000950	p21 -- mTORC1_S6K1 -- AKT	0.000672	0.000354
11.7000	0.0594	0.0033	2.5643	1.0000	p21 -- mTORC1_S6K1 -- Senescence -- AKT	0.005347	0.001015	p21 -- mTORC1_S6K1	0.038430	0.002641	mTORC1_S6K1 -- AKT	0.212623	0.005784	Senescence	0.004476	0.000935	p21 -- mTORC1_S6K1 -- AKT	0.001034	0.000433	<nil>	0.047640	0.002969	p21 -- AKT	0.001319	0.000499	mTORC1_S6K1	0.048352	0.003004	p21 -- Senescence	0.034591	0.002536	Senescence -- AKT	0.000854	0.000403	mTORC1_S6K1 -- Senescence -- AKT	0.008836	0.001304	p21 -- mTORC1_S6K1 -- Senescence	0.240254	0.006011	mTORC1_S6K1 -- Senescence	0.012542	0.001557	p21 -- Senescence -- AKT	0.000004	0.000004	AKT	0.007122	0.001177	p21	0.336576	0.006652
11.8000	0.0595	0.0033	2.5546	1.0000	mTORC1_S6K1 -- Senescence -- AKT	0.009243	0.001328	p21 -- mTORC1_S6K1 -- Senescence	0.243215	0.006046	p21 -- mTORC1_S6K1 -- Senescence -- AKT	0.005160	0.000996	mTORC1_S6K1 -- AKT	0.213448	0.005791	p21 -- mTORC1_S6K1	0.036808	0.002578	p21 -- Senescence	0.034654	0.002560	Senescence -- AKT	0.000744	0.000363	mTORC1_S6K1 -- Senescence	0.011712	0.001502	p21 -- mTORC1_S6K1 -- AKT	0.000649	0.000349	Senescence	0.004818	0.000970	p21 -- AKT	0.001314	0.000503	mTORC1_S6K1	0.048163	0.002989	AKT	0.006658	0.001132	p21	0.335196	0.006645	<nil>	0.048218	0.002987
11.9000	0.0570	0.0033	2.5509	1.0000	mTORC1_S6K1 -- Senescence -- AKT	0.008452	0.001275	p21 -- mTORC1_S6K1 -- Senescence	0.243899	0.006050	p21 -- mTORC1_S6K1 -- Senescence -- AKT	0.005079	0.000999	<nil>	0.048056	0.002973	Senescence	0.004779	0.000929	p21 -- mTORC1_S6K1 -- AKT	0.000600	0.000346	p21 -- AKT	0.001200	0.000490	mTORC1_S6K1	0.048113	0.002987	p21 -- Senescence	0.034424	0.002526	Senescence -- AKT	0.001054	0.000450	AKT	0.006470	0.001124	p21	0.334137	0.006636	mTORC1_S6K1 -- Senescence	0.011458	0.001473	p21 -- Senescence -- AKT	0.000014	0.000014	p21 -- mTORC1_S6K1	0.037506	0.002616	mTORC1_S6K1 -- AKT	0.214760	0.005800
12.0000	0.0577	0.0033	2.5567	1.0000	p21 -- mTORC1_S6K1 -- Senescence -- AKT	0.004902	0.000979	<nil>	0.047998	0.002964	Senescence	0.004456	0.000921	p21 -- mTORC1_S6K1 -- AKT	0.000571	0.000306	mTORC1_S6K1 -- AKT	0.214645	0.005801	p21 -- mTORC1_S6K1	0.038406	0.002651	p21 -- AKT	0.001101	0.000458	mTORC1_S6K1	0.048442	0.002993	p21 -- Senescence	0.034300	0.002544	Senescence -- AKT	0.001120	0.000458	mTORC1_S6K1 -- Senescence -- AKT	0.008554	0.001290	p21 -- mTORC1_S6K1 -- Senescence	0.244772	0.006061	mTORC1_S6K1 -- Senescence	0.011707	0.001492	p21 -- Senescence -- AKT	0.000200	0.000200	AKT	0.006802	0.001138	p21	0.332022	0.006629
12.1000	0.0557	0.0032	2.5491	1.0000	p21 -- mTORC1_S6K1 -- Senescence -- AKT	0.005078	0.000991	<nil>	0.047921	0.002974	mTORC1_S6K1 -- AKT	0.215663	0.005812	p21 -- mTORC1_S6K1	0.036675	0.002586	Senescence	0.004138	0.000887	p21 -- mTORC1_S6K1 -- AKT	0.000763	0.000367	p21 -- mTORC1_S6K1 -- Senescence	0.246002	0.006060	mTORC1_S6K1 -- Senescence -- AKT	0.008701	0.001302	mTORC1_S6K1	0.048344	0.003005	p21 -- AKT	0.000681	0.000353	p21 -- Senescence -- AKT	0.000200	0.000200	mTORC1_S6K1 -- Senescence	0.011574	0.001491	AKT	0.006755	0.001155	p21	0.332149	0.006630	Senescence -- AKT	0.001200	0.000490	p21 -- Senescence	0.034156	0.002524
