,"tp53, akt1, ikbkb: (000, 001, 010, 011, 100, 101, 110, 111)"
526,10101110
527,11101111
528,00000000
529,10001110
530,00000000
531,11111111
532,11001111
533,00001000
534,00001110
535,00001111
536,11001100
537,10001111
538,10001110
539,10001110
540,10101111
541,11101111
542,00000000
543,00001000
544,00001000
545,00000000
546,10001111
547,00000000
548,11001111
549,10101111
550,00000000
551,00000000
552,10001000
553,00000000
554,11111111
555,00000000
556,00001111
557,10001110
558,00000000
559,10101111
560,11101111
561,11101110
562,00000000
563,10101111
564,00000000
565,00000000
566,11111111
567,10001000
568,11111111
569,10101110
570,00001000
571,00000000
572,11111111
573,10001110
574,00001110
575,11111111
576,00000000
577,11111111
578,00000000
579,00001000
580,11111111
581,00001110
582,10001010
583,00000000
584,10101010
585,10001110
586,11101111
587,00001110
588,00000000
589,00000000
590,00000000
591,00000000
592,10001111
593,00000000
594,11001110
595,11101111
596,11101111
597,00000000
598,10101111
599,00001000
600,00000000
601,11001110
602,10001110
603,00000000
604,00000000
605,00000000
606,10001110
607,10001110
608,10001110
609,10001110
610,10001110
611,00000000
612,00000000
613,00000000
614,11001110
615,00000000
616,10101111
617,11111111
618,11101111
619,11111111
620,10001010
621,10101010
622,00001110
623,00000000
624,00000000
625,11001111
626,00001100
627,00000000
628,00000000
629,11111111
630,10101111
631,00000000
632,10101111
633,00000000
634,00000000
635,10101110
636,00001010
637,00000000
638,00000000
639,11001111
640,00000000
641,00000000
642,00000000
643,00001010
644,11101111
645,00000000
646,00000000
647,11111111
648,11001110
649,00001000
650,11001111
651,00001100
652,00001110
653,11111111
654,00001111
655,11001111
656,10001010
657,10001010
658,00000000
659,00000000
660,00001110
661,00001000
662,00001000
663,10001010
664,00000000
665,11111111
666,00000000
667,10001110
668,00000000
669,11111111
670,11111111
671,00001010
672,11111111
673,10101110
674,10001110
675,00001000
676,10101111
677,00001111
678,00001000
679,10001111
680,11101111
681,11111111
682,10101111
683,10001110
684,10001110
685,11101110
686,00001000
687,00001110
688,11111111
689,11111111
690,10001110
691,00000000
692,10101111
693,10101111
694,00000000
695,00000000
696,00001000
697,00001110
698,00000000
699,00000000
700,00000000
701,00001111
702,11111111
703,00001000
704,00000000
705,11111111
706,10001000
707,10001110
708,00001000
709,10001010
710,11101110
711,00001000
712,00000000
713,00001000
714,00001010
715,00000000
716,11111111
717,00000000
718,10101111
719,10101010
720,00000000
721,11001111
722,00000000
723,00001110
724,00000000
725,00001000
726,00001000
727,11001111
728,00000000
729,11001111
730,10101111
731,11111111
732,11111111
733,10101110
734,10001111
735,00000000
736,00000000
737,10001100
738,11111111
739,10101010
740,00000000
741,00000000
742,11101111
743,11101110
744,00001000
745,11101111
746,10101111
747,00000000
748,10101111
749,11101110
750,00001000
751,00000000
752,00001000
753,00000000
754,00000000
755,00001010
756,00001100
757,10001110
758,00001110
759,00000000
760,10001111
761,10001111
762,00000000
763,00000000
764,00000000
765,10001111
766,10001111
767,11001100
768,00001000
769,00001000
770,00000000
771,11001111
772,00000000
773,11101110
774,10001000
775,11111111
776,10001110
777,10101110
778,11111111
779,10001111
780,00001000
781,10101111
782,00001100
783,10101111
784,11101111
785,00000000
786,00000000
787,00000000
788,10001110
789,00000000
790,11101111
791,00000000
792,00000000
793,00001111
794,10101111
795,10001110
796,00001110
797,00000000
798,10001111
799,00001010
800,11111111
801,00001000
802,11001100
803,11001111
804,00000000
805,00000000
806,00000000
807,00001000
808,10001111
809,00000000
810,00001010
811,11111111
812,10001110
813,00000000
814,00001010
815,10001010
816,00000000
817,00001010
818,00001000
819,10101111
820,11101111
821,10001110
822,00000000
823,11101111
824,00001010
825,00001000
826,00000000
827,00000000
828,00001000
829,00000000
830,10001000
831,00001000
832,11001111
833,10001110
834,10001110
835,00000000
836,00001010
837,00001000
838,11111111
839,00000000
840,11001111
841,11111111
842,11001110
843,00000000
844,10101110
845,10001111
846,11001111
847,00000000
848,11001111
849,00000000
850,00001010
851,00001111
852,10101111
853,11111111
854,00001000
855,10001010
856,11101110
857,00000000
858,10001110
859,10101111
860,11111111
861,11101111
862,10001000
863,00001010
864,00001010
865,00000000
866,00000000
867,00001010
868,10001110
869,00001000
870,00000000
871,00000000
872,00001111
873,11001111
874,10001110
875,11111111
876,10101111
877,10001110
878,00001000
879,00000000
880,10001010
881,10001111
882,00001000
883,10001010
884,10101010
885,00001100
886,00000000
887,00001100
888,10001010
889,11111111
890,00001010
891,10001010
892,00001111
893,00000000
894,00000000
895,10001111
896,00000000
897,00001010
898,00000000
899,10101111
900,10001111
901,00001111
902,10101111
903,11111111
904,10001110
905,10001010
906,11111111
907,00001000
908,00001000
909,00001000
910,00001010
911,10101111
912,10001010
913,00001110
914,00000000
915,00000000
916,10001100
917,10101111
918,00001000
919,11001110
920,10101010
921,11111111
922,11101111
923,00000000
924,00001000
925,10101111
926,11111111
927,10001000
928,00000000
929,00001000
930,11101111
931,11101111
932,00001000
933,00001000
934,10001110
935,00001000
936,10101111
937,11101111
938,10001110
939,11111111
940,00000000
941,11001111
942,00001000
943,00000000
944,00001100
945,11101110
946,10001010
947,10001010
948,10001110
949,10001111
950,10001110
951,00000000
952,00001100
953,00000000
954,11111111
955,00000000
956,11111111
957,00000000
958,00000000
959,00001010
960,10001111
961,10001010
962,10001110
963,00000000
964,11001110
965,10001000
966,00000000
967,00000000
968,00000000
969,00000000
970,00000000
971,10001110
972,00000000
973,00000000
974,11111111
975,10001110
976,10001000
977,10001000
978,00000000
979,10101110
980,11111111
981,10101111
982,11001110
983,10001000
984,11111111
985,00000000
986,11001111
987,11111111
988,00001000
989,11111111
990,00001010
991,00000000
992,10001111
993,00000000
994,11101111
995,10101010
996,11001111
997,00001000
998,11101111
999,10101111
1000,00000000
1001,00000000
1002,10001110
1003,00000000
1004,11001111
1005,00000000
1006,10101111
1007,10101111
1008,10001000
1009,00000000
1010,10101111
1011,11111111
1012,00001111
1013,00001111
1014,00000000
1015,10001110
1016,00000000
1017,00001010
1018,10001110
1019,00000000
1020,00001100
1021,10001000
1022,11111111
1023,00001110
1024,11101111
1025,11111111
1026,10101110
1027,00001000
1028,10101110
1029,00000000
1030,10001110
1031,11101110
1032,10101111
1033,00000000
1034,00000000
1035,00000000
1036,00001000
1037,00000000
1038,00000000
1039,11101110
1040,10101111
1041,11001111
1042,10001110
1043,10001010
1044,00000000
1045,11001111
1046,10101010
1047,10101111
1048,00001000
1049,10101010
1050,00001010
1051,11101111
1052,11111111
1053,10101111
1054,11111111
1055,00001010
1056,10001000
1057,11101111
1058,00000000
1059,00000000
1060,00000000
1061,11111111
1062,10001010
1063,00000000
1064,10001110
1065,11111111
1066,00000000
1067,00000000
1068,00000000
1069,11001111
1070,00000000
1071,00000000
1072,11101111
1073,10001010
1074,00000000
1075,10101111
1076,00000000
1077,00001111
1078,00000000
1079,10001110
1080,11111111
1081,00000000
1082,00000000
1083,10001000
1084,00000000
1085,11101111
1086,11101111
1087,11111111
1088,11001111
1089,11101110
1090,10101111
1091,11111111
1092,11111111
1093,11111111
1094,00000000
1095,00000000
1096,00001111
1097,10001110
1098,11101111
1099,11001111
1100,00000000
1101,00001111
1102,11001100
1103,11001111
1104,11111111
1105,10101111
1106,11001111
1107,11001111
1108,10001010
1109,00001100
1110,10001010
1111,10001010
1112,10001110
1113,00001111
1114,11001110
1115,00001111
1116,11001111
1117,00001110
1118,11101111
1119,10101111
1120,10001110
1121,00000000
1122,00000000
1123,11111111
1124,10001110
1125,00000000
1126,10001110
1127,10001111
1128,00001110
1129,10001111
1130,10001111
1131,00000000
1132,11001111
1133,10101010
1134,11001111
1135,10001010
1136,11111111
1137,00000000
1138,10001111
1139,00001010
1140,00001010
1141,00000000
1142,00000000
1143,10001111
1144,00000000
1145,00000000
1146,00001110
1147,00001000
1148,11111111
1149,00000000
1150,00000000
1151,10101111
1152,00001000
1153,00001111
1154,00000000
1155,00001010
1156,11101111
1157,10101111
1158,11101111
1159,11001110
1160,11101111
1161,00001000
1162,11101111
1163,00000000
1164,11101111
1165,11101111
1166,00000000
1167,00001110
1168,00000000
1169,11101111
1170,00000000
1171,00000000
1172,11101111
1173,00000000
1174,00001110
1175,00001111
1176,11001111
1177,00000000
1178,11101111
1179,11001110
1180,00001010
1181,00000000
1182,00000000
1183,00000000
1184,00000000
1185,00000000
1186,10001111
1187,00001110
1188,00001000
1189,00000000
1190,00001000
1191,10101111
1192,00000000
1193,00001000
1194,00000000
1195,00000000
1196,00001010
1197,11001110
1198,10001110
1199,11101110
1200,11111111
1201,11101111
1202,00000000
1203,10001110
1204,11101111
1205,11001111
1206,10101111
1207,00001100
1208,11101110
1209,10101010
1210,10001111
1211,00001000
1212,10001110
1213,00001111
1214,11001111
1215,10001111
1216,11101111
1217,10001110
1218,00000000
1219,11001111
1220,00000000
1221,00000000
1222,00000000
1223,11111111
1224,00000000
1225,00000000
1226,00001100
1227,11001111
1228,11111111
1229,00001111
1230,00000000
1231,00000000
1232,00000000
1233,00000000
1234,10101111
1235,10101010
1236,00000000
1237,00001000
1238,00001000
1239,00001010
1240,11101111
1241,11111111
1242,00000000
1243,00000000
1244,00000000
1245,00000000
1246,11001111
1247,00000000
1248,11101110
1249,00001000
1250,11111111
1251,00000000
1252,00001100
1253,10101010
1254,10001110
1255,11001110
1256,00001111
1257,10101111
1258,00001000
1259,10101111
1260,11111111
1261,10101010
1262,11001111
1263,11101110
1264,00000000
1265,00000000
1266,10101110
1267,10101111
1268,10101111
1269,10001110
1270,00001010
1271,11111111
1272,11101111
1273,11101111
1274,10101110
1275,00001111
1276,10101111
1277,00001010
1278,10001110
1279,00000000
1280,11111111
1281,11111111
1282,11101111
1283,10001111
1284,11101111
1285,11111111
1286,10001100
1287,00001000
1288,11111111
1289,10001110
1290,00001000
1291,00001110
1292,11101111
1293,10101010
1294,00000000
1295,11101111
1296,00000000
1297,10101010
1298,00000000
1299,00000000
1300,00000000
1301,00000000
1302,11111111
1303,00000000
1304,10001110
1305,00000000
1306,11101111
1307,10101010
1308,10001000
1309,11001100
1310,11101111
1311,00001000
1312,11101111
1313,00000000
1314,10101111
1315,10101110
1316,10001110
1317,00000000
1318,00001000
1319,10101010
1320,00001000
1321,11101111
1322,11001111
1323,00001010
1324,10001110
1325,00000000
1326,00001111
1327,11111111
1328,00001110
1329,11001111
1330,11001111
1331,00001111
1332,00001000
1333,10001110
1334,10001110
1335,00000000
1336,10001110
1337,11111111
1338,11001111
1339,11111111
1340,10001110
1341,00000000
1342,10101010
1343,10101111
1344,00000000
1345,10001110
1346,11001110
1347,10001100
1348,11101111
1349,10101111
1350,00001000
1351,11111111
1352,10001110
1353,10001110
1354,11001110
1355,11101111
1356,00000000
1357,11101111
1358,00000000
1359,00001000
1360,00000000
1361,11001110
1362,00000000
1363,11111111
1364,10001000
1365,11111111
1366,00000000
1367,10001110
1368,00000000
1369,10001110
1370,10101110
1371,00001000
1372,11001111
1373,10001000
1374,10001000
1375,00000000
1376,10001110
1377,00001000
1378,10101110
1379,00001010
1380,00000000
1381,11101111
1382,10101110
1383,00000000
1384,11111111
1385,10001110
1386,00000000
1387,11111111
1388,00001111
1389,00001111
1390,00000000
1391,00000000
1392,00000000
1393,00000000
1394,00000000
1395,00001000
1396,10001010
1397,00000000
1398,00001111
1399,00000000
1400,11001110
1401,00000000
1402,00001000
1403,11001110
1404,00001000
1405,11111111
1406,11001111
1407,11101111
1408,11101111
1409,00001111
1410,00000000
1411,00000000
1412,00001000
1413,10001110
1414,10101111
1415,00000000
1416,10101010
1417,00001000
1418,10001110
1419,00000000
