,"tp53, akt1, ikbkb: (000, 001, 010, 011, 100, 101, 110, 111)"
526,00000000
527,00001010
528,00001000
529,11001100
530,00000000
531,00000000
532,00000000
533,00001000
534,00000000
535,00001010
536,10001110
537,00000000
538,00001010
539,10001010
540,00000000
541,00001010
542,00001000
543,10001110
544,00000000
545,00001010
546,00001000
547,00000000
548,00000000
549,00001000
550,00000000
551,10001000
552,00001000
553,10001110
554,10001110
555,00000000
556,00001010
557,00001000
558,00000000
559,11001110
560,00000000
561,10101110
562,00000000
563,00000000
564,00001010
565,00001000
566,10001010
567,11101110
568,00000000
569,10001110
570,10001000
571,00001010
572,00001010
573,00000000
574,00000000
575,00001010
576,10001110
577,00001000
578,00000000
579,00000000
580,10001110
581,10001110
582,00001000
583,00000000
584,10001010
585,00001000
586,10001010
587,10101010
588,00001100
589,00000000
590,00001100
591,10001010
592,00001010
593,10001010
594,00000000
595,00000000
596,00000000
597,00001010
598,00000000
599,10001110
600,10001010
601,00001000
602,00001000
603,00001000
604,00001010
605,10001010
606,00001110
607,00000000
608,00000000
609,10001100
610,00001000
611,11001110
612,10101010
613,00000000
614,00001000
615,10001000
616,00000000
617,00001000
618,00001000
619,00001000
620,10001110
621,00001000
622,10001110
623,00000000
624,00001000
625,00000000
626,00001100
627,11101110
628,10001010
629,10001010
630,10001110
631,10001110
632,00000000
633,00001100
634,00000000
635,00000000
636,00000000
637,00000000
638,00001010
639,10001010
640,10001110
641,00000000
642,11001110
643,10001000
644,00000000
645,00000000
646,00000000
647,00000000
648,00000000
649,10001110
650,00000000
651,00000000
652,10001110
653,10001000
654,10001000
655,00000000
656,10101110
657,11001110
658,10001000
659,00000000
660,00001000
661,00001010
662,00000000
663,00000000
664,10101010
665,00001000
666,00000000
667,00000000
668,10001110
669,00000000
670,00000000
671,10001000
672,00000000
673,00000000
674,10001110
675,00000000
676,00001010
677,10001110
678,00000000
679,00001100
680,10001000
681,00001110
682,10101110
683,00001000
684,10101110
685,00000000
686,10001110
687,11101110
688,00000000
689,00000000
690,00000000
691,00001000
692,00000000
693,00000000
694,11101110
695,10001110
696,10001010
697,00000000
698,10101010
699,00001000
700,10101010
701,00001010
702,00001010
703,10001000
704,00000000
705,00000000
706,00000000
707,10001010
708,00000000
709,10001110
710,00000000
711,00000000
712,00000000
713,00000000
714,00000000
715,10001010
716,00000000
717,00000000
718,00000000
719,10001110
720,00000000
721,00000000
722,10001000
723,00000000
724,11101110
725,00000000
726,00000000
727,10001110
728,00000000
729,11001100
730,10001010
731,00001100
732,10001010
733,10001010
734,10001110
735,11001110
736,00001110
737,10001110
738,00000000
739,00000000
740,10001110
741,00000000
742,10001110
743,00001110
744,00000000
745,10101010
746,10001010
747,00000000
748,00001010
749,00001010
750,00000000
751,00000000
752,00000000
753,00000000
754,00001110
755,00001000
756,00000000
757,00000000
758,00001000
759,00000000
760,00001010
761,11001110
762,00001000
763,00000000
764,00000000
765,00001110
766,00000000
767,00000000
768,00000000
769,00000000
770,00001110
771,00000000
772,11001110
773,00001010
774,00000000
775,00000000
776,00000000
777,00000000
778,00000000
779,00001110
780,00001000
781,00000000
782,00001000
783,00000000
784,00001000
785,00000000
786,00000000
787,00001010
788,11001110
789,10001110
790,11101110
791,00000000
792,10001110
793,00001100
794,11101110
795,10101010
796,00001000
797,10001110
798,10001110
799,00000000
800,00000000
801,00000000
802,00000000
803,00000000
804,00000000
805,00001100
806,00000000
807,00000000
808,00000000
809,00000000
810,10101010
811,00000000
812,00001000
813,00001000
814,00001010
815,00000000
816,00000000
817,00000000
818,00000000
819,00000000
820,11101110
821,00001000
822,00000000
823,00001100
824,10101010
825,10001110
826,11001110
827,00001000
828,10101010
829,11101110
830,00000000
831,00000000
832,10101110
833,10001110
834,00001010
835,10101110
836,00001010
837,10001110
838,00000000
839,10001100
840,00001000
841,10001110
842,00001000
843,00001110
844,10101010
845,00000000
846,00000000
847,10101010
848,00000000
849,00000000
850,00000000
851,00000000
852,00000000
853,10001110
854,00000000
855,10101010
856,10001000
857,11001100
858,00001000
859,00000000
860,10101110
861,10001110
862,00000000
863,00001000
864,10101010
865,00001000
866,00001010
867,10001110
868,00000000
869,00001110
870,00001000
871,10001110
872,10001110
873,00000000
874,10001110
875,10001110
876,00000000
877,10101010
878,00000000
879,10001110
880,11001110
