"SUID","interaction","name","selected","shared interaction","shared name"
"198","-1","ABL1 (-1) MDM2","false","-1","ABL1 (-1) MDM2"
"199","1","ABL1 (1) CASP9","false","1","ABL1 (1) CASP9"
"200","1","ATM/ATR_2 (1) HIPK2","false","1","ATM/ATR_2 (1) HIPK2"
"201","1","ATM/ATR_2 (1) ABL1","false","1","ATM/ATR_2 (1) ABL1"
"202","-1","SGK1 (-1) FOXO3","false","-1","SGK1 (-1) FOXO3"
"203","1","MAPK14 (1) FOXO3","false","1","MAPK14 (1) FOXO3"
"204","1","MAPK14 (1) TP53_s46","false","1","MAPK14 (1) TP53_s46"
"205","1","MAPK14 (1) CDKN2A","false","1","MAPK14 (1) CDKN2A"
"206","1","MAPK14 (1) TP53","false","1","MAPK14 (1) TP53"
"208","-1","lowNutrition (-1) IGF1","false","-1","lowNutrition (-1) IGF1"
"212","-1","lowNutrition (-1) IGF1","false","-1","lowNutrition (-1) IGF1"
"213","1","lowNutrition (1) AMPK","false","1","lowNutrition (1) AMPK"
"214","1","PDK1 (1) IKBKB","false","1","PDK1 (1) IKBKB"
"215","1","PDK1 (1) AKT1","false","1","PDK1 (1) AKT1"
"216","1","PDK1 (1) SGK1","false","1","PDK1 (1) SGK1"
"218","1","PIK3CA (1) PDK1","false","1","PIK3CA (1) PDK1"
"219","1","IRS1 (1) PIK3CA","false","1","IRS1 (1) PIK3CA"
"220","1","IGF1 (1) IGF1R","false","1","IGF1 (1) IGF1R"
"222","-1","PPARGC1A (-1) AKT1","false","-1","PPARGC1A (-1) AKT1"
"225","1","NFKB1 (1) BCL2","false","1","NFKB1 (1) BCL2"
"226","1","NFKB1 (1) TNF","false","1","NFKB1 (1) TNF"
"227","1","NFKB1 (1) IL6","false","1","NFKB1 (1) IL6"
"228","1","NFKB1 (1) IL1B","false","1","NFKB1 (1) IL1B"
"229","1","NFKB1 (1) NFKBIE","false","1","NFKB1 (1) NFKBIE"
"230","1","MAP2K3/MAP2K6 (1) MAPK14","false","1","MAP2K3/MAP2K6 (1) MAPK14"
"231","1","ROS (1) DNAdamage","false","1","ROS (1) DNAdamage"
"233","1","ROS (1) MAP2K3/MAP2K6","false","1","ROS (1) MAP2K3/MAP2K6"
"234","1","DNAdamage (1) MAP2K3/MAP2K6","false","1","DNAdamage (1) MAP2K3/MAP2K6"
"235","1","DNAdamage (1) ATM/ATR","false","1","DNAdamage (1) ATM/ATR"
"236","1","DNAdamage (1) ROS","false","1","DNAdamage (1) ROS"
"237","1","DNAdamage (1) ATM/ATR","false","1","DNAdamage (1) ATM/ATR"
"238","-1","CDKN2A (-1) CDK4","false","-1","CDKN2A (-1) CDK4"
