Time	TH	ErrTH	H	Prob[C]	ErrProb[C]	Prob[A--B--C]	ErrProb[A--B--C]	Prob[B--C]	ErrProb[B--C]	Prob[A--C]	ErrProb[A--C]	Prob[<nil>]	ErrProb[<nil>]	
4.5000	0.0319	0.0006	1.8121	0.398658	0.006905	0.090164	0.004028	0.100774	0.004234	0.391805	0.006886	0.018600	0.001911	
4.5100	0.0318	0.0006	1.8132	0.396362	0.006903	0.090168	0.004023	0.101288	0.004240	0.393572	0.006896	0.018610	0.001911	
4.5200	0.0316	0.0006	1.8138	0.394240	0.006888	0.089438	0.004003	0.101949	0.004249	0.395573	0.006892	0.018800	0.001921	
4.5300	0.0317	0.0006	1.8137	0.395372	0.006894	0.090672	0.004021	0.100557	0.004219	0.394599	0.006890	0.018800	0.001921	
4.5400	0.0318	0.0006	1.8116	0.397272	0.006897	0.091621	0.004047	0.098487	0.004180	0.393820	0.006889	0.018800	0.001921	
4.5500	0.0317	0.0006	1.8141	0.395973	0.006893	0.092988	0.004077	0.098287	0.004182	0.393951	0.006886	0.018800	0.001921	
4.5600	0.0318	0.0006	1.8106	0.396694	0.006900	0.093434	0.004090	0.096113	0.004139	0.394959	0.006898	0.018800	0.001921	
4.5700	0.0317	0.0006	1.8123	0.395659	0.006898	0.094800	0.004111	0.095590	0.004131	0.395150	0.006895	0.018800	0.001921	
4.5800	0.0317	0.0006	1.8118	0.395116	0.006891	0.094008	0.004097	0.095821	0.004124	0.396106	0.006899	0.018949	0.001926	
4.5900	0.0316	0.0006	1.8141	0.394481	0.006900	0.093531	0.004077	0.097300	0.004162	0.395687	0.006897	0.019000	0.001931	
4.6000	0.0317	0.0006	1.8179	0.395647	0.006901	0.095716	0.004128	0.096978	0.004161	0.392660	0.006885	0.019000	0.001931	
4.6100	0.0317	0.0006	1.8202	0.395524	0.006897	0.096146	0.004132	0.097690	0.004162	0.391640	0.006886	0.019000	0.001931	
4.6200	0.0317	0.0006	1.8211	0.395339	0.006897	0.096358	0.004146	0.097920	0.004179	0.391383	0.006883	0.019000	0.001931	
4.6300	0.0318	0.0006	1.8226	0.396269	0.006902	0.097676	0.004177	0.097322	0.004166	0.389732	0.006883	0.019000	0.001931	
4.6400	0.0317	0.0006	1.8228	0.395177	0.006897	0.099216	0.004199	0.095925	0.004143	0.390683	0.006879	0.019000	0.001931	
4.6500	0.0316	0.0006	1.8262	0.393958	0.006892	0.099354	0.004201	0.097181	0.004157	0.390368	0.006883	0.019140	0.001936	
4.6600	0.0316	0.0006	1.8237	0.394070	0.006886	0.099542	0.004212	0.095584	0.004130	0.391604	0.006880	0.019200	0.001941	
4.6700	0.0315	0.0006	1.8213	0.393660	0.006889	0.099673	0.004207	0.094318	0.004100	0.393149	0.006888	0.019200	0.001941	
4.6800	0.0316	0.0006	1.8192	0.393845	0.006892	0.099752	0.004210	0.093222	0.004087	0.393981	0.006890	0.019200	0.001941	
4.6900	0.0314	0.0006	1.8255	0.391899	0.006886	0.101808	0.004246	0.094328	0.004113	0.392765	0.006882	0.019200	0.001941	
4.7000	0.0315	0.0006	1.8261	0.392472	0.006890	0.103680	0.004287	0.092802	0.004072	0.391832	0.006892	0.019214	0.001941	
4.7100	0.0315	0.0006	1.8274	0.392749	0.006891	0.103518	0.004274	0.093134	0.004085	0.391154	0.006880	0.019445	0.001951	
4.7200	0.0314	0.0006	1.8324	0.391474	0.006887	0.103499	0.004271	0.095242	0.004121	0.390185	0.006879	0.019600	0.001961	
4.7300	0.0313	0.0006	1.8333	0.391003	0.006875	0.101929	0.004236	0.097186	0.004135	0.390283	0.006880	0.019600	0.001961	
4.7400	0.0314	0.0006	1.8315	0.391898	0.006886	0.100372	0.004224	0.097783	0.004171	0.390347	0.006883	0.019600	0.001961	
4.7500	0.0314	0.0006	1.8297	0.391949	0.006883	0.099974	0.004214	0.097206	0.004150	0.391227	0.006888	0.019644	0.001961	
4.7600	0.0314	0.0006	1.8299	0.391254	0.006886	0.098770	0.004192	0.097912	0.004177	0.392154	0.006888	0.019910	0.001973	
4.7700	0.0313	0.0006	1.8326	0.391145	0.006884	0.098950	0.004193	0.098886	0.004192	0.391019	0.006883	0.020000	0.001980	
4.7800	0.0313	0.0006	1.8314	0.390843	0.006878	0.099196	0.004194	0.098036	0.004171	0.391925	0.006881	0.020000	0.001980	
4.7900	0.0313	0.0006	1.8335	0.391059	0.006885	0.100627	0.004225	0.097698	0.004174	0.390616	0.006881	0.020000	0.001980	
4.8000	0.0314	0.0006	1.8327	0.392424	0.006884	0.100844	0.004218	0.097098	0.004147	0.389633	0.006875	0.020000	0.001980	
4.8100	0.0313	0.0006	1.8346	0.391194	0.006882	0.101293	0.004243	0.097443	0.004172	0.390000	0.006877	0.020068	0.001981	
4.8200	0.0312	0.0006	1.8382	0.389749	0.006879	0.103279	0.004273	0.097019	0.004160	0.389753	0.006875	0.020200	0.001990	
4.8300	0.0311	0.0006	1.8396	0.388365	0.006873	0.102602	0.004249	0.098416	0.004172	0.390417	0.006879	0.020200	0.001990	
4.8400	0.0311	0.0006	1.8412	0.387829	0.006874	0.101689	0.004238	0.100081	0.004212	0.390201	0.006879	0.020200	0.001990	
4.8500	0.0310	0.0006	1.8450	0.386918	0.006872	0.101741	0.004245	0.102009	0.004252	0.389131	0.006878	0.020200	0.001990	
4.8600	0.0310	0.0006	1.8450	0.387060	0.006868	0.101682	0.004243	0.102057	0.004247	0.389000	0.006877	0.020200	0.001990	
4.8700	0.0309	0.0005	1.8424	0.385749	0.006861	0.099743	0.004209	0.102688	0.004262	0.391620	0.006883	0.020200	0.001990	
4.8800	0.0310	0.0005	1.8411	0.386785	0.006862	0.100256	0.004212	0.101494	0.004228	0.391265	0.006880	0.020200	0.001990	
4.8900	0.0311	0.0006	1.8415	0.388639	0.006875	0.102365	0.004253	0.099570	0.004199	0.389226	0.006878	0.020200	0.001990	
4.9000	0.0313	0.0006	1.8407	0.390481	0.006887	0.102363	0.004261	0.099202	0.004203	0.387754	0.006878	0.020200	0.001990	
4.9100	0.0313	0.0006	1.8432	0.389983	0.006882	0.101882	0.004246	0.100617	0.004224	0.387175	0.006872	0.020343	0.001995	
4.9200	0.0313	0.0006	1.8478	0.390533	0.006884	0.103664	0.004277	0.101134	0.004230	0.384269	0.006862	0.020400	0.001999	
4.9300	0.0314	0.0006	1.8468	0.391298	0.006885	0.102209	0.004252	0.102045	0.004245	0.384047	0.006864	0.020400	0.001999	
4.9400	0.0314	0.0006	1.8455	0.392311	0.006887	0.099580	0.004201	0.104050	0.004279	0.383658	0.006863	0.020400	0.001999	
4.9500	0.0316	0.0006	1.8440	0.393999	0.006893	0.099080	0.004187	0.103803	0.004281	0.382718	0.006854	0.020400	0.001999	
4.9600	0.0316	0.0006	1.8428	0.394214	0.006894	0.098911	0.004201	0.103362	0.004281	0.383113	0.006859	0.020400	0.001999	
4.9700	0.0316	0.0006	1.8444	0.393758	0.006892	0.098190	0.004164	0.104953	0.004299	0.382699	0.006852	0.020400	0.001999	
4.9800	0.0315	0.0006	1.8454	0.393240	0.006887	0.098104	0.004174	0.105566	0.004314	0.382690	0.006852	0.020400	0.001999	
