,Quiescent,Senescent,IGF
4E-BP1 (Ab-65),1.1889513888888887,0.8698559027777778,0.92125
AKT1 (Phospho-Ser473),0.9409548611111113,1.2082378472222224,1.1352777777777778
E2F1 (Phospho-Thr433),1.0870138888888887,0.8798784722222223,1.0460069444444444
IGF1R (Phospho-Tyr1165/1166),1.4400729166666666,1.1304097222222222,1.0802152777777778
IkB-alpha (Ab-32/36),0.9324409722222221,1.0636423611111112,1.0092569444444444
IKK-beta (Ab-188),1.0298559027777778,1.041029513888889,1.0003958333333334
IRS-1 (Phospho-Ser636),1.0766319444444445,1.007638888888889,1.0379652777777777
MKK6/MAP2K6 (Phospho-Ser207),0.9339444444444444,0.9913958333333334,0.9773125
mTOR (Phospho-Ser2481),0.8522309027777778,1.2022586805555555,1.0869999999999997
p38 MAPK (Phospho-Tyr322),0.8603663194444445,1.1108802083333333,1.0772916666666665
p53 (Phospho-Ser15),0.9261527777777777,0.9589496527777778,0.9306805555555555
P70S6K (Phospho-Ser411),1.0631493055555554,1.1031579861111112,1.1973125
Rb (Phospho-Thr821),0.8986770833333333,1.1052309027777778,1.1870694444444443
Tuberin/TSC2 (Phospho-Ser939),0.9091788194444445,0.9705138888888888,0.9738819444444444
