,Quiescent,Senescent,IGF
4E-BP1 (Ab-65),1.801036458333333,1.0787291666666665,0.6278958333333333
AKT1 (Phospho-Ser473),1.1543593749999999,1.2978072916666668,1.3034375
E2F1 (Phospho-Thr433),1.1240625,0.9794895833333332,1.238125
IGF1R (Phospho-Tyr1165/1166),1.1703593749999999,1.3132760416666667,1.257875
IkB-alpha (Ab-32/36),1.0337604166666665,0.9917083333333333,1.0230833333333331
IKK-beta (Ab-188),0.9811562500000001,1.0183541666666667,0.9225625
IRS-1 (Phospho-Ser636),1.0048489583333333,1.1555052083333333,1.3123125
MKK6/MAP2K6 (Phospho-Ser207),0.9102604166666667,1.2765,1.3599583333333336
mTOR (Phospho-Ser2481),1.0126458333333335,1.49084375,1.2485833333333332
p38 MAPK (Phospho-Tyr322),0.9271927083333333,1.1927916666666665,1.3014999999999999
p53 (Phospho-Ser15),0.926296875,1.0943072916666665,0.9583541666666667
P70S6K (Phospho-Ser411),1.0784427083333332,1.2725677083333333,1.5543333333333336
Rb (Phospho-Thr821),1.0439010416666665,1.1192031249999999,1.4393333333333334
Tuberin/TSC2 (Phospho-Ser939),0.992984375,0.9190833333333334,1.0359791666666667
