,Quiescence,Senescence,Proliferation
4E-BP1 (Ab-65),0.04440797850869298,0.9770562113858965,-1.0214641898945895
AKT1 (Phospho-Ser473),-1.1444352212961162,0.7052627841519533,0.43917243714416443
E2F1 (Phospho-Thr433),-0.8628745222652415,-0.23308186509260292,1.0959563873578568
IGF1R (Phospho-Tyr1165/1166),-1.1288173577771723,0.7749520938550091,0.3538652639221613
IkB-alpha (Ab-32/36),-1.1378045392627258,0.7393447022144816,0.3984598370482465
IKK-beta (Ab-188),1.152759150544153,-0.6343429743057989,-0.5184161762383533
IRS-1 (Phospho-Ser636),0.20417236559724772,0.8821573002099357,-1.0863296658071808
MKK6/MAP2K6 (Phospho-Ser207),1.153914577484169,-0.6138471369682331,-0.540067440515937
mTOR (Phospho-Ser2481),-0.7331596552976138,-0.4059858264433958,1.1391454817410096
p38 MAPK (Phospho-Tyr322),-1.0204680953397958,0.9781909364910554,0.04227715884874036
p53 (Phospho-Ser15),-1.032609270620104,0.9638407463358136,0.06876852428429027
P70S6K (Phospho-Ser411),-0.3793049968240564,1.1341607247066579,-0.7548557278826014
Rb (Phospho-Thr821),-1.1371237091980297,0.3947451336404534,0.7423785755575754
Tuberin/TSC2 (Phospho-Ser939),-0.7040299058670447,1.1446412322945023,-0.4406113264274575
