,Quiescence,Senescence,Proliferation
4E-BP1 (Ab-65),1.1533321462925525,-0.5279965729828175,-0.6253355733097348
AKT1 (Phospho-Ser473),-1.1546618547754586,0.5855163317682437,0.5691455230072161
E2F1 (Phospho-Thr433),-1.1546960464058011,0.5801373441077619,0.574558702298037
IGF1R (Phospho-Tyr1165/1166),-1.0682752214166185,0.9137308647058696,0.15454435671074804
IkB-alpha (Ab-32/36),-1.1521127369105093,0.6429681094760269,0.5091446274344841
IKK-beta (Ab-188),1.1537474688058327,-0.6174949562961795,-0.5362525125096516
IRS-1 (Phospho-Ser636),-0.20383551275616676,1.0862136025567473,-0.8823780898005815
MKK6/MAP2K6 (Phospho-Ser207),1.0871898145033148,-0.8805128949433002,-0.20667691956001458
mTOR (Phospho-Ser2481),-1.140742703315431,0.41535663098754183,0.7253860723278892
p38 MAPK (Phospho-Tyr322),-1.1482794481420922,0.46882718098680537,0.6794522671552854
p53 (Phospho-Ser15),-1.1505559012580227,0.6599292268169936,0.49062667444102975
P70S6K (Phospho-Ser411),-1.0755702266694356,0.901600335153013,0.1739698915164156
Rb (Phospho-Thr821),-1.1508199147660547,0.493494495879177,0.6573254188868765
Tuberin/TSC2 (Phospho-Ser939),-1.1276000660433072,0.3484199775514545,0.7791800884918538
