,Quiescence,Senescence,Proliferation
4E-BP1 (Ab-65),0.9076390594556593,0.1643580364397195,-1.0719970958953788
AKT1 (Phospho-Ser473),-0.9538489103557888,1.040510466501637,-0.08666155614585144
E2F1 (Phospho-Thr433),0.7574926125554728,-1.1335003764508707,0.3760077638953998
IGF1R (Phospho-Tyr1165/1166),0.11875780295618467,0.9353182575496014,-1.0540760605057862
IkB-alpha (Ab-32/36),1.118821978289226,-0.31206904835669486,-0.8067529299325351
IKK-beta (Ab-188),0.7000994366304008,0.445183319304807,-1.14528275593521
IRS-1 (Phospho-Ser636),-0.6125373500857689,1.1539705660767725,-0.5414332159910008
MKK6/MAP2K6 (Phospho-Ser207),-1.127018423579626,0.34585787436210036,0.7811605492175243
mTOR (Phospho-Ser2481),-0.8684244680133255,-0.22486227431301675,1.0932867423263444
p38 MAPK (Phospho-Tyr322),-1.12666672399974,0.7823460780091687,0.3443206459905727
p53 (Phospho-Ser15),0.9596464393823676,0.07633236423795196,-1.0359788036203195
P70S6K (Phospho-Ser411),-1.0998346669981438,0.2453310912756065,0.8545035757225373
Rb (Phospho-Thr821),-1.046426067272726,0.10043133547630555,0.945994731796421
Tuberin/TSC2 (Phospho-Ser939),0.09935199501658415,0.9466155691601433,-1.0459675641767494
