,,count
AKT1,,44
AKT1,CDK2/4/6,1
AKT1,IKBKB,8
AKT1,MDM2,0
AKT1,MTOR,7
AKT1,NFKB1,15
AKT1,RHEB,0
AMPK,,3
ATM/ATR,,10
CDK2/4/6,,12
CDK2/4/6,IKBKB,0
CDK2/4/6,IRS1,0
CDK2/4/6,MTOR,1
CDK2/4/6,NFKB1,1
CDK2/4/6,PDK1,2
CDK2/4/6,PIK3CA,0
CDK2/4/6,SIRT1,0
CDKN1A,,12
CDKN2A,,7
CDKN2A,IGF1R,0
CDKN2A,INSR,0
CDKN2A,IRS1,1
CDKN2A,KRAS,1
CDKN2A,PIK3CA,1
FOXO3,,12
IGF1R,,29
IGF1R,IKBKB,1
IGF1R,INSR,15
IGF1R,IRS1,1
IGF1R,KRAS,0
IGF1R,MTOR,7
IGF1R,NFKB1,3
IGF1R,RHEB,2
IKBKB,,15
IKBKB,INSR,0
IKBKB,IRS1,2
IKBKB,KRAS,1
IKBKB,MTOR,36
IKBKB,PIK3CA,2
IKBKB,RHEB,6
INSR,,22
INSR,IRS1,1
INSR,KRAS,0
INSR,MTOR,3
INSR,RHEB,1
IRS1,,42
IRS1,KRAS,6
IRS1,MDM2,0
IRS1,MTOR,8
IRS1,NFKB1,1
IRS1,RHEB,1
KRAS,,29
KRAS,MTOR,1
KRAS,NFKB1,2
KRAS,RHEB,0
MAP2K3/MAP2K6,,6
MAP2K3/MAP2K6,PDK1,0
MAP2K3/MAP2K6,PIK3CA,0
MAPK1,,12
MAPK14,,6
MAPK14,PDK1,0
MAPK14,PIK3CA,0
MDM2,,12
MDM2,MTOR,1
MDM2,NFKB1,0
MDM2,PDK1,1
MDM2,PIK3CA,1
MTOR,,26
MTOR,NFKB1,42
MTOR,PDK1,12
MTOR,PIK3CA,10
NAD+,,9
NFKB1,,20
NFKB1,PDK1,6
NFKB1,PIK3CA,5
NFKB1,RHEB,6
NFKBIE,,0
PDK1,,55
PDK1,RHEB,2
PDK1,TP53,0
PIK3CA,,52
PIK3CA,RHEB,2
PIK3CA,TP53,0
PPARGC1A,,12
PTEN,,9
RB1,,1
RHEB,,14
ROS,,9
SGK1,,12
SIRT1,,5
SOD2,,12
TP53,,7
TSC2,,11
