,,count
AKT1,,62
AKT1,ATM/ATR,0
AKT1,CDK2/4/6,0
AKT1,IKBKB,12
AKT1,MDM2,2
AKT1,MTOR,12
AKT1,NFKB1,23
AKT1,RHEB,2
AKT1,TP53,0
AMPK,,6
ATM/ATR,,15
ATM/ATR,PDK1,0
CDK2/4/6,,17
CDK2/4/6,IGF1R,0
CDK2/4/6,IKBKB,0
CDK2/4/6,INSR,0
CDK2/4/6,IRS1,0
CDK2/4/6,NFKB1,0
CDK2/4/6,PDK1,2
CDK2/4/6,PIK3CA,1
CDKN1A,,15
CDKN2A,,9
FOXO3,,15
IGF1R,,52
IGF1R,IKBKB,1
IGF1R,INSR,14
IGF1R,IRS1,1
IGF1R,KRAS,2
IGF1R,MDM2,0
IGF1R,MTOR,5
IGF1R,NFKB1,5
IGF1R,RHEB,1
IKBKB,,21
IKBKB,IRS1,2
IKBKB,KRAS,0
IKBKB,MDM2,0
IKBKB,MTOR,52
IKBKB,PIK3CA,3
IKBKB,RHEB,5
INSR,,30
INSR,IRS1,3
INSR,MTOR,2
INSR,NFKB1,1
IRS1,,53
IRS1,KRAS,13
IRS1,MDM2,1
IRS1,MTOR,7
IRS1,NFKB1,5
IRS1,RHEB,0
KRAS,,40
KRAS,MDM2,1
KRAS,MTOR,5
KRAS,NFKB1,1
KRAS,RHEB,0
MAP2K3/MAP2K6,,6
MAPK1,,16
MAPK14,,6
MDM2,,18
MDM2,NFKB1,0
MDM2,PDK1,2
MDM2,PIK3CA,1
MTOR,,37
MTOR,NFKB1,67
MTOR,PDK1,16
MTOR,PIK3CA,12
NAD+,,13
NFKB1,,23
NFKB1,PDK1,10
NFKB1,PIK3CA,8
NFKB1,RHEB,9
NFKBIE,,3
PDK1,,78
PDK1,RHEB,3
PDK1,TP53,0
PIK3CA,,72
PIK3CA,RHEB,2
PPARGC1A,,16
PTEN,,11
RB1,,3
RHEB,,22
ROS,,15
SGK1,,16
SIRT1,,10
SOD2,,17
TP53,,6
TSC2,,16
