Time	TH	ErrTH	H	Prob[Insulin--mTORC1_S6K1]	ErrProb[Insulin--mTORC1_S6K1]	Prob[p21--mTORC1_S6K1]	ErrProb[p21--mTORC1_S6K1]	Prob[p21--Senescence--AKT]	ErrProb[p21--Senescence--AKT]	Prob[Insulin--p21--mTORC1_S6K1--Senescence]	ErrProb[Insulin--p21--mTORC1_S6K1--Senescence]	Prob[Insulin--AKT]	ErrProb[Insulin--AKT]	Prob[Insulin--p21]	ErrProb[Insulin--p21]	Prob[Insulin--p21--mTORC1_S6K1--Senescence--AKT]	ErrProb[Insulin--p21--mTORC1_S6K1--Senescence--AKT]	Prob[p21--AKT]	ErrProb[p21--AKT]	Prob[p21--mTORC1_S6K1--Senescence--AKT]	ErrProb[p21--mTORC1_S6K1--Senescence--AKT]	Prob[Insulin--Senescence--AKT]	ErrProb[Insulin--Senescence--AKT]	Prob[mTORC1_S6K1--Senescence--AKT]	ErrProb[mTORC1_S6K1--Senescence--AKT]	Prob[mTORC1_S6K1--AKT]	ErrProb[mTORC1_S6K1--AKT]	Prob[Insulin--p21--Senescence--AKT]	ErrProb[Insulin--p21--Senescence--AKT]	Prob[p21]	ErrProb[p21]	Prob[Insulin--p21--mTORC1_S6K1--AKT]	ErrProb[Insulin--p21--mTORC1_S6K1--AKT]	Prob[AKT]	ErrProb[AKT]	Prob[p21--mTORC1_S6K1--Senescence]	ErrProb[p21--mTORC1_S6K1--Senescence]	Prob[Senescence]	ErrProb[Senescence]	Prob[<nil>]	ErrProb[<nil>]	Prob[Insulin--p21--Senescence]	ErrProb[Insulin--p21--Senescence]	Prob[Insulin--Senescence]	ErrProb[Insulin--Senescence]	Prob[Insulin--mTORC1_S6K1--AKT]	ErrProb[Insulin--mTORC1_S6K1--AKT]	Prob[mTORC1_S6K1]	ErrProb[mTORC1_S6K1]	Prob[p21--Senescence]	ErrProb[p21--Senescence]	Prob[p21--mTORC1_S6K1--AKT]	ErrProb[p21--mTORC1_S6K1--AKT]	Prob[Insulin--p21--AKT]	ErrProb[Insulin--p21--AKT]	Prob[mTORC1_S6K1--Senescence]	ErrProb[mTORC1_S6K1--Senescence]	Prob[Insulin--p21--mTORC1_S6K1]	ErrProb[Insulin--p21--mTORC1_S6K1]	Prob[Senescence--AKT]	ErrProb[Senescence--AKT]	Prob[Insulin]	ErrProb[Insulin]	Prob[Insulin--mTORC1_S6K1--Senescence--AKT]	ErrProb[Insulin--mTORC1_S6K1--Senescence--AKT]	Prob[Insulin--mTORC1_S6K1--Senescence]	ErrProb[Insulin--mTORC1_S6K1--Senescence]	
57.8000	0.0098	0.0014	1.1541	0.005961	0.001081	0	0	0	0	0.157397	0.005145	0.002671	0.000724	0.044569	0.002913	0.000583	0.000311	0	0	0	0	0.000200	0.000200	0	0	0	0	0	0	0	0	0.000504	0.000301	0	0	0	0	0	0	0	0	0.003388	0.000801	0	0	0.766811	0.005979	0	0	0	0	0	0	0.000200	0.000200	0	0	0.007083	0.001164	0	0	0.008602	0.001301	0.001691	0.000556	0.000340	0.000244	
57.9000	0.0086	0.0013	1.1518	0.006048	0.001088	0	0	0	0	0.157800	0.005154	0.002944	0.000755	0.044447	0.002905	0.000658	0.000350	0	0	0	0	0.000098	0.000098	0	0	0	0	0.000002	0.000002	0	0	0.000400	0.000283	0	0	0	0	0	0	0	0	0.003501	0.000827	0	0	0.766819	0.005979	0	0	0	0	0	0	0.000200	0.000200	0	0	0.006612	0.001124	0	0	0.008532	0.001292	0.001739	0.000582	0.000200	0.000200	
58.0000	0.0072	0.0012	1.1473	0.005928	0.001063	0	0	0	0	0.158005	0.005155	0.003504	0.000815	0.045156	0.002923	0.000439	0.000286	0	0	0	0	0.000112	0.000112	0	0	0	0	0.000088	0.000088	0	0	0.000572	0.000331	0	0	0	0	0	0	0	0	0.002904	0.000750	0	0	0.767083	0.005975	0	0	0	0	0	0	0.000054	0.000054	0	0	0.006340	0.001078	0	0	0.007844	0.001229	0.001681	0.000565	0.000291	0.000220	
58.1000	0.0071	0.0012	1.1440	0.005719	0.001061	0	0	0	0	0.157758	0.005153	0.003490	0.000828	0.045091	0.002919	0.000400	0.000283	0	0	0	0	0.000200	0.000200	0	0	0	0	0	0	0	0	0.000551	0.000308	0	0	0	0	0	0	0	0	0.003097	0.000758	0	0	0.767607	0.005972	0	0	0	0	0	0	0	0	0	0	0.006365	0.001111	0	0	0.007963	0.001228	0.001359	0.000502	0.000400	0.000283	
58.2000	0.0078	0.0012	1.1419	0.005750	0.001059	0	0	0	0	0.157767	0.005152	0.003056	0.000763	0.044938	0.002924	0.000465	0.000290	0	0	0	0	0.000200	0.000200	0	0	0	0	0	0	0	0	0.000600	0.000346	0	0	0	0	0	0	0	0	0.002946	0.000761	0.000010	0.000010	0.767955	0.005970	0	0	0	0	0	0	0	0	0	0	0.005858	0.001064	0	0	0.008708	0.001292	0.001200	0.000490	0.000546	0.000318	
58.3000	0.0086	0.0013	1.1453	0.005136	0.000996	0	0	0	0	0.157575	0.005150	0.003042	0.000752	0.044721	0.002914	0.000773	0.000367	0	0	0	0	0.000200	0.000200	0	0	0	0	0	0	0	0	0.000427	0.000256	0	0	0	0	0	0	0	0	0.003185	0.000790	0.000134	0.000134	0.768001	0.005966	0	0	0	0	0	0	0	0	0	0	0.005912	0.001061	0	0	0.008845	0.001307	0.001217	0.000490	0.000833	0.000389	
58.4000	0.0085	0.0013	1.1502	0.005346	0.001017	0	0	0	0	0.157883	0.005152	0.003462	0.000820	0.044062	0.002896	0.000779	0.000378	0	0	0	0	0.000200	0.000200	0	0	0	0	0	0	0	0	0.000322	0.000231	0	0	0	0	0	0	0	0	0.003289	0.000794	0	0	0.767379	0.005974	0	0	0	0	0	0	0.000067	0.000067	0	0	0.005736	0.001042	0	0	0.009052	0.001326	0.001781	0.000580	0.000642	0.000349	
58.5000	0.0081	0.0013	1.1599	0.006560	0.001111	0	0	0	0	0.157468	0.005147	0.003804	0.000870	0.043472	0.002873	0.000601	0.000304	0	0	0	0	0.000200	0.000200	0	0	0	0	0	0	0	0	0.000308	0.000227	0	0	0	0	0	0	0	0	0.003308	0.000799	0	0	0.766842	0.005979	0	0	0	0	0	0	0.000196	0.000196	0	0	0.005433	0.001011	0	0	0.008619	0.001285	0.002188	0.000648	0.001000	0.000447	
58.6000	0.0081	0.0013	1.1629	0.007402	0.001206	0	0	0	0	0.157811	0.005152	0.004238	0.000907	0.043368	0.002876	0.000829	0.000401	0	0	0	0	0.000200	0.000200	0	0	0	0	0.000163	0.000163	0	0	0.000228	0.000202	0	0	0	0	0	0	0	0	0.003368	0.000810	0	0	0.766370	0.005983	0	0	0	0	0	0	0.000041	0.000041	0	0	0.004667	0.000940	0	0	0.007878	0.001243	0.002511	0.000701	0.000927	0.000411	
58.7000	0.0081	0.0013	1.1594	0.007365	0.001198	0	0	0	0	0.157928	0.005153	0.004067	0.000895	0.043420	0.002869	0.000901	0.000412	0	0	0	0	0.000200	0.000200	0	0	0	0	0.000200	0.000200	0	0	0.000200	0.000200	0	0	0	0	0	0	0	0	0.003293	0.000791	0	0	0.766783	0.005979	0	0	0	0	0	0	0.000200	0.000200	0	0	0.003804	0.000845	0	0	0.008251	0.001254	0.002639	0.000706	0.000750	0.000375	
58.8000	0.0086	0.0013	1.1541	0.007366	0.001195	0	0	0	0	0.158134	0.005157	0.003793	0.000859	0.043329	0.002877	0.000717	0.000358	0	0	0	0	0.000223	0.000201	0	0	0	0	0.000347	0.000248	0	0	0.000200	0.000200	0	0	0	0	0	0	0	0	0.003841	0.000869	0	0	0.767336	0.005973	0	0	0	0	0	0	0.000200	0.000200	0	0	0.003532	0.000824	0	0	0.008002	0.001246	0.002534	0.000685	0.000446	0.000269	
58.9000	0.0083	0.0013	1.1474	0.006816	0.001133	0	0	0	0	0.158017	0.005157	0.003374	0.000806	0.043428	0.002870	0.000600	0.000346	0	0	0	0	0.000509	0.000303	0	0	0	0	0.000109	0.000109	0	0	0.000142	0.000142	0	0	0	0	0	0	0	0	0.003576	0.000824	0	0	0.768171	0.005966	0	0	0	0	0	0	0.000325	0.000207	0	0	0.004356	0.000891	0	0	0.007908	0.001240	0.002491	0.000698	0.000178	0.000126	
59.0000	0.0086	0.0013	1.1427	0.006310	0.001097	0	0	0	0	0.157643	0.005152	0.003447	0.000822	0.044091	0.002888	0.000781	0.000391	0	0	0	0	0.000600	0.000346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002999	0.000757	0	0	0.768705	0.005962	0	0	0	0	0	0	0.000336	0.000242	0	0	0.005063	0.000971	0	0	0.007432	0.001193	0.002393	0.000690	0.000200	0.000200	
59.1000	0.0087	0.0013	1.1373	0.006601	0.001134	0	0	0	0	0.157730	0.005154	0.003055	0.000766	0.043879	0.002885	0.000800	0.000400	0	0	0	0	0.000600	0.000346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002565	0.000692	0.000115	0.000115	0.769289	0.005958	0	0	0	0	0	0	0.000200	0.000200	0	0	0.005559	0.001029	0	0	0.007343	0.001190	0.002200	0.000663	0.000062	0.000062	
59.2000	0.0093	0.0013	1.1322	0.006583	0.001130	0	0	0	0	0.158642	0.005163	0.002601	0.000720	0.043461	0.002872	0.000800	0.000400	0	0	0	0	0.000445	0.000286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002340	0.000677	0.000200	0.000200	0.769500	0.005956	0	0	0	0	0	0	0.000200	0.000200	0	0	0.005052	0.000972	0	0	0.007705	0.001215	0.002355	0.000680	0.000118	0.000118	
59.3000	0.0084	0.0013	1.1356	0.006821	0.001156	0	0	0	0	0.158319	0.005158	0.002514	0.000697	0.042557	0.002847	0.000787	0.000373	0	0	0	0	0.000400	0.000283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002781	0.000730	0.000171	0.000171	0.769686	0.005954	0	0	0	0	0	0	0.000200	0.000200	0	0	0.004963	0.000970	0	0	0.008020	0.001251	0.002582	0.000715	0.000200	0.000200	
59.4000	0.0080	0.0012	1.1367	0.007200	0.001196	0	0	0	0	0.158323	0.005162	0.002657	0.000722	0.042260	0.002839	0.001000	0.000447	0	0	0	0	0.000546	0.000318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003000	0.000774	0	0	0.769642	0.005953	0	0	0	0	0	0	0.000200	0.000200	0	0	0.004551	0.000943	0	0	0.008036	0.001252	0.002354	0.000669	0.000229	0.000202	
59.5000	0.0082	0.0013	1.1365	0.007088	0.001171	0	0	0	0	0.158442	0.005159	0.002894	0.000739	0.042064	0.002830	0.000945	0.000413	0	0	0	0	0.000588	0.000340	0	0	0	0	0.000121	0.000121	0	0	0	0	0	0	0	0	0	0	0	0	0.002776	0.000719	0.000182	0.000182	0.769996	0.005949	0	0	0	0	0	0	0.000200	0.000200	0	0	0.004131	0.000883	0	0	0.008116	0.001260	0.002000	0.000632	0.000457	0.000288	
59.6000	0.0077	0.0012	1.1336	0.007067	0.001170	0	0	0	0	0.158416	0.005163	0.003394	0.000808	0.042547	0.002850	0.001000	0.000447	0	0	0	0	0.000400	0.000283	0	0	0	0	0.000200	0.000200	0	0	0.000012	0.000012	0	0	0	0	0	0	0	0	0.002600	0.000720	0.000200	0.000200	0.770171	0.005949	0	0	0	0	0	0	0.000035	0.000035	0	0	0.003938	0.000863	0	0	0.007554	0.001214	0.002000	0.000632	0.000467	0.000291	
59.7000	0.0082	0.0013	1.1316	0.006980	0.001169	0	0	0	0	0.158705	0.005167	0.003297	0.000802	0.042520	0.002847	0.000841	0.000402	0	0	0	0	0.000400	0.000283	0	0	0	0	0.000200	0.000200	0	0	0.000098	0.000098	0	0	0	0	0	0	0	0	0.002300	0.000653	0.000200	0.000200	0.770312	0.005946	0	0	0	0	0	0	0.000102	0.000102	0	0	0.003804	0.000870	0	0	0.007580	0.001217	0.002227	0.000648	0.000436	0.000285	
59.8000	0.0092	0.0013	1.1355	0.007521	0.001207	0	0	0	0	0.157757	0.005153	0.003236	0.000800	0.042618	0.002845	0.000800	0.000400	0	0	0	0	0.000400	0.000283	0	0	0	0	0.000251	0.000206	0	0	0	0	0	0	0	0	0	0	0	0	0.002543	0.000689	0.000200	0.000200	0.770388	0.005948	0	0	0	0	0	0	0.000200	0.000200	0	0	0.004048	0.000874	0	0	0.007471	0.001198	0.002058	0.000633	0.000510	0.000297	
59.9000	0.0092	0.0014	1.1351	0.007528	0.001215	0	0	0	0	0.157836	0.005153	0.003200	0.000799	0.041941	0.002826	0.000800	0.000400	0	0	0	0	0.000400	0.000283	0	0	0	0	0.000360	0.000256	0	0	0	0	0	0	0	0	0	0	0	0	0.002609	0.000707	0.000200	0.000200	0.770588	0.005947	0	0	0	0	0	0	0.000240	0.000204	0	0	0.004302	0.000901	0	0	0.007784	0.001226	0.002012	0.000632	0.000200	0.000200	
60.0000	0.0086	0.0013	1.1351	0.007327	0.001191	0	0	0	0	0.157925	0.005154	0.003200	0.000799	0.041264	0.002804	0.000685	0.000356	0	0	0	0	0.000400	0.000283	0	0	0	0	0.000159	0.000159	0	0	0	0	0	0	0	0	0	0	0	0	0.003341	0.000807	0.000200	0.000200	0.770827	0.005943	0	0	0	0	0	0	0.000441	0.000286	0	0	0.003635	0.000826	0	0	0.008225	0.001256	0.002115	0.000642	0.000255	0.000207	
60.1000	0.0087	0.0013	1.1365	0.007623	0.001206	0	0	0	0	0.157262	0.005143	0.003064	0.000776	0.040749	0.002775	0.000659	0.000351	0	0	0	0	0.000400	0.000283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004004	0.000856	0.000200	0.000200	0.771136	0.005941	0	0	0	0	0	0	0.000600	0.000346	0	0	0.003833	0.000844	0	0	0.008182	0.001237	0.002200	0.000663	0.000088	0.000065	
60.2000	0.0082	0.0013	1.1377	0.007699	0.001206	0	0	0	0	0.156757	0.005139	0.003000	0.000774	0.040675	0.002786	0.000800	0.000400	0	0	0	0	0.000459	0.000289	0	0	0	0	0.000061	0.000061	0	0	0.000081	0.000081	0	0	0	0	0	0	0	0	0.004190	0.000898	0.000200	0.000200	0.771648	0.005933	0	0	0	0	0	0	0.000600	0.000346	0	0	0.004184	0.000872	0	0	0.007598	0.001215	0.001871	0.000595	0.000177	0.000177	
60.3000	0.0078	0.0012	1.1388	0.007361	0.001197	0	0	0	0	0.156615	0.005136	0.002927	0.000751	0.040472	0.002775	0.001088	0.000451	0	0	0	0	0.000600	0.000346	0	0	0	0	0	0	0	0	0.000301	0.000224	0	0	0	0	0	0	0	0	0.003930	0.000873	0.000126	0.000126	0.771886	0.005934	0	0	0	0	0	0	0.000560	0.000325	0	0	0.004096	0.000876	0	0	0.008039	0.001239	0.001600	0.000565	0.000397	0.000281	
60.4000	0.0068	0.0011	1.1328	0.006929	0.001154	0	0	0	0	0.157088	0.005145	0.002876	0.000747	0.040727	0.002784	0.001392	0.000526	0	0	0	0	0.000567	0.000329	0	0	0	0	0	0	0	0	0.000400	0.000283	0	0	0	0	0	0	0	0	0.003237	0.000781	0	0	0.772129	0.005930	0	0	0	0	0	0	0.000400	0.000283	0	0	0.003643	0.000838	0	0	0.008579	0.001283	0.001633	0.000566	0.000400	0.000283	
60.5000	0.0069	0.0012	1.1310	0.007389	0.001187	0	0	0	0	0.156712	0.005138	0.002403	0.000684	0.041286	0.002803	0.001201	0.000490	0	0	0	0	0.000443	0.000264	0	0	0	0	0	0	0	0	0.000400	0.000283	0	0	0	0	0	0	0	0	0.003131	0.000771	0.000089	0.000089	0.772400	0.005929	0	0	0	0	0	0	0.000400	0.000283	0	0	0.003520	0.000815	0	0	0.008280	0.001249	0.001815	0.000588	0.000530	0.000311	
60.6000	0.0077	0.0012	1.1319	0.007876	0.001237	0	0	0	0	0.156490	0.005136	0.002269	0.000651	0.040786	0.002788	0.001324	0.000505	0	0	0	0	0.000305	0.000226	0	0	0	0	0	0	0	0	0.000400	0.000283	0	0	0	0	0	0	0	0	0.003025	0.000761	0.000200	0.000200	0.772608	0.005928	0	0	0	0	0	0	0.000351	0.000251	0	0	0.004025	0.000882	0	0	0.008150	0.001246	0.001592	0.000563	0.000600	0.000346	
60.7000	0.0089	0.0014	1.1286	0.007401	0.001198	0	0	0	0	0.156241	0.005132	0.002200	0.000663	0.040705	0.002791	0.001400	0.000529	0	0	0	0	0.000200	0.000200	0	0	0	0	0	0	0	0	0.000400	0.000283	0	0	0	0	0	0	0	0	0.003121	0.000783	0.000124	0.000124	0.773085	0.005922	0	0	0	0	0	0	0.000200	0.000200	0	0	0.004278	0.000908	0	0	0.008549	0.001291	0.001400	0.000529	0.000696	0.000359	
60.8000	0.0093	0.0014	1.1277	0.006857	0.001152	0	0	0	0	0.156089	0.005131	0.002095	0.000635	0.040248	0.002764	0.001216	0.000464	0	0	0	0	0.000166	0.000166	0	0	0	0	0	0	0	0	0.000664	0.000341	0	0	0	0	0	0	0	0	0.003200	0.000799	0.000034	0.000034	0.773602	0.005917	0	0	0	0	0	0	0.000200	0.000200	0	0	0.004255	0.000884	0	0	0.008807	0.001290	0.001626	0.000547	0.000940	0.000424	
60.9000	0.0089	0.0014	1.1245	0.007243	0.001182	0	0	0	0	0.155744	0.005126	0.001931	0.000614	0.040783	0.002790	0.001400	0.000529	0	0	0	0	0.000037	0.000037	0	0	0	0	0	0	0	0	0.000800	0.000400	0	0	0	0	0	0	0	0	0.003313	0.000801	0.000200	0.000200	0.774152	0.005913	0	0	0	0	0	0	0.000261	0.000206	0	0	0.004093	0.000883	0	0	0.007916	0.001244	0.001232	0.000491	0.000896	0.000410	
61.0000	0.0096	0.0014	1.1234	0.007538	0.001214	0	0	0	0	0.155455	0.005122	0.002062	0.000635	0.040725	0.002786	0.001139	0.000464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000792	0.000396	0	0	0	0	0	0	0	0	0.003442	0.000811	0.000200	0.000200	0.774529	0.005909	0	0	0	0	0	0	0.000608	0.000346	0	0	0.004239	0.000915	0	0	0.007424	0.001194	0.001246	0.000477	0.000600	0.000346	
61.1000	0.0098	0.0014	1.1198	0.007218	0.001175	0	0	0	0	0.155376	0.005122	0.001961	0.000610	0.040773	0.002789	0.000745	0.000371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000600	0.000346	0	0	0	0	0	0	0	0	0.003284	0.000799	0.000200	0.000200	0.774941	0.005906	0	0	0	0	0	0	0.000800	0.000400	0	0	0.004878	0.000956	0	0	0.007361	0.001185	0.001263	0.000489	0.000600	0.000346	
61.2000	0.0099	0.0015	1.1186	0.007493	0.001214	0	0	0	0	0.155702	0.005127	0.001895	0.000601	0.040539	0.002782	0.000752	0.000378	0	0	0	0	0	0	0	0	0	0	0.000133	0.000133	0	0	0.000683	0.000338	0	0	0	0	0	0	0	0	0.002959	0.000756	0.000200	0.000200	0.775050	0.005905	0	0	0	0	0	0	0.000632	0.000348	0	0	0.004745	0.000958	0	0	0.007216	0.001176	0.001400	0.000529	0.000600	0.000346	
61.3000	0.0102	0.0015	1.1187	0.007863	0.001242	0	0	0	0	0.155668	0.005122	0.001600	0.000565	0.040220	0.002772	0.000945	0.000409	0	0	0	0	0	0	0	0	0	0	0.000200	0.000200	0	0	0.000633	0.000348	0	0	0	0	0	0	0	0	0.003136	0.000772	0.000200	0.000200	0.775203	0.005904	0	0	0	0	0	0	0.000600	0.000346	0	0	0.004391	0.000906	0	0	0.007275	0.001194	0.001466	0.000533	0.000600	0.000346	
61.4000	0.0107	0.0015	1.1191	0.008179	0.001268	0	0	0	0	0.155935	0.005128	0.001600	0.000565	0.039851	0.002761	0.000834	0.000401	0	0	0	0	0.000081	0.000081	0	0	0	0	0.000200	0.000200	0	0	0.000600	0.000346	0	0	0	0	0	0	0	0	0.003099	0.000775	0.000200	0.000200	0.775217	0.005904	0	0	0	0	0	0	0.000600	0.000346	0	0	0.004091	0.000885	0	0	0.007015	0.001172	0.001899	0.000605	0.000600	0.000346	
61.5000	0.0104	0.0015	1.1192	0.007725	0.001231	0	0	0	0	0.155706	0.005126	0.001822	0.000583	0.040502	0.002779	0.000991	0.000443	0	0	0	0	0.000200	0.000200	0	0	0	0	0.000200	0.000200	0	0	0.000600	0.000346	0	0	0	0	0	0	0	0	0.002943	0.000746	0.000200	0.000200	0.775268	0.005903	0	0	0	0	0	0	0.000435	0.000285	0	0	0.003985	0.000879	0	0	0.006889	0.001154	0.001809	0.000600	0.000725	0.000368	
61.6000	0.0114	0.0015	1.1193	0.007760	0.001219	0	0	0	0	0.155628	0.005125	0.001536	0.000537	0.040385	0.002779	0.000800	0.000400	0	0	0	0	0.000200	0.000200	0	0	0	0	0.000200	0.000200	0	0	0.000600	0.000346	0	0	0	0	0	0	0	0	0.002982	0.000759	0.000200	0.000200	0.775233	0.005903	0	0	0	0	0	0	0.000362	0.000258	0	0	0.004354	0.000910	0	0	0.007054	0.001168	0.001967	0.000622	0.000738	0.000373	
61.7000	0.0109	0.0015	1.1171	0.007727	0.001220	0	0	0	0	0.155757	0.005128	0.001600	0.000565	0.039537	0.002753	0.000626	0.000347	0	0	0	0	0.000200	0.000200	0	0	0	0	0.000296	0.000212	0	0	0.000600	0.000346	0	0	0	0	0	0	0	0	0.003207	0.000799	0.000200	0.000200	0.775652	0.005899	0	0	0	0	0	0	0.000278	0.000215	0	0	0.004467	0.000935	0	0	0.007453	0.001200	0.001875	0.000604	0.000525	0.000309	
61.8000	0.0101	0.0014	1.1143	0.007389	0.001195	0	0	0	0	0.155542	0.005124	0.002080	0.000630	0.039685	0.002756	0.000553	0.000321	0	0	0	0	0.000200	0.000200	0	0	0	0	0.000200	0.000200	0	0	0.000407	0.000283	0	0	0	0	0	0	0	0	0.003372	0.000816	0.000200	0.000200	0.776047	0.005896	0	0	0	0	0	0	0.000400	0.000283	0	0	0.004463	0.000919	0	0	0.007180	0.001186	0.002048	0.000634	0.000232	0.000203	
61.9000	0.0093	0.0014	1.1154	0.007436	0.001199	0	0	0	0	0.155207	0.005117	0.002401	0.000680	0.039850	0.002757	0.000733	0.000371	0	0	0	0	0.000200	0.000200	0	0	0	0	0.000200	0.000200	0	0	0.000340	0.000244	0	0	0	0	0	0	0	0	0.003339	0.000804	0.000344	0.000247	0.776258	0.005891	0	0	0	0	0	0	0.000402	0.000283	0	0	0.004327	0.000902	0	0	0.006783	0.001141	0.001852	0.000584	0.000328	0.000238	
62.0000	0.0078	0.0013	1.1125	0.007439	0.001203	0	0	0	0	0.155258	0.005117	0.002784	0.000743	0.039559	0.002741	0.000928	0.000420	0	0	0	0	0.000200	0.000200	0	0	0	0	0.000200	0.000200	0	0	0.000072	0.000072	0	0	0	0	0	0	0	0	0.003463	0.000805	0.000400	0.000283	0.776723	0.005888	0	0	0	0	0	0	0.000400	0.000283	0	0	0.004095	0.000878	0	0	0.006478	0.001108	0.001600	0.000565	0.000400	0.000283	
62.1000	0.0064	0.0012	1.1100	0.007176	0.001187	0	0	0	0	0.155580	0.005124	0.002600	0.000708	0.039075	0.002727	0.001000	0.000447	0	0	0	0	0.000366	0.000260	0	0	0	0	0.000044	0.000044	0	0	0	0	0	0	0	0	0	0	0	0	0.003497	0.000829	0.000400	0.000283	0.776992	0.005887	0	0	0	0	0	0	0.000506	0.000295	0	0	0.004290	0.000899	0	0	0.006618	0.001117	0.001434	0.000530	0.000421	0.000284	
62.2000	0.0062	0.0011	1.1106	0.006482	0.001114	0	0	0	0	0.155740	0.005128	0.002598	0.000706	0.038115	0.002697	0.001000	0.000447	0	0	0	0	0.000400	0.000283	0	0	0	0	0	0	0	0	0.000188	0.000188	0	0	0	0	0	0	0	0	0.003247	0.000789	0.000400	0.000283	0.777318	0.005881	0	0	0	0	0	0	0.000400	0.000283	0	0	0.005192	0.001001	0	0	0.007005	0.001159	0.001315	0.000503	0.000600	0.000346	
62.3000	0.0070	0.0012	1.1122	0.006222	0.001105	0	0	0	0	0.155210	0.005117	0.002494	0.000698	0.037646	0.002684	0.001358	0.000501	0	0	0	0	0.000400	0.000283	0	0	0	0	0	0	0	0	0.000146	0.000146	0	0	0	0	0	0	0	0	0.003518	0.000823	0.000400	0.000283	0.777706	0.005880	0	0	0	0	0	0	0.000400	0.000283	0	0	0.005744	0.001045	0	0	0.006956	0.001163	0.001200	0.000490	0.000600	0.000346	
62.4000	0.0077	0.0012	1.1088	0.006036	0.001078	0	0	0	0	0.155423	0.005122	0.002524	0.000703	0.037783	0.002686	0.001600	0.000565	0	0	0	0	0.000400	0.000283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003315	0.000799	0.000396	0.000280	0.777922	0.005876	0	0	0	0	0	0	0.000400	0.000283	0	0	0.005898	0.001055	0	0	0.006504	0.001131	0.001200	0.000490	0.000600	0.000346	
62.5000	0.0083	0.0012	1.1049	0.005136	0.000988	0	0	0	0	0.155311	0.005119	0.002765	0.000731	0.038312	0.002705	0.001600	0.000565	0	0	0	0	0.000288	0.000218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003699	0.000840	0.000200	0.000200	0.778206	0.005875	0	0	0	0	0	0	0.000400	0.000283	0	0	0.006313	0.001090	0	0	0.005971	0.001078	0.001338	0.000509	0.000462	0.000290	
62.6000	0.0084	0.0013	1.0987	0.004515	0.000943	0	0	0	0	0.155877	0.005127	0.003242	0.000784	0.038974	0.002732	0.001600	0.000565	0	0	0	0	0.000200	0.000200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003440	0.000814	0.000200	0.000200	0.778348	0.005871	0	0	0	0	0	0	0.000284	0.000217	0	0	0.005777	0.001060	0	0	0.005801	0.001068	0.001182	0.000467	0.000559	0.000325	
62.7000	0.0095	0.0013	1.1006	0.004721	0.000955	0	0	0	0	0.155605	0.005122	0.003600	0.000847	0.039465	0.002740	0.001600	0.000565	0	0	0	0	0.000200	0.000200	0	0	0	0	0	0	0	0	0.000132	0.000132	0	0	0	0	0	0	0	0	0.003338	0.000791	0.000250	0.000206	0.778200	0.005876	0	0	0	0	0	0	0.000200	0.000200	0	0	0.005677	0.001024	0	0	0.005301	0.001010	0.001132	0.000466	0.000577	0.000311	
62.8000	0.0097	0.0014	1.0992	0.005337	0.001011	0	0	0	0	0.155928	0.005130	0.003456	0.000825	0.039630	0.002750	0.001322	0.000500	0	0	0	0	0.000200	0.000200	0	0	0	0	0.000101	0.000101	0	0	0.000189	0.000189	0	0	0	0	0	0	0	0	0.002923	0.000757	0.000400	0.000283	0.778289	0.005874	0	0	0	0	0	0	0.000200	0.000200	0	0	0.005318	0.001002	0	0	0.004718	0.000949	0.001388	0.000525	0.000600	0.000346	
62.9000	0.0097	0.0014	1.0957	0.005056	0.000987	0	0	0	0	0.156107	0.005132	0.003400	0.000823	0.039893	0.002761	0.001400	0.000529	0	0	0	0	0.000200	0.000200	0	0	0	0	0.000107	0.000107	0	0	0	0	0	0	0	0	0	0	0	0	0.002730	0.000728	0.000400	0.000283	0.778431	0.005873	0	0	0	0	0	0	0.000293	0.000221	0	0	0.005470	0.001029	0	0	0.004548	0.000931	0.001369	0.000518	0.000598	0.000345	
63.0000	0.0093	0.0014	1.0915	0.004576	0.000942	0	0	0	0	0.156237	0.005133	0.003652	0.000828	0.039506	0.002738	0.001261	0.000493	0	0	0	0	0.000200	0.000200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002616	0.000693	0.000400	0.000283	0.778849	0.005868	0	0	0	0	0	0	0.000435	0.000262	0	0	0.005788	0.001057	0	0	0.004941	0.000967	0.001139	0.000468	0.000400	0.000283	
