Time	TH	ErrTH	H	Prob[Insulin--mTORC1_S6K1]	ErrProb[Insulin--mTORC1_S6K1]	Prob[p21--mTORC1_S6K1]	ErrProb[p21--mTORC1_S6K1]	Prob[p21--Senescence--AKT]	ErrProb[p21--Senescence--AKT]	Prob[Insulin--p21--mTORC1_S6K1--Senescence]	ErrProb[Insulin--p21--mTORC1_S6K1--Senescence]	Prob[Insulin--AKT]	ErrProb[Insulin--AKT]	Prob[Insulin--p21]	ErrProb[Insulin--p21]	Prob[Insulin--p21--mTORC1_S6K1--Senescence--AKT]	ErrProb[Insulin--p21--mTORC1_S6K1--Senescence--AKT]	Prob[p21--AKT]	ErrProb[p21--AKT]	Prob[p21--mTORC1_S6K1--Senescence--AKT]	ErrProb[p21--mTORC1_S6K1--Senescence--AKT]	Prob[Insulin--Senescence--AKT]	ErrProb[Insulin--Senescence--AKT]	Prob[mTORC1_S6K1--Senescence--AKT]	ErrProb[mTORC1_S6K1--Senescence--AKT]	Prob[mTORC1_S6K1--AKT]	ErrProb[mTORC1_S6K1--AKT]	Prob[Insulin--p21--Senescence--AKT]	ErrProb[Insulin--p21--Senescence--AKT]	Prob[p21]	ErrProb[p21]	Prob[Insulin--p21--mTORC1_S6K1--AKT]	ErrProb[Insulin--p21--mTORC1_S6K1--AKT]	Prob[AKT]	ErrProb[AKT]	Prob[p21--mTORC1_S6K1--Senescence]	ErrProb[p21--mTORC1_S6K1--Senescence]	Prob[Senescence]	ErrProb[Senescence]	Prob[<nil>]	ErrProb[<nil>]	Prob[Insulin--p21--Senescence]	ErrProb[Insulin--p21--Senescence]	Prob[Insulin--Senescence]	ErrProb[Insulin--Senescence]	Prob[Insulin--mTORC1_S6K1--AKT]	ErrProb[Insulin--mTORC1_S6K1--AKT]	Prob[mTORC1_S6K1]	ErrProb[mTORC1_S6K1]	Prob[p21--Senescence]	ErrProb[p21--Senescence]	Prob[p21--mTORC1_S6K1--AKT]	ErrProb[p21--mTORC1_S6K1--AKT]	Prob[Insulin--p21--AKT]	ErrProb[Insulin--p21--AKT]	Prob[mTORC1_S6K1--Senescence]	ErrProb[mTORC1_S6K1--Senescence]	Prob[Insulin--p21--mTORC1_S6K1]	ErrProb[Insulin--p21--mTORC1_S6K1]	Prob[Senescence--AKT]	ErrProb[Senescence--AKT]	Prob[Insulin]	ErrProb[Insulin]	Prob[Insulin--mTORC1_S6K1--Senescence--AKT]	ErrProb[Insulin--mTORC1_S6K1--Senescence--AKT]	Prob[Insulin--mTORC1_S6K1--Senescence]	ErrProb[Insulin--mTORC1_S6K1--Senescence]	
1.0000	0.3066	0.0070	3.7576	0.082222	0.003812	0	0	0	0	0.097185	0.004127	0.074459	0.003656	0.111889	0.004382	0.029190	0.002340	0	0	0	0	0.047427	0.002959	0	0	0	0	0.013986	0.001622	0	0	0.007967	0.001211	0	0	0	0	0	0	0	0	0.074433	0.003628	0.081055	0.003777	0.084180	0.003874	0	0	0	0	0	0	0.014955	0.001670	0	0	0.038870	0.002656	0	0	0.123019	0.004561	0.056887	0.003220	0.062275	0.003331	
1.1000	0.2840	0.0068	3.7354	0.082934	0.003822	0	0	0	0	0.099276	0.004188	0.072772	0.003610	0.117325	0.004487	0.029005	0.002333	0	0	0	0	0.044277	0.002839	0	0	0	0	0.012242	0.001511	0	0	0.006781	0.001128	0	0	0	0	0	0	0	0	0.074611	0.003637	0.076613	0.003690	0.087946	0.003952	0	0	0	0	0	0	0.012884	0.001563	0	0	0.040888	0.002721	0	0	0.126425	0.004617	0.057713	0.003225	0.058306	0.003262	
1.2000	0.2632	0.0066	3.7073	0.086269	0.003908	0	0	0	0	0.104792	0.004274	0.070270	0.003545	0.125485	0.004604	0.028595	0.002314	0	0	0	0	0.039520	0.002702	0	0	0	0	0.009521	0.001350	0	0	0.005930	0.001048	0	0	0	0	0	0	0	0	0.074098	0.003633	0.072848	0.003594	0.091590	0.004041	0	0	0	0	0	0	0.012024	0.001508	0	0	0.041564	0.002750	0	0	0.125882	0.004592	0.057476	0.003236	0.054137	0.003119	
1.3000	0.2460	0.0064	3.6751	0.090173	0.003979	0	0	0	0	0.109609	0.004374	0.067733	0.003491	0.133154	0.004748	0.026607	0.002225	0	0	0	0	0.034571	0.002531	0	0	0	0	0.008875	0.001302	0	0	0.005339	0.000973	0	0	0	0	0	0	0	0	0.073443	0.003632	0.068488	0.003504	0.096196	0.004124	0	0	0	0	0	0	0.009036	0.001308	0	0	0.040626	0.002717	0	0	0.124359	0.004578	0.060508	0.003321	0.051284	0.003068	
1.4000	0.2330	0.0063	3.6543	0.092879	0.004028	0	0	0	0	0.111978	0.004414	0.065149	0.003430	0.137280	0.004817	0.025520	0.002186	0	0	0	0	0.031746	0.002435	0	0	0	0	0.007384	0.001161	0	0	0.005090	0.000977	0	0	0	0	0	0	0	0	0.072938	0.003629	0.065623	0.003450	0.102549	0.004238	0	0	0	0	0	0	0.008482	0.001248	0	0	0.042822	0.002777	0	0	0.122503	0.004568	0.060833	0.003325	0.047225	0.002927	
1.5000	0.2177	0.0061	3.6334	0.093955	0.004060	0	0	0	0	0.113685	0.004419	0.062585	0.003360	0.140297	0.004849	0.024409	0.002135	0	0	0	0	0.029515	0.002331	0	0	0	0	0.005696	0.001051	0	0	0.004811	0.000954	0	0	0	0	0	0	0	0	0.071795	0.003570	0.062379	0.003356	0.108045	0.004339	0	0	0	0	0	0	0.007987	0.001230	0	0	0.045409	0.002862	0	0	0.123623	0.004589	0.058661	0.003266	0.047148	0.002926	
1.6000	0.2033	0.0060	3.6065	0.094763	0.004075	0	0	0	0	0.115877	0.004482	0.061609	0.003363	0.147313	0.004955	0.023938	0.002134	0	0	0	0	0.026477	0.002237	0	0	0	0	0.005777	0.001048	0	0	0.004288	0.000906	0	0	0	0	0	0	0	0	0.069285	0.003522	0.057076	0.003237	0.111344	0.004410	0	0	0	0	0	0	0.006738	0.001127	0	0	0.044468	0.002860	0	0	0.126220	0.004621	0.059286	0.003301	0.045540	0.002912	
1.7000	0.1919	0.0058	3.5812	0.094107	0.004077	0	0	0	0	0.117669	0.004508	0.058328	0.003277	0.154642	0.005047	0.022102	0.002040	0	0	0	0	0.023964	0.002127	0	0	0	0	0.004854	0.000953	0	0	0.004313	0.000914	0	0	0	0	0	0	0	0	0.067618	0.003478	0.053594	0.003128	0.114963	0.004468	0	0	0	0	0	0	0.006111	0.001065	0	0	0.045165	0.002858	0	0	0.126408	0.004639	0.060966	0.003319	0.045195	0.002882	
1.8000	0.1838	0.0057	3.5495	0.093260	0.004052	0	0	0	0	0.121789	0.004584	0.056898	0.003224	0.162321	0.005157	0.020037	0.001954	0	0	0	0	0.021699	0.002026	0	0	0	0	0.004594	0.000955	0	0	0.004121	0.000883	0	0	0	0	0	0	0	0	0.065296	0.003432	0.047315	0.002934	0.120090	0.004548	0	0	0	0	0	0	0.005280	0.001007	0	0	0.046215	0.002888	0	0	0.126293	0.004629	0.061404	0.003340	0.043388	0.002818	
1.9000	0.1720	0.0055	3.5179	0.093182	0.004050	0	0	0	0	0.127184	0.004661	0.053668	0.003136	0.169987	0.005247	0.018976	0.001902	0	0	0	0	0.018444	0.001875	0	0	0	0	0.004579	0.000936	0	0	0.004116	0.000882	0	0	0	0	0	0	0	0	0.063571	0.003397	0.043077	0.002830	0.126574	0.004672	0	0	0	0	0	0	0.004469	0.000905	0	0	0.047153	0.002899	0	0	0.121903	0.004545	0.061847	0.003375	0.041270	0.002773	
