,Proliferation_0.5,Proliferation_1,Proliferation_3,Proliferation_6,Proliferation_24,Quiescence_1,Quiescence_6,Quiescence_24,Quiescence_96,Senescence_1,Senescence_6,Senescence_24,Senescence_96
c-Jun (Phospho-Ser63),1.0898806014150944,1.1576126782978156,1.1373754504981979,1.4315931973940266,0.9573123354710024,1.152350042828067,1.3037565867754548,1.4911883680801108,1.2749623498585825,1.1557294962614353,1.303066037735849,1.2191833716189242,1.4210590383444917
GSK3 beta (Phospho-Ser9),3.4945002411797135,1.2105142730595002,1.1734573789378493,1.337578673100598,0.9355629810888338,0.7575399261700496,1.0571882898233507,1.2773960318627897,1.1116652011501862,0.9728308029340162,0.903532866973349,0.6997947516540907,0.9986840701355052
c-Jun (Phospho-Ser73),1.22227689980457,1.0079861061145032,0.8057051355679123,1.0362708272099965,0.3947997210334771,1.0648449496013261,0.34879683707104037,1.0896025228516228,1.0044160748715312,0.9232489921330673,1.0629030418645158,0.9634431962596589,1.3517195895486198
Elk1 (Phospho-Ser383),1.2059110753676472,1.1267394364572034,1.1931211551171896,1.4709940547450442,2.1174843631367732,3.21483695519024,3.110276051452522,3.0498721227621486,2.3765125777760816,1.9109506388032258,1.5783468559837728,1.2633898512578812,1.9349146110056927
PDK1 (Phospho-Ser241),0.2851132642978922,0.2925329384120829,0.6552971990219914,0.84370543148577,0.2726216881811923,0.2764269795624008,0.25228068625464783,0.28247578008887686,0.27983415089838287,0.27634877237876965,0.6305182033905552,0.2973886082964055,1.5845529268243905
Raf1 (Phospho-Ser259),1.0524261631646656,1.0494883474298267,0.4392718792761193,0.5344245398395496,0.7425509282150167,0.9913107960305279,0.5571874697089105,0.5716695683033269,1.218962982091556,0.6423785168954527,1.0942582953806115,1.0316226486489382,1.2170641288109334
GSK3 alpha (Phospho-Ser21),1.1073496113823227,1.1651990966773742,1.1156853008764738,1.1920969310394094,0.7139414467196986,1.100800326003254,1.1489579834903576,1.3899576419395645,3.103315808463825,1.1715337224568394,0.8050997625544883,0.6197937443118198,0.7959553094851307
MEK2 (Phospho-Thr394),1.1444573653371712,1.2290423489087567,0.7451212300413957,0.8297439225867359,1.021900171448905,0.985814572875337,1.0643508340876764,1.4237823522449302,1.9218445814406233,1.376051860357504,1.4432565789473684,1.2828947368421053,1.9864176570458405
PTEN (Phospho-Ser380),0.8514754179936306,0.9538210313523724,0.7821781292492664,0.9851903687412528,0.7952632526748069,1.0638282350506822,0.9236451274667836,0.9936771264049503,0.9085578063710801,0.8790524466604583,0.928182654293872,0.9770872962744487,1.1839428806246146
NFkB-p65 (Phospho-Thr254),1.1858108108108107,1.379491692555639,0.9653203765563315,1.2906071991273784,0.9601156165384808,1.1674054729448315,1.0573344843615116,0.8258600429514972,1.1663679253555956,1.0659297526116152,1.1185694315004657,1.002941755491183,1.3823748910200522
NFkB-p65 (Phospho-Ser276),1.041827534520349,1.004292609048692,0.8020316174549257,0.9495254979664199,0.9859957690713398,0.8263272086243135,1.009608974725254,1.1328710644677662,1.1035570378642683,1.0107873353880639,1.1337209302325582,0.9485032548459698,1.240510127531883
NFkB-p65 (Phospho-Thr435),1.1905604084645671,1.1878674051581135,0.6821197912058746,0.7203135482504149,0.8993655295239293,0.7162370009871215,0.8961932583979829,0.9875574024011616,1.2903217565033442,1.2289464305402071,1.1129683681781157,1.2728702876760594,1.5096774193548388
NFkB-p65 (Phospho-Ser468),0.6928288600151746,0.6920575238229042,0.3371298017084108,0.6837102009431331,0.7169324925643051,0.31825889440350796,0.35072125512186214,1.2366699806394224,0.8226138555753266,0.758729294407668,0.24156899168018417,0.20543850535055322,0.37799207009643154
NFkB-p65 (Phospho-Ser536),0.636780753968254,0.9787218143436268,1.0477973961120028,1.1858495266567015,0.9429664100838041,1.2152343930769587,1.092304425637759,1.2807881773399015,1.1328450913136183,1.0979309774490498,1.1147600802773217,1.0557234802812328,1.5669226830517153
NFkB-p100/p52 (Phospho-Ser865),2.7896914274796196,3.0047269176318077,0.8367427943331706,1.0023883798011308,1.1158006199727426,1.1573302790503956,1.1639381476337998,1.2810340753536276,2.046666478571227,1.2526899607832034,2.0578968328335834,1.1877064199429943,1.8399193548387096
NFkB-p100/p52 (Phospho-Ser869),1.328040081521739,1.1495044945161785,0.9726428920371276,1.2072528758042502,1.0901365543411454,1.1921119823262047,1.2282638369594892,1.5168502705169153,1.1186976271760292,1.2022142624552263,1.2847326336831584,0.9747696391138458,1.7036746143057502
MKK4/SEK1 (Phospho-Ser80),0.9701601985559567,1.055211005094374,0.9177787693181358,1.1469459778860631,0.784017005451774,1.0449617112003573,0.9169497689353285,1.036642328655167,1.8386391695579551,0.934165778148206,1.106327026017677,0.9921524284646334,1.0780295795970654
ASK1 (Phospho-Ser966),1.0732691932426406,1.1309257377873605,0.9025348555162425,1.3148094070396787,0.8583191647197959,1.0980482782783416,0.8348548045247421,1.0851777501079969,1.0044278857815025,0.9889934645155349,1.0984458150050755,1.0419008596642845,1.1703030128629393
HDAC4 (Phospho-Ser632),0.8447008827948911,0.9724943327166204,0.8315535332899991,0.6464676412421289,0.7942140910083735,0.6414307086547648,0.9479119171080103,0.9752449094761411,0.9292364818185233,0.9480217864166883,1.0230187310552086,0.9763027024660483,1.2805603354257047
HDAC5 (Phospho-Ser498),1.0823873396701789,0.9428180632574512,0.8048659972103127,1.034943889698013,0.9263175439875825,1.0799554239787477,0.8615153278460654,1.106873269732518,1.0409651834436535,1.0429485830310383,1.113502456284455,1.0224690554149627,1.329871588373502
HDAC8 (Phospho-Ser39),1.7009485906092965,1.4611996822086106,1.4291965445203547,1.5971111161187102,1.1861782792264952,1.39577521091505,1.2495524304569532,1.3078793517813958,1.2065926648166205,1.2090000638163139,1.363200701784786,1.24807178452094,1.384503160966121
HSP27 (Phospho-Ser15),1.3541666666666667,1.232336010120015,0.7620576320415806,0.836460144595955,1.0115441382453412,1.1823304915468895,1.0550439121867694,1.069312282634193,1.2384395679102271,1.0988908751387236,1.164526155289702,0.9760713164905227,1.6180820715382926
