,IGF1,LowNuEx,DNAdamage,attr_type,ratio,value,size
0,False,False,False,point,1.0,57b9eb28e3,1
1,True,False,False,point,1.0,3c487b0a3a,1
2,False,False,True,cyclic,0.398,924f410d67,8
3,False,False,True,cyclic,0.602,af8b155f6b,8
4,True,False,True,cyclic,0.6731,3def0aa9ee,8
5,True,False,True,cyclic,0.3269,bbc02d1742,8
6,False,True,False,cyclic,1.0,c46edc3a3f,14
7,True,True,False,cyclic,1.0,2f41cb9e7d,14
8,False,True,True,cyclic,0.6061,f394d70334,10
9,False,True,True,cyclic,0.3939,21a8a42912,8
10,True,True,True,cyclic,0.2976,558ecc2f57,8
11,True,True,True,cyclic,0.7024,e86fea94f0,11
