,IGF1,LowNuEx,DNAdamage,attr_type,ratio,value,size
0,False,False,False,point,1.0,57b9eb28e3,1
1,True,False,False,point,1.0,3c487b0a3a,1
2,False,False,True,cyclic,0.5527,27a74f0b2b,8
3,False,False,True,cyclic,0.4473,13f7ade50d,8
4,True,False,True,cyclic,0.6147,b6ceab3c60,8
5,True,False,True,cyclic,0.3853,2b957b4c75,8
6,False,True,False,cyclic,1.0,2f9b85da15,14
7,True,True,False,cyclic,1.0,ba7918b2b2,14
8,False,True,True,cyclic,0.4603,88f2ae42bc,8
9,False,True,True,cyclic,0.5397,987e0361b6,10
10,True,True,True,cyclic,0.4881,2a1e9f7857,10
11,True,True,True,cyclic,0.5119,f7e209134c,8
