,Quiescence,Senescence,Proliferation,Congruency
4E-BP1 (Ab-65),0.4137730519821763,0.5539198325333334,1.5837047634680281,0
AKT1 (Phospho-Ser473),0.8993461658108389,1.3326735850666664,1.0759840133333332,1
E2F1 (Phospho-Thr433),1.4310940501333334,0.8528806657491039,1.0498793841545893,0
IGF1R (Phospho-Tyr1165/1166),2.3295564276797736,1.1089923909333332,1.0648339111225869,0
IkB-alpha (Ab-32/36),0.9170182200426925,1.1401469352703204,0.9655853200000002,0
IKK-beta (Ab-188),0.6897544392605011,1.0127794986666667,1.06848344,0
IRS-1 (Phospho-Ser636),1.3361218211761363,0.9454746389333333,1.0199198133333331,0
MKK6/MAP2K6 (Phospho-Ser207),0.6800352282666666,0.7195741951999999,0.5242477502249455,0
mTOR (Phospho-Ser2481),0.6892489185699577,1.169711939365207,0.9866489866666666,1
p38 MAPK (Phospho-Tyr322),0.7755169157333333,1.0997515226666665,0.8826826977777777,1
p53 (Phospho-Ser15),1.0221739210666665,0.7242985257049589,0.8274320728522336,0
P70S6K (Phospho-Ser411),1.1441634840216872,0.9969596277333334,1.063796937013921,0
Rb (Phospho-Thr821),1.0179117877333335,1.1831610705415,1.0635218400000002,0
Tuberin/TSC2 (Phospho-Ser939),0.8656762485333336,1.0424849648,0.9204296544927536,0
