Time	TH	ErrorTH	H	HD=0	HD=1	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba
0.9500	0.1177	0.0045	2.8149	0.8529	0.1471	A -- B -- D	0.001188	0.000485	A -- B -- T	0.001762	0.000577	T	0.000063	0.000061	A	0.001200	0.000490	A -- B	0.002200	0.000663	T -- D	0.001400	0.000529	B -- T -- D	0.003233	0.000799	B -- T	0.002945	0.000747	A -- D	0.006200	0.001110	A -- B -- T -- D	0.003180	0.000794	A -- B -- T -- C	0.008863	0.001316	A -- C	0.005027	0.000998	A -- T -- C -- D	0.041128	0.002806	<nil>	0.031413	0.002460	T -- C	0.003108	0.000776	A -- T -- D	0.010982	0.001473	C -- D	0.488300	0.007061	C	0.146134	0.004990	A -- B -- T -- C -- D	0.008541	0.001296	A -- C -- D	0.031481	0.002467	B	0.002505	0.000700	D	0.112839	0.004468	A -- T	0.002481	0.000692	T -- C -- D	0.008386	0.001269	B -- T -- C	0.009271	0.001344	A -- B -- C	0.007579	0.001225	B -- C -- D	0.016508	0.001797	A -- B -- C -- D	0.005456	0.001034	A -- T -- C	0.009801	0.001387	B -- C	0.005867	0.001075	B -- T -- C -- D	0.017557	0.001847	B -- D	0.003400	0.000821
0.9600	0.1151	0.0044	2.7973	0.8544	0.1456	A -- B -- D	0.000913	0.000415	T	0.000200	0.000200	A	0.001200	0.000490	A -- B	0.002238	0.000655	T -- D	0.001597	0.000564	B -- T -- D	0.003167	0.000791	B -- T	0.002556	0.000709	A -- D	0.006100	0.001097	A -- B -- T -- D	0.002847	0.000742	B -- D	0.003400	0.000823	A -- B -- T -- C	0.009200	0.001350	A -- C	0.004838	0.000972	A -- T -- C -- D	0.040990	0.002801	<nil>	0.030875	0.002444	A -- T -- D	0.010800	0.001462	C -- D	0.492065	0.007064	C	0.145769	0.004986	A -- B -- T -- C -- D	0.008502	0.001289	A -- C -- D	0.031566	0.002469	B	0.002403	0.000682	A -- T	0.002397	0.000691	T -- C -- D	0.008334	0.001264	D	0.112032	0.004456	A -- B -- T	0.001651	0.000567	B -- T -- C -- D	0.017334	0.001834	T -- C	0.003081	0.000774	B -- T -- C	0.009160	0.001341	A -- B -- C	0.007348	0.001201	B -- C -- D	0.016413	0.001796	A -- B -- C -- D	0.005200	0.001017	A -- T -- C	0.009800	0.001393	B -- C	0.006024	0.001085
0.9700	0.1130	0.0044	2.7777	0.8558	0.1442	A -- B -- D	0.000745	0.000375	T	0.000202	0.000200	A	0.001200	0.000490	A -- B	0.002051	0.000633	A -- T	0.002200	0.000663	T -- D	0.001813	0.000593	B -- T -- D	0.002807	0.000739	B -- T	0.002531	0.000703	A -- D	0.006000	0.001092	A -- B -- T -- D	0.002439	0.000693	A -- B -- T -- C	0.009157	0.001345	A -- C	0.004600	0.000957	A -- T -- C -- D	0.040902	0.002796	<nil>	0.030361	0.002422	A -- T -- D	0.010800	0.001462	C -- D	0.495751	0.007064	C	0.145445	0.004980	A -- B -- T -- C -- D	0.008521	0.001287	B -- T -- C	0.009249	0.001344	A -- C -- D	0.031674	0.002473	B	0.002605	0.000720	D	0.111505	0.004447	A -- B -- T	0.001798	0.000598	B -- T -- C -- D	0.017085	0.001817	T -- C	0.002772	0.000722	A -- B -- C	0.007209	0.001188	B -- C	0.006281	0.001101	B -- C -- D	0.016475	0.001789	A -- B -- C -- D	0.004986	0.000982	A -- T -- C	0.009923	0.001398	T -- C -- D	0.007639	0.001196	B -- D	0.003277	0.000802
0.9800	0.1122	0.0043	2.7601	0.8580	0.1420	A -- B -- D	0.000600	0.000346	T	0.000400	0.000283	A	0.001199	0.000489	A -- B	0.002000	0.000632	A -- T	0.002167	0.000654	T -- D	0.001727	0.000575	B -- T -- D	0.002947	0.000761	A -- B -- T -- C	0.008511	0.001283	B -- T	0.002225	0.000663	A -- D	0.006001	0.001092	T -- C	0.002649	0.000716	A -- C	0.004600	0.000957	A -- T -- C -- D	0.040878	0.002795	<nil>	0.029708	0.002397	A -- B -- T -- D	0.002771	0.000740	A -- T -- D	0.010217	0.001413	C -- D	0.499313	0.007064	C	0.145568	0.004983	A -- B -- T -- C -- D	0.008706	0.001309	B -- T -- C	0.009761	0.001376	A -- C -- D	0.031222	0.002459	B	0.002800	0.000747	D	0.111139	0.004441	A -- B -- T	0.001512	0.000536	B -- T -- C -- D	0.016716	0.001808	B -- C	0.006642	0.001141	B -- C -- D	0.016151	0.001778	A -- B -- C -- D	0.005297	0.001020	A -- T -- C	0.009800	0.001393	T -- C -- D	0.007038	0.001158	A -- B -- C	0.006558	0.001134	B -- D	0.003176	0.000793
0.9900	0.1106	0.0043	2.7381	0.8594	0.1406	A -- B -- D	0.000600	0.000346	T	0.000400	0.000283	A	0.001000	0.000447	A -- B	0.001858	0.000602	A -- T	0.002000	0.000632	T -- D	0.001649	0.000558	B -- T -- D	0.002800	0.000747	A -- B -- T -- C	0.008355	0.001275	B -- T	0.002200	0.000663	A -- D	0.006200	0.001110	T -- C	0.002471	0.000682	A -- C	0.004600	0.000957	A -- B -- T	0.001499	0.000538	B -- T -- C -- D	0.016426	0.001793	A -- T -- C -- D	0.040853	0.002794	<nil>	0.029315	0.002384	A -- B -- T -- D	0.002800	0.000747	A -- T -- D	0.009876	0.001393	C -- D	0.503124	0.007062	C	0.145818	0.004983	A -- B -- T -- C -- D	0.008848	0.001316	A -- C -- D	0.030961	0.002446	B	0.002942	0.000761	D	0.110692	0.004431	B -- T -- C	0.009847	0.001387	B -- C	0.006810	0.001148	B -- C -- D	0.015604	0.001747	A -- B -- C -- D	0.005239	0.001011	A -- T -- C	0.009710	0.001383	T -- C -- D	0.006343	0.001099	A -- B -- C	0.006158	0.001100	B -- D	0.003000	0.000774
1.0000	0.1094	0.0043	2.7262	0.8602	0.1398	A -- B -- D	0.000600	0.000346	T	0.000275	0.000214	A	0.000854	0.000404	A -- B	0.001841	0.000591	A -- T	0.001809	0.000584	T -- D	0.001218	0.000474	A -- B -- T -- C	0.008832	0.001320	B -- T	0.002200	0.000663	A -- D	0.006200	0.001110	B -- T -- D	0.002938	0.000759	T -- C	0.002878	0.000747	A -- C	0.004600	0.000957	A -- B -- T	0.001210	0.000490	B -- T -- C -- D	0.016189	0.001773	A -- T -- C -- D	0.040679	0.002789	<nil>	0.028856	0.002355	A -- B -- T -- D	0.002635	0.000721	A -- T -- D	0.009791	0.001385	C -- D	0.505853	0.007065	C	0.145572	0.004980	A -- B -- T -- C -- D	0.008882	0.001309	A -- C -- D	0.029616	0.002388	B	0.002874	0.000751	D	0.110434	0.004426	B -- T -- C	0.009285	0.001353	B -- C	0.006838	0.001163	B -- C -- D	0.015286	0.001727	A -- B -- C -- D	0.006406	0.001102	A -- T -- C	0.009600	0.001379	T -- C -- D	0.006555	0.001136	A -- B -- C	0.006204	0.001099	B -- D	0.002989	0.000771
1.0100	0.1069	0.0042	2.7049	0.8614	0.1386	T	0.000087	0.000087	A -- B -- D	0.000600	0.000346	T -- D	0.000824	0.000401	A	0.000800	0.000400	A -- B	0.001800	0.000600	A -- B -- T -- D	0.002469	0.000695	A -- T	0.001713	0.000576	A -- B -- T -- C	0.009103	0.001338	B -- T	0.002058	0.000635	A -- D	0.006022	0.001092	T -- C	0.002659	0.000723	A -- C	0.004600	0.000957	A -- B -- T	0.001200	0.000490	B -- T -- C -- D	0.016743	0.001811	A -- T -- C -- D	0.040248	0.002778	<nil>	0.028200	0.002341	A -- T -- D	0.009995	0.001404	C -- D	0.509996	0.007062	C	0.145055	0.004974	A -- B -- T -- C -- D	0.008663	0.001298	A -- C -- D	0.029075	0.002373	B	0.002800	0.000747	D	0.109714	0.004417	B -- T -- C	0.009307	0.001350	B -- C	0.006833	0.001159	B -- C -- D	0.015135	0.001713	A -- B -- C -- D	0.006480	0.001119	A -- T -- C	0.009600	0.001379	T -- C -- D	0.006290	0.001111	A -- B -- C	0.006200	0.001110	B -- D	0.002800	0.000747	B -- T -- D	0.002931	0.000759
1.0200	0.1059	0.0042	2.6861	0.8628	0.1372	A -- B -- D	0.000600	0.000346	T -- D	0.000800	0.000400	A	0.000800	0.000400	A -- B	0.001800	0.000600	A -- B -- T -- D	0.002400	0.000692	A -- T	0.001800	0.000600	A -- B -- T -- C	0.008865	0.001322	B -- T	0.002000	0.000632	A -- D	0.005998	0.001092	T -- C	0.002818	0.000741	A -- C	0.004463	0.000938	A -- B -- T	0.001200	0.000490	B -- T -- C -- D	0.016431	0.001784	A -- T -- C -- D	0.040356	0.002779	<nil>	0.028055	0.002333	A -- T -- D	0.009710	0.001382	C -- D	0.514971	0.007058	C	0.143555	0.004949	A -- B -- T -- C -- D	0.008417	0.001283	A -- C -- D	0.029102	0.002374	B	0.002800	0.000747	D	0.108447	0.004395	B -- T -- C	0.009367	0.001357	T -- C -- D	0.006318	0.001100	B -- C	0.006752	0.001155	B -- C -- D	0.014663	0.001693	A -- B -- C -- D	0.006064	0.001093	A -- T -- C	0.009600	0.001379	A -- B -- C	0.006048	0.001093	B -- D	0.002800	0.000747	B -- T -- D	0.003000	0.000774
1.0300	0.1051	0.0042	2.6673	0.8647	0.1353	T	0.000003	0.000003	A -- B -- D	0.000536	0.000314	T -- D	0.000800	0.000400	A	0.000800	0.000400	A -- B	0.001691	0.000571	A -- B -- T -- D	0.002413	0.000680	A -- T	0.001800	0.000600	A -- B -- T -- C	0.008338	0.001266	B -- T	0.001994	0.000630	A -- D	0.005800	0.001074	T -- C	0.002758	0.000728	A -- C	0.004258	0.000916	A -- B -- T	0.001200	0.000490	B -- T -- C -- D	0.016314	0.001789	A -- T -- C -- D	0.040544	0.002788	<nil>	0.027477	0.002306	A -- T -- D	0.009472	0.001367	C -- D	0.519429	0.007053	C	0.142676	0.004940	A -- B -- T -- C -- D	0.008200	0.001275	A -- C -- D	0.029160	0.002377	B	0.002909	0.000754	D	0.107309	0.004369	B -- T -- C	0.009807	0.001373	A -- B -- C -- D	0.006446	0.001127	T -- C -- D	0.005908	0.001063	B -- C	0.007437	0.001197	B -- C -- D	0.014128	0.001656	A -- T -- C	0.009362	0.001355	A -- B -- C	0.005242	0.001007	B -- D	0.002675	0.000724	B -- T -- D	0.003115	0.000782
1.0400	0.1036	0.0042	2.6432	0.8666	0.1334	A -- B -- D	0.000400	0.000283	A -- B	0.001400	0.000529	T -- D	0.000648	0.000350	A	0.000800	0.000400	A -- B -- T -- D	0.002229	0.000663	A -- T	0.001800	0.000600	A -- B -- T -- C	0.007768	0.001234	T	0.000150	0.000150	B -- T	0.001732	0.000573	A -- D	0.005800	0.001074	T -- C	0.003084	0.000756	A -- C	0.004128	0.000902	A -- B -- T	0.001118	0.000462	B -- T -- C -- D	0.016440	0.001789	A -- T -- C -- D	0.040305	0.002779	<nil>	0.026857	0.002276	A -- T -- D	0.009400	0.001365	C -- D	0.523950	0.007055	C	0.142906	0.004944	A -- B -- T -- C -- D	0.008397	0.001273	A -- C -- D	0.029086	0.002374	B	0.003200	0.000799	D	0.106174	0.004343	B -- T -- C	0.009920	0.001391	A -- B -- C -- D	0.006687	0.001145	T -- C -- D	0.005148	0.001003	B -- C	0.007470	0.001211	B -- C -- D	0.013526	0.001621	A -- T -- C	0.009200	0.001350	A -- B -- C	0.004876	0.000980	B -- D	0.002354	0.000673	B -- T -- D	0.003048	0.000775
1.0500	0.1008	0.0041	2.6263	0.8681	0.1319	T -- D	0.000600	0.000346	A -- B -- D	0.000457	0.000288	A -- B	0.001081	0.000451	A	0.000800	0.000400	A -- B -- T -- D	0.002044	0.000620	A -- T	0.001765	0.000589	A -- B -- T -- C	0.007868	0.001243	B -- T	0.001586	0.000545	T	0.000414	0.000252	A -- D	0.005602	0.001048	T -- C	0.002822	0.000733	A -- C	0.003964	0.000885	A -- B -- T	0.001176	0.000464	B -- T -- C -- D	0.016032	0.001755	A -- T -- C -- D	0.040530	0.002785	<nil>	0.025898	0.002241	A -- T -- D	0.009087	0.001331	C -- D	0.527454	0.007053	C	0.143506	0.004952	A -- B -- T -- C -- D	0.007861	0.001240	A -- C -- D	0.029091	0.002371	B	0.003359	0.000814	D	0.104742	0.004327	B -- T -- C	0.009672	0.001372	A -- B -- C -- D	0.006147	0.001090	T -- C -- D	0.006149	0.001073	B -- C	0.007312	0.001200	B -- C -- D	0.013419	0.001611	A -- T -- C	0.009194	0.001350	A -- B -- C	0.005195	0.001011	B -- D	0.002172	0.000655	B -- T -- D	0.003000	0.000774
1.0600	0.0989	0.0041	2.6127	0.8691	0.1309	T -- D	0.000932	0.000419	A -- B -- D	0.000600	0.000346	A -- B	0.001000	0.000447	A	0.000800	0.000400	A -- B -- T -- D	0.001840	0.000600	A -- T	0.001408	0.000529	A -- B -- T -- C	0.007987	0.001258	B -- T	0.001400	0.000529	T	0.000600	0.000346	A -- D	0.005400	0.001037	T -- C	0.003158	0.000789	A -- C	0.003800	0.000870	A -- B -- T	0.001592	0.000562	B -- T -- C -- D	0.015480	0.001731	A -- T -- C -- D	0.040677	0.002788	<nil>	0.025536	0.002228	A -- T -- D	0.008600	0.001302	C -- D	0.531642	0.007050	C	0.142094	0.004931	A -- B -- T -- C -- D	0.007752	0.001230	A -- C -- D	0.028800	0.002365	B	0.003387	0.000820	D	0.103954	0.004312	B -- T -- C	0.009420	0.001365	A -- B -- C -- D	0.006400	0.001128	T -- C -- D	0.006497	0.001113	B -- C	0.006645	0.001135	B -- C -- D	0.013471	0.001628	A -- T -- C	0.008881	0.001323	A -- B -- C	0.005332	0.001026	B -- D	0.002000	0.000632	B -- T -- D	0.002914	0.000744
1.0700	0.0979	0.0041	2.5956	0.8703	0.1297	T -- D	0.001000	0.000447	A -- T	0.001400	0.000529	A -- B -- D	0.000600	0.000346	A -- B	0.001000	0.000447	A	0.000800	0.000400	A -- B -- T -- C	0.007710	0.001229	B -- T	0.001400	0.000529	T	0.000600	0.000346	A -- B -- T -- D	0.002053	0.000634	A -- D	0.005384	0.001034	T -- C	0.003142	0.000773	A -- C	0.003694	0.000852	A -- B -- T	0.001600	0.000565	B -- T -- C -- D	0.015570	0.001742	A -- T -- C -- D	0.040647	0.002791	<nil>	0.025813	0.002238	A -- T -- D	0.008168	0.001268	C -- D	0.535739	0.007045	C	0.140900	0.004915	A -- B -- T -- C -- D	0.007457	0.001206	A -- C -- D	0.028547	0.002351	B	0.002862	0.000749	D	0.103182	0.004296	B -- T -- C	0.009500	0.001357	A -- B -- C -- D	0.006541	0.001129	T -- C -- D	0.006218	0.001098	B -- C	0.006600	0.001145	B -- C -- D	0.012970	0.001595	A -- T -- C	0.008800	0.001321	A -- B -- C	0.005306	0.001023	B -- D	0.002000	0.000632	B -- T -- D	0.002800	0.000747
1.0800	0.0965	0.0040	2.5793	0.8711	0.1289	T -- D	0.000645	0.000325	A -- T	0.001400	0.000529	A -- B -- D	0.000600	0.000346	A -- B	0.001000	0.000447	A	0.000608	0.000346	A -- B -- T -- C	0.007425	0.001211	B -- T	0.001400	0.000529	T	0.000600	0.000346	A -- B -- T -- D	0.002186	0.000658	A -- D	0.005117	0.001004	T -- C	0.003398	0.000791	A -- C	0.003600	0.000847	A -- B -- T	0.001600	0.000565	B -- T -- C -- D	0.015223	0.001725	A -- T -- C -- D	0.040600	0.002791	<nil>	0.025258	0.002217	A -- T -- D	0.008000	0.001260	C -- D	0.539739	0.007038	C	0.140346	0.004907	A -- B -- T -- C -- D	0.007295	0.001199	A -- C -- D	0.028397	0.002343	B	0.002800	0.000747	D	0.101791	0.004267	B -- T -- C	0.009102	0.001331	A -- B -- C -- D	0.006859	0.001152	T -- C -- D	0.006702	0.001136	B -- C	0.006600	0.001145	B -- C -- D	0.012694	0.001569	A -- T -- C	0.008800	0.001321	A -- B -- C	0.005400	0.001037	B -- D	0.002000	0.000632	B -- T -- D	0.002814	0.000747
1.0900	0.0950	0.0040	2.5574	0.8722	0.1278	A	0.000600	0.000346	A -- T	0.001400	0.000529	A -- B -- D	0.000600	0.000346	A -- B	0.001000	0.000447	A -- B -- T -- C	0.007101	0.001183	B -- T	0.001400	0.000529	T	0.000412	0.000283	A -- B -- T -- D	0.002072	0.000636	A -- D	0.004925	0.000985	T -- D	0.000345	0.000227	T -- C	0.003804	0.000855	A -- C	0.003492	0.000828	A -- B -- T	0.001600	0.000565	B -- T -- C -- D	0.014837	0.001699	A -- T -- C -- D	0.040551	0.002787	<nil>	0.025120	0.002209	A -- T -- D	0.007892	0.001245	C -- D	0.543795	0.007038	C	0.140123	0.004905	A -- B -- T -- C -- D	0.007202	0.001188	A -- C -- D	0.028275	0.002342	B	0.002775	0.000741	D	0.101030	0.004257	A -- B -- C -- D	0.006742	0.001150	T -- C -- D	0.006053	0.001067	B -- C	0.006600	0.001145	B -- C -- D	0.012399	0.001555	A -- T -- C	0.008800	0.001321	B -- T -- C	0.008597	0.001297	A -- B -- C	0.005508	0.001042	B -- D	0.002000	0.000632	B -- T -- D	0.002950	0.000762
1.1000	0.0931	0.0040	2.5400	0.8732	0.1268	A	0.000600	0.000346	A -- T	0.001400	0.000529	A -- B -- D	0.000600	0.000346	A -- B	0.001000	0.000447	B -- T -- D	0.002800	0.000747	A -- B -- T -- C	0.007033	0.001172	B -- T	0.001241	0.000491	T	0.000559	0.000325	A -- B -- T -- D	0.002340	0.000677	A -- D	0.004800	0.000978	A -- C	0.003400	0.000823	A -- B -- T	0.001600	0.000565	B -- T -- C -- D	0.014723	0.001694	A -- T -- C -- D	0.040866	0.002795	<nil>	0.024810	0.002192	A -- T -- D	0.007460	0.001214	C -- D	0.547342	0.007028	C	0.139245	0.004882	A -- B -- T -- C -- D	0.007107	0.001179	A -- C -- D	0.028339	0.002345	B	0.002471	0.000696	A -- B -- C -- D	0.006347	0.001114	D	0.100656	0.004250	T -- C	0.003998	0.000878	T -- C -- D	0.005305	0.001002	B -- C	0.006742	0.001146	B -- C -- D	0.012617	0.001571	A -- T -- C	0.008642	0.001304	B -- T -- C	0.008305	0.001271	A -- B -- C	0.005253	0.001011	B -- D	0.002000	0.000632	T -- D	0.000400	0.000283
1.1100	0.0919	0.0039	2.5231	0.8742	0.1258	A	0.000600	0.000346	A -- T	0.001268	0.000494	A -- B -- D	0.000600	0.000346	A -- B	0.001000	0.000447	B -- T -- D	0.002800	0.000747	A -- B -- T -- C	0.007198	0.001195	B -- T	0.001228	0.000490	T	0.000600	0.000346	A -- B -- T -- D	0.002229	0.000663	A -- D	0.004800	0.000978	A -- C	0.003400	0.000823	A -- B -- T	0.001743	0.000582	B -- T -- C -- D	0.014219	0.001662	A -- T -- C -- D	0.040684	0.002792	<nil>	0.024332	0.002175	A -- T -- D	0.007400	0.001212	C -- D	0.551517	0.007027	C	0.138009	0.004872	A -- B -- T -- C -- D	0.007107	0.001176	A -- C -- D	0.027775	0.002320	B	0.002400	0.000692	A -- B -- C -- D	0.006629	0.001140	D	0.100121	0.004239	T -- C	0.003566	0.000829	T -- C -- D	0.005835	0.001066	B -- C	0.006646	0.001146	B -- C -- D	0.012345	0.001559	A -- T -- C	0.008339	0.001282	B -- T -- C	0.008394	0.001290	A -- B -- C	0.004984	0.000995	B -- D	0.002000	0.000632	T -- D	0.000232	0.000202
1.1200	0.0908	0.0039	2.5107	0.8756	0.1244	A	0.000600	0.000346	A -- T	0.001200	0.000490	A -- B -- D	0.000600	0.000346	A -- B	0.001000	0.000447	B -- T -- D	0.002800	0.000747	A -- B -- T -- C	0.007240	0.001190	B -- T	0.001241	0.000491	T	0.000596	0.000326	A -- D	0.004800	0.000978	T -- D	0.000200	0.000200	A -- C	0.003400	0.000823	A -- T -- C -- D	0.040398	0.002784	<nil>	0.023810	0.002153	A -- B -- T -- D	0.002304	0.000671	A -- T -- D	0.007296	0.001200	C -- D	0.554098	0.007024	C	0.138130	0.004876	A -- B -- T -- C -- D	0.006824	0.001160	A -- C -- D	0.027332	0.002301	B	0.002400	0.000692	A -- B -- C -- D	0.006809	0.001149	D	0.099569	0.004232	A -- B -- T	0.001600	0.000565	B -- T -- C -- D	0.014231	0.001672	T -- C	0.003660	0.000843	T -- C -- D	0.005870	0.001066	B -- C	0.006610	0.001145	B -- C -- D	0.012262	0.001550	A -- T -- C	0.008214	0.001276	B -- T -- C	0.008090	0.001252	A -- B -- C	0.004816	0.000978	B -- D	0.002000	0.000632
1.1300	0.0905	0.0039	2.4972	0.8768	0.1232	A	0.000553	0.000322	A -- T	0.001200	0.000490	A -- B -- D	0.000600	0.000346	A -- B	0.001047	0.000449	B -- T -- D	0.002900	0.000754	A -- B -- T -- C	0.006682	0.001148	B -- T	0.001200	0.000490	T	0.000600	0.000346	A -- D	0.004800	0.000978	T -- D	0.000200	0.000200	A -- C	0.003400	0.000823	A -- B -- T	0.001600	0.000565	B -- T -- C -- D	0.014089	0.001657	A -- T -- C -- D	0.040096	0.002769	<nil>	0.023599	0.002142	A -- B -- T -- D	0.002300	0.000670	C -- D	0.557624	0.007013	C	0.137260	0.004860	A -- B -- T -- C -- D	0.007101	0.001181	A -- C -- D	0.026845	0.002283	B	0.002400	0.000692	A -- B -- C -- D	0.006734	0.001144	D	0.098908	0.004214	T -- C	0.004002	0.000883	T -- C -- D	0.005411	0.001014	A -- T -- D	0.007172	0.001191	B -- C	0.006250	0.001100	B -- C -- D	0.012090	0.001531	A -- T -- C	0.008136	0.001267	B -- T -- C	0.008316	0.001274	A -- B -- C	0.004888	0.000981	B -- D	0.002000	0.000632
1.1400	0.0885	0.0039	2.4793	0.8783	0.1217	A	0.000400	0.000283	A -- T	0.001200	0.000490	A -- B -- D	0.000600	0.000346	A -- B	0.001200	0.000490	B -- T -- D	0.002907	0.000754	A -- B -- T -- C	0.006280	0.001104	B -- T	0.001200	0.000490	T	0.000600	0.000346	A -- D	0.004612	0.000957	T -- D	0.000391	0.000277	A -- C	0.003400	0.000823	A -- B -- T	0.001749	0.000585	B -- T -- C -- D	0.013385	0.001617	A -- T -- C -- D	0.040289	0.002775	<nil>	0.022742	0.002102	A -- B -- T -- D	0.001923	0.000601	C -- D	0.561832	0.007012	C	0.136834	0.004854	A -- B -- T -- C -- D	0.007482	0.001214	A -- C -- D	0.026626	0.002274	B	0.002400	0.000692	A -- B -- C -- D	0.006468	0.001117	D	0.097817	0.004197	T -- C	0.004523	0.000934	A -- T -- D	0.007000	0.001179	B -- C	0.005843	0.001075	B -- C -- D	0.012129	0.001537	A -- T -- C	0.007659	0.001222	T -- C -- D	0.005682	0.001047	B -- T -- C	0.007997	0.001244	A -- B -- C	0.004829	0.000978	B -- D	0.002000	0.000632
1.1500	0.0873	0.0038	2.4632	0.8801	0.1199	A	0.000400	0.000283	A -- T	0.001200	0.000490	A -- B -- D	0.000600	0.000346	A -- B	0.001057	0.000451	B -- T -- D	0.002936	0.000753	A -- B -- T -- C	0.005787	0.001060	B -- T	0.001200	0.000490	T	0.000589	0.000340	A -- D	0.004567	0.000950	T -- D	0.000529	0.000311	A -- C	0.003400	0.000823	A -- B -- T	0.001800	0.000600	B -- T -- C -- D	0.012904	0.001585	A -- T -- C -- D	0.040372	0.002783	<nil>	0.022202	0.002083	A -- B -- T -- D	0.001550	0.000546	C -- D	0.565373	0.007000	C	0.135924	0.004834	A -- B -- T -- C -- D	0.007575	0.001219	A -- C -- D	0.026218	0.002258	B	0.002543	0.000706	A -- B -- C -- D	0.006196	0.001105	D	0.097484	0.004191	T -- C	0.004510	0.000923	A -- T -- D	0.006985	0.001177	B -- C	0.005860	0.001074	B -- C -- D	0.012283	0.001550	A -- T -- C	0.007380	0.001209	T -- C -- D	0.005836	0.001053	B -- T -- C	0.008089	0.001253	A -- B -- C	0.004778	0.000972	B -- D	0.001872	0.000604
1.1600	0.0854	0.0038	2.4451	0.8816	0.1184	A	0.000400	0.000283	A -- T	0.001200	0.000490	A -- B -- D	0.000600	0.000346	A -- B	0.000884	0.000409	B -- T -- D	0.002999	0.000773	A -- B -- T -- C	0.006000	0.001092	B -- T	0.001200	0.000490	T	0.000400	0.000283	B -- T -- C	0.007599	0.001218	A -- D	0.004200	0.000915	A -- C	0.003400	0.000823	A -- B -- T	0.001800	0.000600	B -- T -- C -- D	0.012636	0.001569	A -- T -- C -- D	0.040000	0.002772	<nil>	0.021776	0.002057	A -- B -- T -- D	0.001600	0.000565	C -- D	0.569007	0.006996	C	0.135351	0.004832	A -- B -- T -- C -- D	0.007355	0.001202	A -- C -- D	0.026400	0.002268	B	0.002716	0.000729	A -- B -- C -- D	0.005867	0.001071	D	0.096989	0.004179	T -- C	0.003970	0.000872	A -- T -- D	0.006800	0.001162	B -- C	0.006110	0.001095	B -- C -- D	0.012028	0.001532	A -- T -- C	0.007200	0.001196	T -- C -- D	0.006462	0.001124	A -- B -- C	0.004651	0.000946	B -- D	0.001800	0.000600	T -- D	0.000600	0.000346
1.1700	0.0844	0.0038	2.4284	0.8827	0.1173	A	0.000400	0.000283	A -- T	0.001200	0.000490	A -- B -- D	0.000532	0.000312	A -- B	0.000784	0.000392	B -- T -- D	0.002882	0.000752	A -- B -- T -- C	0.005843	0.001071	B -- T -- C	0.007029	0.001167	B -- T	0.001276	0.000496	T	0.000400	0.000283	A -- D	0.004200	0.000915	A -- C	0.003400	0.000823	A -- B -- T	0.001724	0.000579	B -- T -- C -- D	0.012554	0.001568	A -- T -- C -- D	0.040102	0.002770	<nil>	0.021595	0.002053	A -- B -- T -- D	0.001697	0.000570	C -- D	0.572826	0.006986	C	0.134589	0.004819	A -- B -- T -- C -- D	0.007163	0.001183	A -- C -- D	0.026235	0.002259	B	0.002454	0.000693	A -- B -- C -- D	0.005765	0.001068	D	0.095887	0.004158	A -- T -- D	0.006411	0.001120	B -- C	0.006221	0.001110	B -- C -- D	0.011349	0.001493	A -- T -- C	0.007200	0.001196	T -- C -- D	0.006971	0.001165	T -- C	0.004328	0.000918	A -- B -- C	0.004600	0.000957	B -- D	0.001868	0.000603	T -- D	0.000516	0.000306
1.1800	0.0837	0.0038	2.4121	0.8843	0.1157	A	0.000400	0.000283	A -- B	0.000600	0.000346	A -- T	0.001200	0.000490	A -- B -- D	0.000400	0.000283	B -- T -- D	0.003000	0.000774	A -- B -- T -- C	0.005416	0.001027	B -- T -- C	0.007184	0.001185	B -- T	0.001400	0.000529	T	0.000400	0.000283	A -- D	0.004175	0.000910	A -- C	0.003400	0.000823	A -- B -- T	0.001600	0.000565	B -- T -- C -- D	0.012580	0.001566	A -- T -- C -- D	0.040198	0.002775	<nil>	0.021573	0.002054	A -- B -- T -- D	0.001600	0.000565	C -- D	0.576530	0.006979	C	0.133290	0.004802	A -- B -- T -- C -- D	0.006812	0.001153	A -- C -- D	0.026225	0.002259	B	0.002600	0.000720	A -- B -- C -- D	0.005800	0.001074	D	0.094840	0.004140	A -- T -- D	0.006200	0.001110	B -- C	0.006008	0.001092	B -- C -- D	0.011050	0.001472	A -- T -- C	0.007098	0.001183	T -- C -- D	0.007211	0.001173	T -- C	0.004402	0.000932	A -- B -- C	0.004600	0.000957	B -- D	0.002000	0.000632	T -- D	0.000208	0.000200
