Time	TH	ErrorTH	H	HD=0	HD=1	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba
0.1000	0.5498	0.0072	4.8387	0.5897	0.4103	B -- C	0.031820	0.002460	A -- T -- C	0.024903	0.002191	A -- B -- D	0.017353	0.001831	A	0.019082	0.001933	A -- B -- C	0.027538	0.002293	T -- D	0.018614	0.001883	T	0.013477	0.001600	B	0.024622	0.002176	A -- B -- T	0.024557	0.002185	A -- B -- T -- D	0.019580	0.001946	<nil>	0.057697	0.003276	D	0.065272	0.003471	B -- D	0.029132	0.002353	T -- C -- D	0.022002	0.002031	A -- T	0.023096	0.002120	A -- D	0.024619	0.002187	B -- T -- C -- D	0.033500	0.002520	C	0.068229	0.003550	A -- B -- T -- C -- D	0.024420	0.002167	A -- B	0.025042	0.002201	B -- C -- D	0.033581	0.002529	B -- T -- C	0.027833	0.002315	T -- C	0.020396	0.001973	A -- C -- D	0.033814	0.002547	A -- T -- D	0.030443	0.002423	C -- D	0.093748	0.004106	B -- T -- D	0.024763	0.002178	A -- B -- C -- D	0.024330	0.002161	A -- T -- C -- D	0.037909	0.002689	B -- T	0.025026	0.002197	A -- C	0.026987	0.002288	A -- B -- T -- C	0.026614	0.002271
0.1100	0.5401	0.0072	4.8175	0.5951	0.4049	B -- C	0.031636	0.002462	A -- T -- C	0.025313	0.002212	A -- B -- D	0.016256	0.001778	B	0.023846	0.002135	A	0.018467	0.001895	A -- B -- C	0.027288	0.002300	T -- D	0.017491	0.001831	T	0.012081	0.001517	A -- B -- T	0.023962	0.002154	A -- B -- T -- D	0.018736	0.001899	A -- B -- T -- C -- D	0.023945	0.002157	C	0.070107	0.003598	<nil>	0.059658	0.003336	D	0.067861	0.003539	B -- D	0.028802	0.002346	B -- T -- C -- D	0.034414	0.002565	A -- B	0.024120	0.002155	B -- C -- D	0.034117	0.002551	T -- C	0.019858	0.001955	T -- C -- D	0.020732	0.001985	A -- T	0.022996	0.002114	A -- D	0.024332	0.002176	A -- C -- D	0.033832	0.002553	A -- T -- D	0.029982	0.002404	C -- D	0.097812	0.004183	B -- T -- D	0.024500	0.002169	A -- B -- C -- D	0.024013	0.002155	A -- T -- C -- D	0.038713	0.002724	B -- T	0.024374	0.002162	A -- C	0.026782	0.002282	B -- T -- C	0.027852	0.002313	A -- B -- T -- C	0.026125	0.002247
0.1200	0.5307	0.0072	4.7945	0.6025	0.3975	B -- C	0.031352	0.002443	A -- B -- D	0.014999	0.001704	A	0.017929	0.001873	A -- T -- C	0.025051	0.002205	B	0.023571	0.002121	A -- B -- C	0.026850	0.002267	T -- D	0.016430	0.001768	A -- B -- T -- D	0.018646	0.001908	T	0.011154	0.001438	A -- B -- T	0.023612	0.002137	A -- B -- T -- C -- D	0.023417	0.002127	C	0.072204	0.003643	<nil>	0.062441	0.003397	D	0.069966	0.003587	B -- D	0.028886	0.002346	B -- T -- C -- D	0.035055	0.002578	A -- B	0.022800	0.002095	B -- C -- D	0.035412	0.002596	T -- C	0.019538	0.001937	T -- C -- D	0.020064	0.001944	A -- T	0.022173	0.002069	A -- D	0.024494	0.002184	A -- C -- D	0.033584	0.002544	A -- T -- D	0.029625	0.002388	C -- D	0.102148	0.004261	B -- T -- D	0.023370	0.002115	A -- B -- C -- D	0.022829	0.002097	A -- T -- C -- D	0.039189	0.002735	B -- T	0.023107	0.002106	A -- C	0.026689	0.002274	B -- T -- C	0.027776	0.002311	A -- B -- T -- C	0.025641	0.002229
0.1300	0.5201	0.0072	4.7656	0.6081	0.3919	B -- C	0.031541	0.002461	A -- B -- D	0.013887	0.001651	A	0.017769	0.001867	A -- T -- C	0.025333	0.002214	B	0.023282	0.002119	A -- B -- C	0.026535	0.002252	T -- D	0.016030	0.001751	A -- B -- T -- D	0.018384	0.001883	T	0.009744	0.001371	A -- B -- T -- C -- D	0.022400	0.002076	<nil>	0.064675	0.003465	D	0.072877	0.003662	B -- D	0.028430	0.002337	B -- T -- C -- D	0.035453	0.002595	A -- B -- T	0.023512	0.002129	C	0.075577	0.003713	A -- C -- D	0.033409	0.002534	A -- B	0.021573	0.002043	B -- C -- D	0.034702	0.002573	T -- C	0.017038	0.001804	T -- C -- D	0.019244	0.001922	A -- T	0.021000	0.002015	A -- D	0.024505	0.002183	A -- T -- D	0.030038	0.002402	C -- D	0.107254	0.004359	B -- T -- D	0.022188	0.002066	A -- B -- C -- D	0.022461	0.002083	A -- T -- C -- D	0.039502	0.002750	B -- T	0.021798	0.002046	A -- C	0.026009	0.002240	B -- T -- C	0.028242	0.002327	A -- B -- T -- C	0.025606	0.002220
0.1400	0.5108	0.0072	4.7447	0.6134	0.3866	B -- C	0.031956	0.002481	A -- B -- D	0.013388	0.001617	A	0.017433	0.001847	A -- T -- C	0.025353	0.002222	B	0.022844	0.002097	A -- B -- C	0.027014	0.002282	T -- D	0.015238	0.001716	A -- B -- T -- D	0.017782	0.001858	T	0.009274	0.001342	A -- B -- T -- C -- D	0.022148	0.002068	<nil>	0.065656	0.003489	D	0.075176	0.003713	B -- D	0.027649	0.002298	B -- T -- C -- D	0.035407	0.002595	A -- B -- T	0.023266	0.002126	C	0.077054	0.003759	A -- C -- D	0.034310	0.002565	A -- B	0.019944	0.001963	B -- C -- D	0.034528	0.002561	T -- C	0.015512	0.001727	T -- C -- D	0.020120	0.001959	A -- T	0.020491	0.002001	A -- D	0.024374	0.002173	A -- T -- D	0.029848	0.002401	C -- D	0.111731	0.004443	A -- T -- C -- D	0.039715	0.002756	B -- T	0.021437	0.002039	B -- T -- D	0.021811	0.002061	A -- B -- C -- D	0.021571	0.002045	A -- C	0.024637	0.002187	B -- T -- C	0.028054	0.002323	A -- B -- T -- C	0.025276	0.002214
0.1500	0.5016	0.0072	4.7206	0.6187	0.3813	A -- B -- D	0.012342	0.001544	B -- C	0.032016	0.002468	A	0.017083	0.001830	A -- T -- C	0.025099	0.002206	B	0.022454	0.002073	A -- B -- C	0.026778	0.002263	T -- D	0.013628	0.001608	A -- B -- T -- D	0.017084	0.001822	T	0.008539	0.001263	A -- B -- T -- C -- D	0.021647	0.002047	<nil>	0.066423	0.003501	D	0.077856	0.003771	B -- D	0.027284	0.002284	B -- T -- C -- D	0.034521	0.002560	A -- B -- T	0.022945	0.002100	C	0.079383	0.003810	A -- C -- D	0.035018	0.002599	A -- B	0.018936	0.001911	B -- C -- D	0.034659	0.002578	T -- C	0.014871	0.001681	T -- C -- D	0.020119	0.001939	A -- T	0.020175	0.001982	A -- D	0.024112	0.002167	A -- T -- D	0.029580	0.002383	C -- D	0.116087	0.004512	A -- T -- C -- D	0.040271	0.002773	B -- T	0.021104	0.002009	B -- T -- D	0.022168	0.002067	A -- B -- C -- D	0.021194	0.002030	A -- C	0.024176	0.002171	B -- T -- C	0.027590	0.002300	A -- B -- T -- C	0.024857	0.002194
0.1600	0.4916	0.0072	4.6919	0.6252	0.3748	A -- B -- D	0.011682	0.001512	B -- C	0.032144	0.002478	A	0.016937	0.001822	A -- T -- C	0.025357	0.002215	B	0.021532	0.002042	A -- B -- C	0.026975	0.002273	T -- D	0.012857	0.001573	T	0.007777	0.001200	A -- B -- T -- C -- D	0.021050	0.002013	B -- C -- D	0.034144	0.002550	<nil>	0.067997	0.003546	A -- B -- T -- D	0.016360	0.001772	D	0.080517	0.003833	B -- D	0.026865	0.002275	B -- T -- C -- D	0.034275	0.002550	A -- B -- T	0.022424	0.002077	C	0.081526	0.003855	A -- C -- D	0.035461	0.002612	A -- B	0.017825	0.001861	T -- C	0.014278	0.001661	T -- C -- D	0.019238	0.001912	A -- T	0.019373	0.001935	A -- D	0.023914	0.002158	A -- T -- D	0.028878	0.002361	C -- D	0.121875	0.004607	A -- T -- C -- D	0.040525	0.002786	B -- T	0.021186	0.002015	B -- T -- D	0.021796	0.002044	A -- B -- C -- D	0.020066	0.001971	A -- C	0.023065	0.002114	B -- T -- C	0.027187	0.002292	A -- B -- T -- C	0.024911	0.002197
0.1700	0.4799	0.0071	4.6643	0.6311	0.3689	A -- B -- D	0.011173	0.001479	B -- C	0.031933	0.002467	A	0.015959	0.001760	A -- T -- C	0.025082	0.002205	B	0.020514	0.001992	A -- B -- C	0.026921	0.002273	T -- D	0.012584	0.001556	T	0.007248	0.001162	A -- B -- T -- C -- D	0.019889	0.001950	B -- C -- D	0.033969	0.002551	<nil>	0.068332	0.003549	A -- B -- T -- D	0.015487	0.001733	D	0.083514	0.003886	B -- D	0.025646	0.002212	B -- T -- C -- D	0.033992	0.002544	A -- B -- T	0.022550	0.002087	C	0.083139	0.003886	A -- C -- D	0.035548	0.002615	A -- B	0.017577	0.001846	T -- C	0.014147	0.001639	T -- C -- D	0.018250	0.001845	A -- T	0.018214	0.001880	A -- D	0.023875	0.002154	C -- D	0.128115	0.004702	A -- T -- D	0.028095	0.002327	A -- T -- C -- D	0.040886	0.002793	B -- T	0.020300	0.001971	B -- T -- D	0.022016	0.002062	A -- B -- C -- D	0.019670	0.001955	A -- C	0.022942	0.002112	B -- T -- C	0.027409	0.002283	A -- B -- T -- C	0.025026	0.002183
0.1800	0.4704	0.0071	4.6402	0.6371	0.3629	A -- B -- D	0.010988	0.001465	B -- C	0.031856	0.002473	A	0.014818	0.001701	A -- T -- C	0.024985	0.002205	T	0.007238	0.001181	B	0.020173	0.001972	T -- D	0.012314	0.001534	A -- B -- T -- C -- D	0.019102	0.001928	B -- C -- D	0.033943	0.002549	B -- T	0.019714	0.001958	<nil>	0.068471	0.003557	A -- B -- T -- D	0.014546	0.001684	D	0.085465	0.003939	C -- D	0.132686	0.004786	B -- D	0.024370	0.002173	B -- T -- C -- D	0.034006	0.002552	A -- B -- T	0.021731	0.002055	C	0.085867	0.003950	A -- B	0.017038	0.001817	T -- C	0.012898	0.001562	T -- C -- D	0.017880	0.001848	A -- T	0.017688	0.001861	A -- D	0.024124	0.002164	A -- B -- C	0.027602	0.002301	A -- C -- D	0.035400	0.002614	A -- T -- D	0.027826	0.002319	A -- T -- C -- D	0.040890	0.002798	B -- T -- D	0.022331	0.002071	A -- B -- C -- D	0.018977	0.001923	A -- C	0.022493	0.002089	B -- T -- C	0.027918	0.002312	A -- B -- T -- C	0.024662	0.002174
0.1900	0.4609	0.0071	4.6141	0.6424	0.3576	B	0.019731	0.001951	A -- B -- D	0.010749	0.001451	B -- C	0.032005	0.002463	A	0.014516	0.001689	B -- T -- D	0.021390	0.002029	A -- T -- C	0.024869	0.002192	T	0.006499	0.001119	T -- D	0.012012	0.001505	A -- B -- T -- C -- D	0.018363	0.001890	B -- C -- D	0.033623	0.002530	A -- B -- C	0.028257	0.002327	<nil>	0.068255	0.003554	A -- B -- T -- D	0.014700	0.001691	D	0.088326	0.003996	C -- D	0.136969	0.004844	B -- D	0.023645	0.002127	B -- T -- C -- D	0.034345	0.002559	A -- B -- T	0.020902	0.002014	C	0.088466	0.003994	A -- B	0.015926	0.001760	T -- C	0.012018	0.001520	A -- D	0.023744	0.002149	A -- C -- D	0.035538	0.002613	A -- T -- D	0.027328	0.002295	A -- T -- C -- D	0.041277	0.002802	B -- T	0.019701	0.001954	A -- B -- C -- D	0.018451	0.001894	A -- C	0.021634	0.002046	A -- T	0.017073	0.001823	T -- C -- D	0.017071	0.001796	B -- T -- C	0.028349	0.002322	A -- B -- T -- C	0.024269	0.002160
