Time	TH	ErrTH	H	Prob[<nil>]	ErrProb[<nil>]	Prob[C]	ErrProb[C]	Prob[A--C]	ErrProb[A--C]	Prob[A--B--C]	ErrProb[A--B--C]	Prob[B--C]	ErrProb[B--C]	
1.8900	0.0021	0.0004	0.4117	0.943497	0.003261	0.004771	0.000951	0.028024	0.002330	0.009776	0.001385	0.013933	0.001644	
1.9000	0.0020	0.0004	0.4068	0.944238	0.003242	0.004513	0.000932	0.028000	0.002333	0.009800	0.001393	0.013449	0.001627	
1.9100	0.0018	0.0004	0.4033	0.944689	0.003229	0.004159	0.000892	0.028000	0.002333	0.009638	0.001380	0.013515	0.001629	
1.9200	0.0018	0.0004	0.4011	0.945106	0.003220	0.004119	0.000883	0.027758	0.002318	0.009842	0.001388	0.013176	0.001604	
1.9300	0.0021	0.0004	0.4007	0.945400	0.003213	0.004667	0.000959	0.027292	0.002302	0.010161	0.001409	0.012481	0.001562	
1.9400	0.0021	0.0004	0.3994	0.945669	0.003202	0.004876	0.000962	0.027200	0.002301	0.010000	0.001407	0.012255	0.001550	
1.9500	0.0021	0.0004	0.3970	0.946099	0.003192	0.004813	0.000969	0.026790	0.002278	0.009977	0.001390	0.012321	0.001552	
1.9600	0.0021	0.0004	0.3965	0.946276	0.003187	0.004855	0.000969	0.026430	0.002266	0.010160	0.001413	0.012279	0.001550	
1.9700	0.0022	0.0004	0.3932	0.946912	0.003169	0.005026	0.000988	0.025979	0.002247	0.010418	0.001432	0.011664	0.001515	
1.9800	0.0023	0.0004	0.3928	0.947080	0.003165	0.005342	0.001011	0.025775	0.002240	0.010490	0.001436	0.011314	0.001482	
1.9900	0.0020	0.0004	0.3847	0.948185	0.003127	0.004576	0.000924	0.025800	0.002242	0.010060	0.001408	0.011379	0.001495	
2.0000	0.0021	0.0004	0.3815	0.948749	0.003117	0.004670	0.000930	0.025578	0.002228	0.010108	0.001403	0.010896	0.001449	
2.0100	0.0022	0.0004	0.3789	0.949289	0.003100	0.005091	0.000994	0.025198	0.002217	0.010379	0.001432	0.010043	0.001408	
2.0200	0.0021	0.0004	0.3753	0.949894	0.003082	0.004822	0.000960	0.024711	0.002190	0.010554	0.001434	0.010019	0.001401	
2.0300	0.0021	0.0004	0.3734	0.950234	0.003075	0.004665	0.000954	0.024290	0.002174	0.010751	0.001453	0.010060	0.001406	
2.0400	0.0020	0.0004	0.3705	0.950731	0.003056	0.004477	0.000919	0.023879	0.002157	0.010886	0.001461	0.010027	0.001400	
2.0500	0.0019	0.0004	0.3681	0.951066	0.003050	0.004398	0.000918	0.023985	0.002163	0.010362	0.001423	0.010188	0.001403	
2.0600	0.0020	0.0004	0.3653	0.951473	0.003035	0.004474	0.000917	0.024159	0.002170	0.009801	0.001383	0.010092	0.001399	
2.0700	0.0019	0.0004	0.3616	0.951990	0.003023	0.004289	0.000914	0.024200	0.002173	0.009400	0.001365	0.010121	0.001410	
2.0800	0.0020	0.0004	0.3603	0.952232	0.003014	0.004538	0.000932	0.024200	0.002173	0.009400	0.001365	0.009630	0.001373	
2.0900	0.0019	0.0004	0.3578	0.952607	0.003002	0.004393	0.000925	0.024111	0.002167	0.009311	0.001348	0.009578	0.001371	
2.1000	0.0019	0.0004	0.3570	0.952800	0.002999	0.004405	0.000932	0.023715	0.002147	0.009355	0.001347	0.009726	0.001378	
2.1100	0.0019	0.0004	0.3548	0.953198	0.002981	0.004281	0.000890	0.023311	0.002132	0.009538	0.001372	0.009673	0.001376	
2.1200	0.0017	0.0004	0.3499	0.953862	0.002964	0.003853	0.000862	0.023285	0.002131	0.009407	0.001358	0.009593	0.001371	
2.1300	0.0016	0.0004	0.3469	0.954283	0.002952	0.003634	0.000823	0.023200	0.002128	0.009512	0.001368	0.009371	0.001348	
2.1400	0.0018	0.0004	0.3468	0.954400	0.002951	0.004109	0.000898	0.023079	0.002121	0.009244	0.001347	0.009168	0.001340	
2.1500	0.0019	0.0004	0.3470	0.954482	0.002946	0.004430	0.000924	0.022783	0.002104	0.009111	0.001329	0.009194	0.001338	
2.1600	0.0019	0.0004	0.3438	0.955050	0.002926	0.004333	0.000907	0.022246	0.002081	0.009295	0.001344	0.009076	0.001329	
2.1700	0.0018	0.0004	0.3408	0.955571	0.002912	0.004029	0.000888	0.021561	0.002053	0.009839	0.001394	0.009000	0.001336	
2.1800	0.0017	0.0004	0.3384	0.955937	0.002901	0.003880	0.000869	0.021369	0.002044	0.010031	0.001408	0.008783	0.001316	
2.1900	0.0017	0.0004	0.3368	0.956181	0.002894	0.003884	0.000870	0.021316	0.002040	0.009906	0.001396	0.008713	0.001308	
2.2000	0.0016	0.0004	0.3332	0.956660	0.002875	0.003530	0.000812	0.021237	0.002035	0.009909	0.001391	0.008663	0.001300	
2.2100	0.0015	0.0004	0.3303	0.957220	0.002861	0.003485	0.000823	0.020494	0.001994	0.010079	0.001393	0.008722	0.001303	
2.2200	0.0015	0.0004	0.3275	0.957735	0.002842	0.003340	0.000797	0.019676	0.001960	0.010640	0.001449	0.008609	0.001299	
2.2300	0.0014	0.0004	0.3257	0.958034	0.002835	0.003289	0.000800	0.019408	0.001951	0.010465	0.001436	0.008803	0.001314	
2.2400	0.0013	0.0003	0.3241	0.958200	0.002831	0.003030	0.000774	0.019600	0.001961	0.010126	0.001410	0.009044	0.001330	
2.2500	0.0016	0.0004	0.3236	0.958398	0.002821	0.003606	0.000815	0.019600	0.001961	0.009143	0.001337	0.009254	0.001331	
2.2600	0.0019	0.0004	0.3230	0.958614	0.002817	0.004309	0.000918	0.019600	0.001961	0.008682	0.001308	0.008795	0.001311	
2.2700	0.0016	0.0004	0.3155	0.959649	0.002777	0.003660	0.000826	0.019436	0.001951	0.008630	0.001303	0.008625	0.001301	
2.2800	0.0014	0.0003	0.3093	0.960479	0.002749	0.003242	0.000774	0.019400	0.001951	0.008600	0.001306	0.008278	0.001277	
2.2900	0.0013	0.0003	0.3067	0.960829	0.002743	0.003050	0.000757	0.019362	0.001945	0.008495	0.001288	0.008264	0.001266	
2.3000	0.0014	0.0003	0.3053	0.961057	0.002735	0.003244	0.000785	0.019400	0.001951	0.008161	0.001265	0.008138	0.001254	
2.3100	0.0014	0.0003	0.3019	0.961543	0.002715	0.003178	0.000770	0.019400	0.001951	0.007975	0.001256	0.007904	0.001244	
2.3200	0.0015	0.0004	0.3005	0.961800	0.002711	0.003400	0.000823	0.019285	0.001943	0.007508	0.001212	0.008007	0.001256	
2.3300	0.0015	0.0004	0.3012	0.961800	0.002711	0.003506	0.000830	0.018901	0.001922	0.007699	0.001230	0.008094	0.001263	
2.3400	0.0016	0.0004	0.2997	0.962045	0.002700	0.003646	0.000836	0.018800	0.001921	0.007273	0.001197	0.008235	0.001267	
2.3500	0.0017	0.0004	0.2986	0.962218	0.002696	0.003759	0.000861	0.018800	0.001921	0.007130	0.001186	0.008093	0.001262	
2.3600	0.0016	0.0004	0.2972	0.962439	0.002688	0.003605	0.000840	0.018584	0.001905	0.007121	0.001177	0.008252	0.001273	
2.3700	0.0016	0.0004	0.2950	0.962798	0.002677	0.003637	0.000848	0.018361	0.001897	0.007090	0.001181	0.008114	0.001264	
2.3800	0.0016	0.0004	0.2940	0.963003	0.002665	0.003671	0.000834	0.018025	0.001881	0.007230	0.001189	0.008071	0.001255	
2.3900	0.0014	0.0003	0.2893	0.963609	0.002646	0.003285	0.000788	0.017979	0.001874	0.006728	0.001143	0.008398	0.001276	
2.4000	0.0014	0.0003	0.2860	0.964026	0.002631	0.003167	0.000782	0.018184	0.001889	0.006600	0.001145	0.008023	0.001260	
2.4100	0.0011	0.0003	0.2811	0.964610	0.002610	0.002590	0.000707	0.018200	0.001891	0.006467	0.001130	0.008133	0.001267	
2.4200	0.0012	0.0003	0.2789	0.964915	0.002600	0.002627	0.000693	0.018200	0.001891	0.006044	0.001085	0.008213	0.001254	
2.4300	0.0013	0.0003	0.2787	0.965000	0.002599	0.003000	0.000774	0.018200	0.001891	0.005592	0.001048	0.008208	0.001270	
2.4400	0.0014	0.0003	0.2772	0.965207	0.002588	0.003117	0.000773	0.018200	0.001891	0.005200	0.001017	0.008277	0.001274	
2.4500	0.0013	0.0003	0.2732	0.965802	0.002566	0.002984	0.000756	0.018022	0.001880	0.005378	0.001033	0.007814	0.001244	
2.4600	0.0011	0.0003	0.2691	0.966318	0.002549	0.002573	0.000698	0.017926	0.001874	0.005474	0.001039	0.007709	0.001231	
2.4700	0.0012	0.0003	0.2693	0.966400	0.002549	0.002800	0.000747	0.017688	0.001862	0.005712	0.001061	0.007400	0.001212	
2.4800	0.0012	0.0003	0.2692	0.966422	0.002547	0.002778	0.000742	0.017593	0.001859	0.005541	0.001041	0.007666	0.001226	
2.4900	0.0011	0.0003	0.2667	0.966822	0.002529	0.002491	0.000684	0.017057	0.001825	0.005931	0.001074	0.007700	0.001231	
2.5000	0.0010	0.0003	0.2645	0.967142	0.002520	0.002317	0.000666	0.016800	0.001818	0.005943	0.001083	0.007798	0.001236	
2.5100	0.0011	0.0003	0.2636	0.967342	0.002512	0.002587	0.000702	0.016653	0.001808	0.005583	0.001047	0.007835	0.001239	
2.5200	0.0012	0.0003	0.2622	0.967617	0.002502	0.002682	0.000720	0.016367	0.001790	0.005707	0.001053	0.007627	0.001223	
2.5300	0.0013	0.0003	0.2617	0.967818	0.002495	0.003022	0.000757	0.016006	0.001775	0.005994	0.001091	0.007160	0.001181	
2.5400	0.0015	0.0004	0.2603	0.968088	0.002484	0.003458	0.000819	0.015944	0.001769	0.006034	0.001090	0.006477	0.001129	
2.5500	0.0015	0.0004	0.2593	0.968239	0.002479	0.003361	0.000815	0.015800	0.001764	0.005815	0.001074	0.006785	0.001160	
2.5600	0.0014	0.0003	0.2568	0.968580	0.002467	0.003272	0.000794	0.015736	0.001758	0.005531	0.001032	0.006880	0.001150	
2.5700	0.0014	0.0004	0.2556	0.968797	0.002459	0.003203	0.000799	0.015366	0.001734	0.005634	0.001050	0.007000	0.001179	
2.5800	0.0014	0.0004	0.2561	0.968800	0.002459	0.003225	0.000799	0.014988	0.001717	0.006012	0.001091	0.006975	0.001175	
2.5900	0.0014	0.0003	0.2542	0.969078	0.002443	0.003122	0.000771	0.014800	0.001708	0.005977	0.001081	0.007023	0.001173	
2.6000	0.0012	0.0003	0.2511	0.969462	0.002432	0.002738	0.000733	0.014732	0.001701	0.005866	0.001076	0.007202	0.001196	
2.6100	0.0010	0.0003	0.2473	0.969920	0.002413	0.002280	0.000666	0.014554	0.001692	0.005846	0.001075	0.007400	0.001212	
2.6200	0.0010	0.0003	0.2468	0.970000	0.002413	0.002261	0.000665	0.014440	0.001682	0.005856	0.001075	0.007443	0.001210	
2.6300	0.0011	0.0003	0.2474	0.970000	0.002413	0.002567	0.000702	0.014400	0.001685	0.006000	0.001092	0.007033	0.001174	
2.6400	0.0013	0.0003	0.2471	0.970097	0.002407	0.002845	0.000741	0.014400	0.001685	0.006000	0.001092	0.006658	0.001147	
2.6500	0.0013	0.0003	0.2465	0.970256	0.002401	0.003024	0.000761	0.014093	0.001664	0.006220	0.001102	0.006408	0.001117	
2.6600	0.0013	0.0003	0.2432	0.970712	0.002382	0.002938	0.000744	0.014000	0.001662	0.006168	0.001105	0.006182	0.001098	
2.6700	0.0013	0.0003	0.2389	0.971288	0.002359	0.002915	0.000734	0.014051	0.001660	0.006123	0.001099	0.005624	0.001046	
2.6800	0.0012	0.0003	0.2363	0.971633	0.002346	0.002767	0.000737	0.013914	0.001654	0.006286	0.001113	0.005400	0.001037	
2.6900	0.0012	0.0003	0.2341	0.971960	0.002331	0.002777	0.000721	0.013800	0.001650	0.006141	0.001097	0.005323	0.001013	
2.7000	0.0012	0.0003	0.2316	0.972298	0.002319	0.002702	0.000727	0.013702	0.001641	0.005973	0.001081	0.005326	0.001025	
2.7100	0.0011	0.0003	0.2296	0.972576	0.002309	0.002586	0.000711	0.013571	0.001635	0.005852	0.001075	0.005415	0.001033	
2.7200	0.0012	0.0003	0.2296	0.972620	0.002307	0.002646	0.000718	0.013400	0.001626	0.005918	0.001080	0.005417	0.001028	
2.7300	0.0011	0.0003	0.2281	0.972800	0.002301	0.002600	0.000720	0.013400	0.001626	0.005256	0.001018	0.005944	0.001083	
2.7400	0.0011	0.0003	0.2278	0.972800	0.002301	0.002419	0.000692	0.013495	0.001627	0.005258	0.001015	0.006029	0.001093	
2.7500	0.0010	0.0003	0.2260	0.973068	0.002285	0.002319	0.000661	0.013200	0.001614	0.005265	0.001019	0.006148	0.001100	
2.7600	0.0010	0.0003	0.2234	0.973400	0.002276	0.002232	0.000653	0.013200	0.001614	0.004877	0.000980	0.006291	0.001105	
2.7700	0.0011	0.0003	0.2224	0.973588	0.002264	0.002454	0.000681	0.013084	0.001604	0.004839	0.000972	0.006035	0.001088	
2.7800	0.0014	0.0003	0.2215	0.973818	0.002258	0.003132	0.000767	0.013000	0.001602	0.004800	0.000978	0.005250	0.001006	
2.7900	0.0014	0.0003	0.2181	0.974296	0.002233	0.003095	0.000770	0.012856	0.001591	0.004754	0.000968	0.004999	0.000996	
2.8000	0.0012	0.0003	0.2138	0.974827	0.002213	0.002757	0.000720	0.012800	0.001590	0.004800	0.000978	0.004817	0.000969	
2.8100	0.0012	0.0003	0.2118	0.975090	0.002202	0.002802	0.000734	0.012800	0.001590	0.004429	0.000936	0.004878	0.000978	
2.8200	0.0012	0.0003	0.2100	0.975328	0.002192	0.002672	0.000724	0.012753	0.001585	0.004447	0.000937	0.004800	0.000978	
2.8300	0.0012	0.0003	0.2089	0.975524	0.002183	0.002670	0.000723	0.012445	0.001566	0.004487	0.000933	0.004873	0.000977	
2.8400	0.0011	0.0003	0.2067	0.975800	0.002169	0.002515	0.000688	0.012400	0.001565	0.004266	0.000917	0.005019	0.000990	
2.8500	0.0011	0.0003	0.2054	0.976000	0.002165	0.002551	0.000701	0.012227	0.001553	0.004334	0.000923	0.004889	0.000974	
2.8600	0.0012	0.0003	0.2042	0.976185	0.002156	0.002815	0.000747	0.012200	0.001553	0.004200	0.000915	0.004600	0.000957	
2.8700	0.0013	0.0003	0.2038	0.976301	0.002149	0.002929	0.000746	0.011956	0.001532	0.004444	0.000933	0.004370	0.000923	
2.8800	0.0013	0.0003	0.2016	0.976598	0.002134	0.002947	0.000743	0.011884	0.001529	0.004410	0.000928	0.004161	0.000894	
2.8900	0.0011	0.0003	0.1966	0.977196	0.002106	0.002404	0.000675	0.011817	0.001527	0.004189	0.000911	0.004394	0.000935	
2.9000	0.0010	0.0003	0.1948	0.977400	0.002102	0.002200	0.000663	0.011800	0.001527	0.004200	0.000915	0.004400	0.000936	
2.9100	0.0009	0.0003	0.1931	0.977602	0.002091	0.001998	0.000626	0.011788	0.001526	0.004099	0.000897	0.004513	0.000943	
2.9200	0.0007	0.0002	0.1897	0.977999	0.002075	0.001601	0.000565	0.011600	0.001514	0.004094	0.000898	0.004706	0.000963	
2.9300	0.0007	0.0002	0.1896	0.978000	0.002075	0.001592	0.000550	0.011657	0.001515	0.004000	0.000893	0.004751	0.000969	
2.9400	0.0007	0.0002	0.1881	0.978191	0.002064	0.001554	0.000543	0.011656	0.001515	0.004049	0.000888	0.004549	0.000942	
2.9500	0.0007	0.0002	0.1859	0.978536	0.002048	0.001615	0.000546	0.011323	0.001491	0.004277	0.000915	0.004249	0.000911	
2.9600	0.0008	0.0003	0.1861	0.978600	0.002047	0.001859	0.000602	0.011073	0.001475	0.004527	0.000942	0.003941	0.000881	
2.9700	0.0009	0.0003	0.1861	0.978647	0.002043	0.001953	0.000619	0.010800	0.001462	0.004800	0.000978	0.003800	0.000870	
2.9800	0.0007	0.0003	0.1839	0.978899	0.002030	0.001701	0.000574	0.010751	0.001456	0.004849	0.000979	0.003800	0.000870	
2.9900	0.0007	0.0002	0.1827	0.979052	0.002024	0.001548	0.000549	0.010600	0.001448	0.004776	0.000966	0.004024	0.000886	
3.0000	0.0006	0.0002	0.1801	0.979366	0.002009	0.001324	0.000499	0.010427	0.001435	0.004773	0.000972	0.004110	0.000899	
3.0100	0.0007	0.0002	0.1796	0.979493	0.002002	0.001501	0.000537	0.010265	0.001420	0.004821	0.000966	0.003920	0.000878	
3.0200	0.0007	0.0002	0.1784	0.979681	0.001993	0.001500	0.000522	0.010000	0.001407	0.005000	0.000998	0.003819	0.000862	
3.0300	0.0007	0.0002	0.1776	0.979800	0.001990	0.001600	0.000565	0.010000	0.001407	0.004941	0.000988	0.003659	0.000849	
3.0400	0.0007	0.0002	0.1777	0.979800	0.001990	0.001600	0.000565	0.010000	0.001407	0.004800	0.000978	0.003800	0.000870	
3.0500	0.0007	0.0002	0.1777	0.979800	0.001990	0.001600	0.000565	0.010000	0.001407	0.004632	0.000958	0.003968	0.000886	
3.0600	0.0007	0.0002	0.1778	0.979800	0.001990	0.001600	0.000565	0.010000	0.001407	0.004397	0.000932	0.004203	0.000911	
3.0700	0.0007	0.0002	0.1770	0.979901	0.001982	0.001499	0.000538	0.009846	0.001394	0.004220	0.000908	0.004535	0.000946	
3.0800	0.0006	0.0002	0.1763	0.980000	0.001980	0.001400	0.000529	0.009621	0.001379	0.004379	0.000932	0.004600	0.000957	
3.0900	0.0007	0.0002	0.1753	0.980173	0.001970	0.001622	0.000546	0.009600	0.001379	0.004394	0.000935	0.004211	0.000904	
3.1000	0.0009	0.0003	0.1756	0.980200	0.001970	0.001975	0.000624	0.009600	0.001379	0.004132	0.000902	0.004094	0.000896	
3.1100	0.0009	0.0003	0.1746	0.980322	0.001962	0.001952	0.000608	0.009600	0.001379	0.004000	0.000893	0.004126	0.000900	
3.1200	0.0010	0.0003	0.1741	0.980418	0.001959	0.002182	0.000657	0.009556	0.001373	0.004044	0.000894	0.003800	0.000870	
3.1300	0.0010	0.0003	0.1730	0.980600	0.001951	0.002188	0.000659	0.009249	0.001348	0.004351	0.000922	0.003612	0.000847	
3.1400	0.0010	0.0003	0.1728	0.980660	0.001946	0.002211	0.000651	0.008980	0.001333	0.004620	0.000957	0.003528	0.000833	
3.1500	0.0011	0.0003	0.1719	0.980800	0.001941	0.002481	0.000695	0.008800	0.001321	0.004800	0.000978	0.003119	0.000781	
3.1600	0.0011	0.0003	0.1701	0.981038	0.001924	0.002470	0.000681	0.008630	0.001306	0.004892	0.000979	0.002970	0.000757	
3.1700	0.0010	0.0003	0.1669	0.981434	0.001908	0.002166	0.000653	0.008566	0.001301	0.004834	0.000978	0.003000	0.000774	
3.1800	0.0008	0.0003	0.1637	0.981825	0.001888	0.001775	0.000592	0.008154	0.001266	0.005246	0.001014	0.003000	0.000774	
3.1900	0.0007	0.0002	0.1621	0.982000	0.001880	0.001600	0.000565	0.008000	0.001260	0.005400	0.001037	0.003000	0.000774	
3.2000	0.0006	0.0002	0.1598	0.982261	0.001863	0.001339	0.000504	0.008000	0.001260	0.005239	0.001012	0.003161	0.000782	
3.2100	0.0006	0.0002	0.1590	0.982400	0.001860	0.001338	0.000509	0.008000	0.001260	0.004759	0.000966	0.003503	0.000822	
3.2200	0.0006	0.0002	0.1592	0.982400	0.001860	0.001400	0.000529	0.008000	0.001260	0.004063	0.000895	0.004137	0.000903	
3.2300	0.0007	0.0002	0.1595	0.982400	0.001860	0.001640	0.000555	0.008000	0.001260	0.004000	0.000893	0.003960	0.000877	
3.2400	0.0007	0.0002	0.1571	0.982677	0.001839	0.001576	0.000530	0.008089	0.001261	0.004053	0.000894	0.003606	0.000847	
3.2500	0.0005	0.0002	0.1529	0.983151	0.001818	0.001243	0.000490	0.007998	0.001260	0.004202	0.000915	0.003405	0.000823	
3.2600	0.0005	0.0002	0.1515	0.983333	0.001806	0.001067	0.000443	0.007673	0.001230	0.004350	0.000924	0.003577	0.000842	
3.2700	0.0004	0.0002	0.1489	0.983600	0.001796	0.000800	0.000400	0.007600	0.001228	0.004251	0.000916	0.003749	0.000860	
3.2800	0.0003	0.0001	0.1473	0.983750	0.001783	0.000650	0.000334	0.007600	0.001228	0.004200	0.000915	0.003800	0.000870	
3.2900	0.0002	0.0001	0.1446	0.984000	0.001775	0.000400	0.000283	0.007600	0.001228	0.003931	0.000879	0.004069	0.000894	
3.3000	0.0002	0.0001	0.1447	0.984000	0.001775	0.000441	0.000286	0.007600	0.001228	0.003619	0.000847	0.004340	0.000924	
3.3100	0.0002	0.0001	0.1447	0.984050	0.001770	0.000550	0.000320	0.007600	0.001228	0.003600	0.000847	0.004200	0.000915	
3.3200	0.0002	0.0001	0.1433	0.984200	0.001764	0.000444	0.000286	0.007404	0.001212	0.003701	0.000853	0.004252	0.000911	
3.3300	0.0004	0.0002	0.1445	0.984200	0.001764	0.000893	0.000407	0.007400	0.001212	0.003595	0.000846	0.003911	0.000875	
3.3400	0.0004	0.0002	0.1437	0.984335	0.001753	0.000936	0.000408	0.007253	0.001197	0.003495	0.000825	0.003981	0.000881	
3.3500	0.0003	0.0002	0.1413	0.984600	0.001742	0.000765	0.000384	0.007103	0.001182	0.003471	0.000821	0.004061	0.000895	
3.3600	0.0002	0.0001	0.1400	0.984670	0.001735	0.000530	0.000311	0.007200	0.001196	0.003325	0.000808	0.004275	0.000918	
3.3700	0.0002	0.0001	0.1384	0.984800	0.001730	0.000400	0.000283	0.007185	0.001193	0.003044	0.000774	0.004571	0.000951	
3.3800	0.0002	0.0001	0.1391	0.984800	0.001730	0.000491	0.000297	0.006803	0.001162	0.003397	0.000823	0.004509	0.000942	
3.3900	0.0002	0.0001	0.1387	0.984874	0.001724	0.000526	0.000310	0.006800	0.001162	0.003350	0.000813	0.004450	0.000937	
3.4000	0.0002	0.0001	0.1371	0.985000	0.001719	0.000400	0.000283	0.006800	0.001162	0.003020	0.000774	0.004780	0.000974	
3.4100	0.0002	0.0001	0.1369	0.985000	0.001719	0.000400	0.000283	0.006800	0.001162	0.002820	0.000748	0.004980	0.000994	
3.4200	0.0002	0.0001	0.1375	0.985000	0.001719	0.000552	0.000303	0.006654	0.001146	0.002763	0.000735	0.005030	0.000990	
3.4300	0.0004	0.0002	0.1381	0.985000	0.001719	0.000800	0.000400	0.006600	0.001145	0.002613	0.000720	0.004987	0.000995	
3.4400	0.0003	0.0002	0.1371	0.985109	0.001710	0.000691	0.000358	0.006492	0.001131	0.002708	0.000728	0.005000	0.000998	
3.4500	0.0003	0.0001	0.1361	0.985200	0.001708	0.000606	0.000320	0.006474	0.001130	0.002641	0.000721	0.005079	0.001001	
3.4600	0.0002	0.0001	0.1355	0.985274	0.001701	0.000526	0.000310	0.006375	0.001118	0.002825	0.000739	0.005000	0.000998	
3.4700	0.0003	0.0001	0.1350	0.985400	0.001696	0.000588	0.000339	0.006051	0.001093	0.003149	0.000788	0.004812	0.000978	
3.4800	0.0002	0.0001	0.1336	0.985579	0.001685	0.000544	0.000309	0.006000	0.001092	0.003200	0.000799	0.004677	0.000960	
3.4900	0.0003	0.0002	0.1327	0.985760	0.001674	0.000724	0.000361	0.006000	0.001092	0.003200	0.000799	0.004316	0.000920	
3.5000	0.0004	0.0002	0.1328	0.985800	0.001673	0.000907	0.000414	0.006000	0.001092	0.003200	0.000799	0.004093	0.000897	
3.5100	0.0004	0.0002	0.1324	0.985853	0.001668	0.000947	0.000426	0.006000	0.001092	0.003200	0.000799	0.004000	0.000893	
3.5200	0.0004	0.0002	0.1311	0.986000	0.001662	0.000860	0.000404	0.006000	0.001092	0.003200	0.000799	0.003940	0.000881	
3.5300	0.0004	0.0002	0.1307	0.986063	0.001655	0.000937	0.000423	0.006000	0.001092	0.003169	0.000792	0.003831	0.000871	
3.5400	0.0005	0.0002	0.1298	0.986200	0.001650	0.001041	0.000437	0.006000	0.001092	0.002953	0.000763	0.003806	0.000857	
3.5500	0.0005	0.0002	0.1299	0.986200	0.001650	0.001200	0.000490	0.006000	0.001092	0.002631	0.000717	0.003969	0.000883	
3.5600	0.0005	0.0002	0.1260	0.986648	0.001617	0.001118	0.000444	0.006000	0.001092	0.002400	0.000692	0.003834	0.000859	
3.5700	0.0006	0.0002	0.1252	0.986800	0.001614	0.001354	0.000513	0.006000	0.001092	0.002400	0.000692	0.003446	0.000825	
3.5800	0.0007	0.0002	0.1253	0.986800	0.001614	0.001479	0.000535	0.006000	0.001092	0.002400	0.000692	0.003321	0.000808	
3.5900	0.0006	0.0002	0.1236	0.986969	0.001602	0.001320	0.000499	0.006111	0.001098	0.002283	0.000668	0.003317	0.000807	
3.6000	0.0005	0.0002	0.1230	0.987000	0.001602	0.001200	0.000490	0.006200	0.001110	0.002200	0.000663	0.003400	0.000823	
3.6100	0.0005	0.0002	0.1230	0.987000	0.001602	0.001216	0.000490	0.006200	0.001110	0.002112	0.000642	0.003472	0.000824	
3.6200	0.0007	0.0002	0.1228	0.987046	0.001597	0.001509	0.000528	0.006185	0.001108	0.001858	0.000601	0.003402	0.000810	
3.6300	0.0007	0.0002	0.1205	0.987400	0.001578	0.001552	0.000542	0.005800	0.001074	0.002200	0.000663	0.003048	0.000769	
3.6400	0.0007	0.0003	0.1196	0.987514	0.001567	0.001686	0.000572	0.005767	0.001068	0.001993	0.000611	0.003040	0.000766	
3.6500	0.0007	0.0002	0.1190	0.987600	0.001565	0.001600	0.000565	0.005600	0.001055	0.002000	0.000632	0.003200	0.000799	
3.6600	0.0006	0.0002	0.1174	0.987751	0.001550	0.001449	0.000521	0.005600	0.001055	0.001801	0.000600	0.003399	0.000823	
3.6700	0.0004	0.0002	0.1132	0.988200	0.001527	0.001000	0.000447	0.005534	0.001045	0.001866	0.000603	0.003400	0.000823	
3.6800	0.0004	0.0002	0.1122	0.988340	0.001516	0.000860	0.000404	0.005254	0.001019	0.002146	0.000649	0.003400	0.000823	
3.6900	0.0004	0.0002	0.1115	0.988400	0.001514	0.000800	0.000400	0.005200	0.001017	0.002083	0.000637	0.003517	0.000831	
3.7000	0.0003	0.0002	0.1099	0.988567	0.001502	0.000714	0.000357	0.005200	0.001017	0.002000	0.000632	0.003519	0.000832	
3.7100	0.0004	0.0002	0.1100	0.988624	0.001499	0.000973	0.000436	0.005104	0.001003	0.001961	0.000611	0.003338	0.000810	
3.7200	0.0003	0.0002	0.1065	0.988971	0.001475	0.000629	0.000348	0.005000	0.000998	0.001900	0.000608	0.003500	0.000829	
3.7300	0.0003	0.0001	0.1060	0.989000	0.001475	0.000608	0.000329	0.005154	0.001009	0.001800	0.000600	0.003438	0.000824	
3.7400	0.0003	0.0001	0.1056	0.989082	0.001466	0.000633	0.000327	0.005000	0.000998	0.002000	0.000632	0.003285	0.000803	
3.7500	0.0003	0.0002	0.1046	0.989200	0.001462	0.000600	0.000346	0.005000	0.000998	0.002000	0.000632	0.003200	0.000799	
3.7600	0.0003	0.0001	0.1034	0.989353	0.001449	0.000681	0.000320	0.005000	0.000998	0.001864	0.000603	0.003102	0.000768	
3.7700	0.0006	0.0002	0.1040	0.989400	0.001448	0.001365	0.000516	0.005000	0.000998	0.001800	0.000600	0.002435	0.000692	
3.7800	0.0006	0.0002	0.1036	0.989429	0.001445	0.001371	0.000519	0.005000	0.000998	0.001635	0.000566	0.002565	0.000711	
3.7900	0.0005	0.0002	0.1019	0.989600	0.001435	0.001200	0.000490	0.005000	0.000998	0.001534	0.000546	0.002666	0.000723	
3.8000	0.0005	0.0002	0.1018	0.989600	0.001435	0.001200	0.000490	0.005000	0.000998	0.001400	0.000529	0.002800	0.000747	
3.8100	0.0005	0.0002	0.1018	0.989600	0.001435	0.001200	0.000490	0.005000	0.000998	0.001400	0.000529	0.002800	0.000747	
3.8200	0.0005	0.0002	0.1018	0.989600	0.001435	0.001200	0.000490	0.005000	0.000998	0.001400	0.000529	0.002800	0.000747	
3.8300	0.0005	0.0002	0.1018	0.989600	0.001435	0.001200	0.000490	0.005000	0.000998	0.001400	0.000529	0.002800	0.000747	
